Date,Citigroup C-Tracks MillerHoward Strategic Dividen_Open_average,Citigroup C-Tracks MillerHoward Strategic Dividen_Open_max,Citigroup C-Tracks MillerHoward Strategic Dividen_Open_min,Citigroup C-Tracks MillerHoward Strategic Dividen_Open_volatility,Citigroup C-Tracks MillerHoward Strategic Dividen_Open_change,Citigroup C-Tracks MillerHoward Strategic Dividen_High_average,Citigroup C-Tracks MillerHoward Strategic Dividen_High_max,Citigroup C-Tracks MillerHoward Strategic Dividen_High_min,Citigroup C-Tracks MillerHoward Strategic Dividen_High_volatility,Citigroup C-Tracks MillerHoward Strategic Dividen_High_change,Citigroup C-Tracks MillerHoward Strategic Dividen_Low_average,Citigroup C-Tracks MillerHoward Strategic Dividen_Low_max,Citigroup C-Tracks MillerHoward Strategic Dividen_Low_min,Citigroup C-Tracks MillerHoward Strategic Dividen_Low_volatility,Citigroup C-Tracks MillerHoward Strategic Dividen_Low_change,Citigroup C-Tracks MillerHoward Strategic Dividen_Close_average,Citigroup C-Tracks MillerHoward Strategic Dividen_Close_max,Citigroup C-Tracks MillerHoward Strategic Dividen_Close_min,Citigroup C-Tracks MillerHoward Strategic Dividen_Close_volatility,Citigroup C-Tracks MillerHoward Strategic Dividen_Close_change
2018-01-14,37.25,37.25,37.25,0.0,0.0,37.25,37.25,37.25,0.0,0.0,37.25,37.25,37.25,0.0,0.0,37.25,37.25,37.25,0.0,0.0
2018-01-21,37.06,37.06,37.06,0.0,0.0,37.06,37.06,37.06,0.0,0.0,37.06,37.06,37.06,0.0,0.0,37.06,37.06,37.06,0.0,0.0
2018-01-28,35.37,35.37,35.37,0.0,0.0,35.37,35.37,35.37,0.0,0.0,35.37,35.37,35.37,0.0,0.0,35.37,35.37,35.37,0.0,0.0
2018-02-04,36.22,36.22,36.22,0.0,0.0,36.22,36.22,36.22,0.0,0.0,36.22,36.22,36.22,0.0,0.0,36.22,36.22,36.22,0.0,0.0
2018-02-11,36.16,36.16,36.16,0.0,0.0,36.16,36.16,36.16,0.0,0.0,36.16,36.16,36.16,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2018-02-18,36.09,36.09,36.09,0.0,0.0,36.09,36.09,36.09,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2018-02-25,35.69,35.69,35.69,0.0,0.0,35.75,35.75,35.75,0.0,0.0,35.69,35.69,35.69,0.0,0.0,35.75,35.75,35.75,0.0,0.0
2018-03-04,36.54,36.54,36.54,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.5,36.5,36.5,0.0,0.0
2018-03-11,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0
2018-03-18,35.99,35.99,35.99,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2018-03-25,35.59,35.59,35.59,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.59,35.59,35.59,0.0,0.0
2018-04-01,35.4,35.4,35.4,0.0,0.0,36.91,36.91,36.91,0.0,0.0,35.4,35.4,35.4,0.0,0.0,36.19,36.19,36.19,0.0,0.0
2018-04-08,34.75,34.75,34.75,0.0,0.0,35.11,35.11,35.11,0.0,0.0,34.75,34.75,34.75,0.0,0.0,35.11,35.11,35.11,0.0,0.0
2018-04-15,34.01,34.01,34.01,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.18,34.18,34.18,0.0,0.0
2018-04-22,32.94,32.94,32.94,0.0,0.0,32.94,32.94,32.94,0.0,0.0,32.94,32.94,32.94,0.0,0.0,32.94,32.94,32.94,0.0,0.0
2018-04-29,32.96,32.96,32.96,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2018-05-06,33.09,33.09,33.09,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2018-05-13,32.67,32.67,32.67,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.67,32.67,32.67,0.0,0.0
2018-05-20,32.34,32.34,32.34,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.34,32.34,32.34,0.0,0.0
2018-05-27,30.88,30.88,30.88,0.0,0.0,31.51,31.51,31.51,0.0,0.0,30.88,30.88,30.88,0.0,0.0,31.51,31.51,31.51,0.0,0.0
2018-06-03,31.58,31.58,31.58,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.58,31.58,31.58,0.0,0.0
2018-06-10,30.63,30.63,30.63,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-06-17,29.91,29.91,29.91,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.91,29.91,29.91,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2018-06-24,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-07-01,29.19,29.19,29.19,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2018-07-08,30.5,30.5,30.5,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2018-07-15,29.83,29.83,29.83,0.0,0.0,30.58,30.58,30.58,0.0,0.0,29.83,29.83,29.83,0.0,0.0,30.58,30.58,30.58,0.0,0.0
2018-07-22,30.43,30.43,30.43,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.61,30.61,30.61,0.0,0.0
