Date,NHI_Open_average,NHI_Open_max,NHI_Open_min,NHI_Open_volatility,NHI_Open_change,NHI_High_average,NHI_High_max,NHI_High_min,NHI_High_volatility,NHI_High_change,NHI_Low_average,NHI_Low_max,NHI_Low_min,NHI_Low_volatility,NHI_Low_change,NHI_Close_average,NHI_Close_max,NHI_Close_min,NHI_Close_volatility,NHI_Close_change,NHI_Volume_average,NHI_Volume_max,NHI_Volume_min,NHI_Volume_volatility,NHI_Volume_change
2018-01-14,70.12599999999999,71.0,69.77,1.230000000000004,-0.04999999999999716,70.98,71.3,70.26,1.039999999999992,-0.3200000000000074,69.804,70.21,69.51,0.6999999999999886,-0.0799999999999983,70.35,71.04,69.8,1.240000000000009,0.8499999999999943,258286,284783,225074,59709,-59709
2018-01-21,71.442,72.25,70.52,1.730000000000004,-0.6000000000000085,71.828,72.39,70.56,1.8299999999999983,-1.8299999999999983,70.70400000000001,71.18,69.75,1.4300000000000068,-1.1899999999999977,71.188,72.25,69.98,2.269999999999996,-2.269999999999996,223272,339759,156389,183370,-125298
2018-01-28,69.426,70.55,68.29,2.259999999999991,-1.1200000000000045,70.016,71.33,68.88,2.450000000000003,-0.6800000000000068,68.274,69.33,66.56,2.769999999999996,-2.769999999999996,68.816,70.53,66.61,3.9200000000000017,-2.7900000000000063,256394,318582,200195,118387,34242
2018-02-04,65.83800000000001,66.49,64.79,1.6999999999999886,-0.3199999999999932,66.71799999999999,67.8,65.71,2.0900000000000034,-1.5300000000000011,64.554,66.07,62.71,3.3599999999999923,-2.6799999999999997,65.416,66.65,64.2,2.450000000000003,-2.1400000000000006,342837,513268,224864,288404,203523
2018-02-11,64.335,65.91,63.49,2.4199999999999946,1.8799999999999955,65.1625,66.97,64.07,2.9000000000000057,2.030000000000001,63.6225,64.91,63.0,1.9099999999999966,1.4099999999999966,64.49,65.73,63.33,2.4000000000000057,1.1300000000000097,383403,480177,312141,168036,131623
2018-02-18,65.466,66.85,64.61,2.239999999999995,1.4399999999999977,66.166,66.85,65.8,1.0499999999999972,0.8199999999999932,64.658,65.43,64.0,1.4300000000000068,1.1700000000000017,65.31,66.31,64.33,1.980000000000004,1.980000000000004,331439,446857,188273,258584,-29581
2018-02-25,65.296,66.02,64.42,1.5999999999999943,-0.519999999999996,66.12,66.83,65.59,1.2399999999999949,0.5600000000000023,64.618,64.89,64.33,0.5600000000000023,0.269999999999996,65.49000000000001,66.73,64.81,1.9200000000000017,1.9200000000000017,349988,647153,173958,473195,-237471
2018-03-04,67.76,68.41,66.84,1.5699999999999932,1.25,68.364,68.85,67.5,1.3499999999999943,1.3499999999999943,67.27,68.0,65.86,2.1400000000000006,2.1400000000000006,68.102,68.62,67.33,1.2900000000000063,1.2900000000000063,201060,258354,159608,98746,-18673
2018-03-11,68.544,68.94,68.23,0.7099999999999937,0.3100000000000023,69.082,69.27,68.86,0.4099999999999966,0.18999999999999773,68.16,68.26,68.0,0.2600000000000051,0.2600000000000051,68.668,69.11,68.28,0.8299999999999983,0.5600000000000023,200618,251489,149037,102452,-32469
2018-03-18,67.34400000000001,68.94,66.31,2.6299999999999955,-2.6299999999999955,67.86,69.19,66.43,2.759999999999991,-2.759999999999991,66.498,67.48,65.72,1.7600000000000051,-1.7600000000000051,66.86,67.84,66.0,1.8400000000000034,-1.5300000000000011,310367,476221,190523,285698,112665
2018-03-25,66.8675,68.0,65.9,2.0999999999999943,1.0699999999999932,67.7775,68.15,67.46,0.6900000000000119,0.10000000000000853,65.9575,66.96,65.53,1.4299999999999926,-0.030000000000001137,66.83,67.75,65.85,1.9000000000000057,-0.5800000000000125,303765,419873,166583,253290,-253290
2018-04-01,67.292,67.96,66.23,1.7299999999999898,1.7299999999999898,68.004,68.62,67.34,1.2800000000000011,0.7199999999999989,66.76,67.69,65.35,2.3400000000000034,1.7700000000000102,67.566,67.88,66.8,1.0799999999999983,0.6899999999999977,196668,241070,164744,76326,-21064
2018-04-08,67.388,67.87,66.63,1.240000000000009,-0.5599999999999881,67.914,68.4,66.97,1.4300000000000068,-0.1700000000000017,66.83,67.58,66.12,1.4599999999999937,-0.18000000000000682,67.398,67.84,66.55,1.2900000000000063,0.020000000000010232,223259,486342,125292,361050,-358302
