Date,Legg Mason EM Low Volatility High Dividend_etf_Open_average,Legg Mason EM Low Volatility High Dividend_etf_Open_max,Legg Mason EM Low Volatility High Dividend_etf_Open_min,Legg Mason EM Low Volatility High Dividend_etf_Open_volatility,Legg Mason EM Low Volatility High Dividend_etf_Open_change,Legg Mason EM Low Volatility High Dividend_etf_High_average,Legg Mason EM Low Volatility High Dividend_etf_High_max,Legg Mason EM Low Volatility High Dividend_etf_High_min,Legg Mason EM Low Volatility High Dividend_etf_High_volatility,Legg Mason EM Low Volatility High Dividend_etf_High_change,Legg Mason EM Low Volatility High Dividend_etf_Low_average,Legg Mason EM Low Volatility High Dividend_etf_Low_max,Legg Mason EM Low Volatility High Dividend_etf_Low_min,Legg Mason EM Low Volatility High Dividend_etf_Low_volatility,Legg Mason EM Low Volatility High Dividend_etf_Low_change,Legg Mason EM Low Volatility High Dividend_etf_Close_average,Legg Mason EM Low Volatility High Dividend_etf_Close_max,Legg Mason EM Low Volatility High Dividend_etf_Close_min,Legg Mason EM Low Volatility High Dividend_etf_Close_volatility,Legg Mason EM Low Volatility High Dividend_etf_Close_change
2018-01-14,30.04,30.04,30.04,0.0,0.0,30.14,30.14,30.14,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2018-01-21,30.28,30.28,30.28,0.0,0.0,30.28,30.28,30.28,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2018-01-28,29.72,29.72,29.72,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2018-02-04,29.06,29.06,29.06,0.0,0.0,29.06,29.06,29.06,0.0,0.0,27.98,27.98,27.98,0.0,0.0,27.98,27.98,27.98,0.0,0.0
2018-02-11,29.0,29.0,29.0,0.0,0.0,29.1,29.1,29.1,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.88,28.88,28.88,0.0,0.0
2018-02-18,28.94,28.94,28.94,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.94,28.94,28.94,0.0,0.0
2018-02-25,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2018-03-04,28.52,28.52,28.52,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2018-03-11,28.77,28.77,28.77,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2018-03-18,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2018-03-25,27.7,27.7,27.7,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.7,27.7,27.7,0.0,0.0
2018-04-01,28.45,28.45,28.45,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.09,28.09,28.09,0.0,0.0
2018-04-08,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2018-04-15,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0
