Date,UBS ETRACS ProShares Daily 3x Long Crude_Open_average,UBS ETRACS ProShares Daily 3x Long Crude_Open_max,UBS ETRACS ProShares Daily 3x Long Crude_Open_min,UBS ETRACS ProShares Daily 3x Long Crude_Open_volatility,UBS ETRACS ProShares Daily 3x Long Crude_Open_change,UBS ETRACS ProShares Daily 3x Long Crude_High_average,UBS ETRACS ProShares Daily 3x Long Crude_High_max,UBS ETRACS ProShares Daily 3x Long Crude_High_min,UBS ETRACS ProShares Daily 3x Long Crude_High_volatility,UBS ETRACS ProShares Daily 3x Long Crude_High_change,UBS ETRACS ProShares Daily 3x Long Crude_Low_average,UBS ETRACS ProShares Daily 3x Long Crude_Low_max,UBS ETRACS ProShares Daily 3x Long Crude_Low_min,UBS ETRACS ProShares Daily 3x Long Crude_Low_volatility,UBS ETRACS ProShares Daily 3x Long Crude_Low_change,UBS ETRACS ProShares Daily 3x Long Crude_Close_average,UBS ETRACS ProShares Daily 3x Long Crude_Close_max,UBS ETRACS ProShares Daily 3x Long Crude_Close_min,UBS ETRACS ProShares Daily 3x Long Crude_Close_volatility,UBS ETRACS ProShares Daily 3x Long Crude_Close_change
2018-01-14,27.33,27.33,27.33,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.51,27.51,27.51,0.0,0.0
2018-01-21,30.38,30.38,30.38,0.0,0.0,31.33,31.33,31.33,0.0,0.0,30.38,30.38,30.38,0.0,0.0,31.17,31.17,31.17,0.0,0.0
2018-01-28,29.64,29.64,29.64,0.0,0.0,29.84,29.84,29.84,0.0,0.0,28.89,28.89,28.89,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2018-02-04,23.52,23.52,23.52,0.0,0.0,23.53,23.53,23.53,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.91,21.91,21.91,0.0,0.0
2018-02-11,24.42,24.42,24.42,0.0,0.0,25.39,25.39,25.39,0.0,0.0,24.37,24.37,24.37,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2018-02-18,27.33,27.33,27.33,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.82,27.82,27.82,0.0,0.0
2018-02-25,24.12,24.12,24.12,0.0,0.0,24.86,24.86,24.86,0.0,0.0,23.63,23.63,23.63,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2018-03-04,24.67,24.67,24.67,0.0,0.0,25.68,25.68,25.68,0.0,0.0,24.62,24.62,24.62,0.0,0.0,25.66,25.66,25.66,0.0,0.0
2018-03-11,24.86,24.86,24.86,0.0,0.0,26.24,26.24,26.24,0.0,0.0,24.86,24.86,24.86,0.0,0.0,26.11,26.11,26.11,0.0,0.0
2018-03-18,29.5,29.5,29.5,0.0,0.0,30.74,30.74,30.74,0.0,0.0,29.5,29.5,29.5,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2018-03-25,28.87,28.87,28.87,0.0,0.0,29.77,29.77,29.77,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.32,29.32,29.32,0.0,0.0
2018-04-01,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.31,25.31,25.31,0.0,0.0
2018-04-08,32.19,32.19,32.19,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.02,32.02,32.02,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2018-04-15,32.94,32.94,32.94,0.0,0.0,34.02,34.02,34.02,0.0,0.0,32.7,32.7,32.7,0.0,0.0,33.61,33.61,33.61,0.0,0.0
2018-04-22,33.24,33.24,33.24,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2018-04-29,34.44,34.44,34.44,0.0,0.0,36.2,36.2,36.2,0.0,0.0,34.35,34.35,34.35,0.0,0.0,36.05,36.05,36.05,0.0,0.0
2018-05-06,38.23,38.23,38.23,0.0,0.0,38.55,38.55,38.55,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.3,37.3,37.3,0.0,0.0
2018-05-13,38.95,38.95,38.95,0.0,0.0,39.2,39.2,39.2,0.0,0.0,38.34,38.34,38.34,0.0,0.0,38.75,38.75,38.75,0.0,0.0
2018-05-20,34.62,34.62,34.62,0.0,0.0,34.63,34.63,34.63,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2018-05-27,30.73,30.73,30.73,0.0,0.0,31.42,31.42,31.42,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2018-06-03,29.8,29.8,29.8,0.0,0.0,30.19,30.19,30.19,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2018-06-10,30.37,30.37,30.37,0.0,0.0,30.38,30.38,30.38,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-06-17,31.64,31.64,31.64,0.0,0.0,33.41,33.41,33.41,0.0,0.0,31.16,31.16,31.16,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2018-06-24,39.65,39.65,39.65,0.0,0.0,40.4,40.4,40.4,0.0,0.0,39.65,39.65,39.65,0.0,0.0,40.16,40.16,40.16,0.0,0.0
2018-07-01,36.62,36.62,36.62,0.0,0.0,38.48,38.48,38.48,0.0,0.0,36.6,36.6,36.6,0.0,0.0,38.42,38.42,38.42,0.0,0.0
2018-07-08,35.0,35.0,35.0,0.0,0.0,36.5,36.5,36.5,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2018-07-15,32.56,32.56,32.56,0.0,0.0,33.1,33.1,33.1,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.59,32.59,32.59,0.0,0.0
2018-07-22,34.5,34.5,34.5,0.0,0.0,34.92,34.92,34.92,0.0,0.0,32.88,32.88,32.88,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2018-07-29,33.36,33.36,33.36,0.0,0.0,33.62,33.62,33.62,0.0,0.0,32.63,32.63,32.63,0.0,0.0,33.2,33.2,33.2,0.0,0.0
