Date,RYAAY_Open_average,RYAAY_Open_max,RYAAY_Open_min,RYAAY_Open_volatility,RYAAY_Open_change,RYAAY_High_average,RYAAY_High_max,RYAAY_High_min,RYAAY_High_volatility,RYAAY_High_change,RYAAY_Low_average,RYAAY_Low_max,RYAAY_Low_min,RYAAY_Low_volatility,RYAAY_Low_change,RYAAY_Close_average,RYAAY_Close_max,RYAAY_Close_min,RYAAY_Close_volatility,RYAAY_Close_change,RYAAY_Volume_average,RYAAY_Volume_max,RYAAY_Volume_min,RYAAY_Volume_volatility,RYAAY_Volume_change
2018-01-14,118.802,120.83,116.01,4.819999999999993,4.3999999999999915,119.476,121.39,116.68,4.709999999999994,4.259999999999991,117.848,119.92,115.27,4.650000000000006,4.13000000000001,119.0,120.94,116.53,4.409999999999997,4.409999999999997,339531,365201,328199,37002,-36853
2018-01-21,121.872,123.0,121.1,1.9000000000000057,0.7099999999999937,123.196,124.17,122.12,2.049999999999997,-0.4099999999999966,121.052,121.59,120.04,1.5499999999999972,0.060000000000002274,122.484,123.71,121.05,2.6599999999999966,-0.44999999999998863,387828,465161,334782,130379,-130379
2018-01-28,121.028,122.87,116.7,6.170000000000002,-5.659999999999997,121.546,123.69,116.7,6.989999999999995,-5.659999999999997,119.272,122.32,112.5,9.819999999999993,-8.0,120.048,122.82,113.1,9.719999999999999,-8.100000000000009,551509,1578313,207671,1370642,1271134
2018-02-04,114.852,116.23,113.92,2.3100000000000023,0.8100000000000023,116.69800000000001,117.48,116.23,1.25,-0.38000000000000966,113.698,114.39,112.81,1.5799999999999983,0.980000000000004,115.85,116.94,114.13,2.8100000000000023,-0.4899999999999949,514419,856154,324903,531251,-531251
2018-02-11,119.83,123.99,116.08,7.909999999999997,7.909999999999997,122.21000000000001,125.22,119.02,6.200000000000003,6.200000000000003,119.4625,123.75,116.08,7.670000000000002,7.670000000000002,121.945,124.69,119.0,5.689999999999998,5.689999999999998,330446,446446,264566,181880,57607
2018-02-18,121.988,123.08,121.56,1.519999999999996,-0.2600000000000051,122.856,123.56,121.83,1.730000000000004,-0.0799999999999983,120.94,121.44,120.12,1.3199999999999932,-0.14000000000000057,122.132,123.09,121.25,1.8400000000000034,-0.020000000000010232,338238,464509,229366,235143,-165217
2018-02-25,120.61800000000001,123.18,118.2,4.980000000000004,-4.810000000000002,121.694,123.45,118.98,4.469999999999999,-2.3599999999999994,119.262,121.64,116.65,4.989999999999995,-3.269999999999996,120.354,122.27,118.56,3.7099999999999937,-1.6199999999999903,319936,563271,192053,371218,-371218
2018-03-04,122.79,124.06,121.04,3.019999999999996,3.019999999999996,123.596,124.62,121.45,3.1700000000000017,3.019999999999996,121.792,122.8,119.98,2.819999999999993,2.339999999999989,122.926,123.8,121.44,2.3599999999999994,1.5400000000000063,206693,324100,124037,200063,188091
2018-03-11,124.384,126.04,123.67,2.3700000000000045,2.3700000000000045,125.14,127.61,124.03,3.5799999999999983,3.510000000000005,123.634,125.92,122.47,3.450000000000003,3.450000000000003,124.512,126.39,123.57,2.8200000000000074,2.8200000000000074,326782,549996,174244,375752,-167511
2018-03-18,125.384,126.89,124.47,2.4200000000000017,-1.769999999999996,125.742,126.89,124.67,2.219999999999999,-0.9300000000000068,123.91799999999999,125.47,121.28,4.189999999999998,-4.189999999999998,124.56,126.12,122.8,3.3200000000000074,-3.3200000000000074,378028,491273,299852,191421,79165
