Date,First Trust Multi Cap Growth AlphaDEXEtf_Open_average,First Trust Multi Cap Growth AlphaDEXEtf_Open_max,First Trust Multi Cap Growth AlphaDEXEtf_Open_min,First Trust Multi Cap Growth AlphaDEXEtf_Open_volatility,First Trust Multi Cap Growth AlphaDEXEtf_Open_change,First Trust Multi Cap Growth AlphaDEXEtf_High_average,First Trust Multi Cap Growth AlphaDEXEtf_High_max,First Trust Multi Cap Growth AlphaDEXEtf_High_min,First Trust Multi Cap Growth AlphaDEXEtf_High_volatility,First Trust Multi Cap Growth AlphaDEXEtf_High_change,First Trust Multi Cap Growth AlphaDEXEtf_Low_average,First Trust Multi Cap Growth AlphaDEXEtf_Low_max,First Trust Multi Cap Growth AlphaDEXEtf_Low_min,First Trust Multi Cap Growth AlphaDEXEtf_Low_volatility,First Trust Multi Cap Growth AlphaDEXEtf_Low_change,First Trust Multi Cap Growth AlphaDEXEtf_Close_average,First Trust Multi Cap Growth AlphaDEXEtf_Close_max,First Trust Multi Cap Growth AlphaDEXEtf_Close_min,First Trust Multi Cap Growth AlphaDEXEtf_Close_volatility,First Trust Multi Cap Growth AlphaDEXEtf_Close_change
2018-01-14,68.93,68.93,68.93,0.0,0.0,69.36,69.36,69.36,0.0,0.0,68.87,68.87,68.87,0.0,0.0,69.36,69.36,69.36,0.0,0.0
2018-01-21,69.99,69.99,69.99,0.0,0.0,70.61,70.61,70.61,0.0,0.0,69.99,69.99,69.99,0.0,0.0,70.61,70.61,70.61,0.0,0.0
2018-01-28,69.19,69.19,69.19,0.0,0.0,69.19,69.19,69.19,0.0,0.0,67.9,67.9,67.9,0.0,0.0,67.9,67.9,67.9,0.0,0.0
2018-02-04,64.76,64.76,64.76,0.0,0.0,65.08,65.08,65.08,0.0,0.0,62.52,62.52,62.52,0.0,0.0,64.5,64.5,64.5,0.0,0.0
2018-02-11,68.05,68.05,68.05,0.0,0.0,68.45,68.45,68.45,0.0,0.0,67.93,67.93,67.93,0.0,0.0,68.18,68.18,68.18,0.0,0.0
2018-02-18,67.97,67.97,67.97,0.0,0.0,68.61,68.61,68.61,0.0,0.0,67.85,67.85,67.85,0.0,0.0,68.61,68.61,68.61,0.0,0.0
2018-02-25,66.34,66.34,66.34,0.0,0.0,67.82,67.82,67.82,0.0,0.0,66.34,66.34,66.34,0.0,0.0,67.82,67.82,67.82,0.0,0.0
2018-03-04,70.39,70.39,70.39,0.0,0.0,70.97,70.97,70.97,0.0,0.0,70.31,70.31,70.31,0.0,0.0,70.97,70.97,70.97,0.0,0.0
2018-03-11,70.43,70.43,70.43,0.0,0.0,70.67,70.67,70.67,0.0,0.0,70.43,70.43,70.43,0.0,0.0,70.52,70.52,70.52,0.0,0.0
2018-03-18,68.56,68.56,68.56,0.0,0.0,68.56,68.56,68.56,0.0,0.0,67.51,67.51,67.51,0.0,0.0,67.51,67.51,67.51,0.0,0.0
2018-03-25,66.74,66.74,66.74,0.0,0.0,68.01,68.01,68.01,0.0,0.0,66.74,66.74,66.74,0.0,0.0,67.93,67.93,67.93,0.0,0.0
2018-04-01,67.38,67.38,67.38,0.0,0.0,67.73,67.73,67.73,0.0,0.0,65.96,65.96,65.96,0.0,0.0,66.37,66.37,66.37,0.0,0.0
2018-04-08,68.9,68.9,68.9,0.0,0.0,68.9,68.9,68.9,0.0,0.0,67.76,67.76,67.76,0.0,0.0,68.02,68.02,68.02,0.0,0.0
2018-04-15,69.35,69.35,69.35,0.0,0.0,69.4,69.4,69.4,0.0,0.0,68.81,68.81,68.81,0.0,0.0,68.85,68.85,68.85,0.0,0.0
2018-04-22,68.23,68.23,68.23,0.0,0.0,68.23,68.23,68.23,0.0,0.0,67.81,67.81,67.81,0.0,0.0,67.98,67.98,67.98,0.0,0.0
2018-04-29,67.7,67.7,67.7,0.0,0.0,68.9,68.9,68.9,0.0,0.0,67.69,67.69,67.69,0.0,0.0,68.81,68.81,68.81,0.0,0.0
2018-05-06,71.27,71.27,71.27,0.0,0.0,71.28,71.28,71.28,0.0,0.0,70.8,70.8,70.8,0.0,0.0,71.1,71.1,71.1,0.0,0.0
2018-05-13,71.31,71.31,71.31,0.0,0.0,71.55,71.55,71.55,0.0,0.0,71.25,71.25,71.25,0.0,0.0,71.52,71.52,71.52,0.0,0.0
2018-05-20,71.78,71.78,71.78,0.0,0.0,71.8,71.8,71.8,0.0,0.0,71.5,71.5,71.5,0.0,0.0,71.52,71.52,71.52,0.0,0.0
