Date,ETFC_Open_average,ETFC_Open_max,ETFC_Open_min,ETFC_Open_volatility,ETFC_Open_change,ETFC_High_average,ETFC_High_max,ETFC_High_min,ETFC_High_volatility,ETFC_High_change,ETFC_Low_average,ETFC_Low_max,ETFC_Low_min,ETFC_Low_volatility,ETFC_Low_change,ETFC_Close_average,ETFC_Close_max,ETFC_Close_min,ETFC_Close_volatility,ETFC_Close_change,ETFC_Volume_average,ETFC_Volume_max,ETFC_Volume_min,ETFC_Volume_volatility,ETFC_Volume_change
2018-01-14,54.086,54.41,53.76,0.6499999999999986,-0.259999999999998,54.538,55.01,54.19,0.8200000000000003,0.03999999999999915,53.57,53.95,53.28,0.6700000000000017,0.5700000000000003,54.116,54.98,53.65,1.3299999999999983,1.3099999999999952,1941379,2552091,1439938,1112153,-127801
2018-01-21,54.232,55.32,52.3,3.020000000000003,-1.5200000000000031,54.906,56.0,53.6,2.3999999999999986,-1.9299999999999997,53.294,54.53,51.51,3.020000000000003,-2.020000000000003,54.094,55.19,52.62,2.5700000000000003,-2.3400000000000034,3564928,4442137,2612700,1829437,526334
2018-01-28,52.616,53.85,51.8,2.0500000000000043,-0.75,53.589999999999996,54.31,53.0,1.3100000000000023,0.28999999999999915,51.81,52.38,49.87,2.510000000000005,-2.3000000000000043,52.414,54.1,50.35,3.75,-2.0,2687829,3644048,2166744,1477304,1462830
2018-02-04,50.318,51.98,48.86,3.1199999999999974,1.0700000000000003,51.538000000000004,52.67,49.95,2.719999999999999,-1.8999999999999986,48.978,51.42,47.36,4.060000000000002,1.1400000000000006,50.396,52.28,48.48,3.8000000000000043,-2.0799999999999983,4035225,6042799,2645886,3396913,-3278695
2018-02-11,50.8025,51.97,49.78,2.1899999999999977,1.5200000000000031,51.5725,52.19,50.21,1.9799999999999969,1.9799999999999969,50.2325,50.87,49.52,1.3499999999999943,1.3200000000000003,51.28,51.81,50.05,1.7600000000000051,1.7600000000000051,2238793,2860341,1911650,948691,-285637
2018-02-18,51.718,52.3,51.09,1.2099999999999937,-0.12000000000000455,52.198,52.67,51.39,1.2800000000000011,-0.490000000000002,50.98,51.73,50.44,1.2899999999999991,-0.18999999999999773,51.57,52.01,50.74,1.269999999999996,-0.04999999999999716,2667925,3481366,2093732,1387634,1303726
2018-02-25,51.982,53.4,50.91,2.490000000000002,-1.2800000000000011,53.272,54.72,51.64,3.0799999999999983,-1.6000000000000014,51.242,52.21,50.36,1.8500000000000014,-1.3499999999999943,52.134,53.11,51.19,1.9200000000000017,-0.490000000000002,3261623,5663012,1984921,3678091,-3501955
2018-03-04,55.182,58.15,53.32,4.829999999999998,4.829999999999998,56.214,58.45,54.78,3.6700000000000017,3.6700000000000017,54.736000000000004,57.45,52.89,4.560000000000002,4.560000000000002,55.92,57.88,54.4,3.480000000000004,3.480000000000004,2901376,3379913,2572254,807659,-300877
2018-03-11,57.158,58.06,56.23,1.8300000000000054,-0.8599999999999994,57.768,58.26,57.46,0.7999999999999972,-0.6199999999999974,56.178,56.81,55.62,1.1900000000000048,-1.1900000000000048,56.934,57.29,56.49,0.7999999999999972,-0.5,2936506,4921844,1740849,3180995,-265457
2018-03-18,56.042,57.16,54.34,2.819999999999993,-2.6399999999999935,56.796,58.49,55.37,3.1200000000000045,-1.7199999999999989,55.046,57.06,52.99,4.07,-3.0,55.678,57.61,53.09,4.519999999999996,-1.5999999999999943,2494916,3230068,1877660,1352408,653649
