Date,ProShares UltraShort FTSE China 50_etf_Open_average,ProShares UltraShort FTSE China 50_etf_Open_max,ProShares UltraShort FTSE China 50_etf_Open_min,ProShares UltraShort FTSE China 50_etf_Open_volatility,ProShares UltraShort FTSE China 50_etf_Open_change,ProShares UltraShort FTSE China 50_etf_High_average,ProShares UltraShort FTSE China 50_etf_High_max,ProShares UltraShort FTSE China 50_etf_High_min,ProShares UltraShort FTSE China 50_etf_High_volatility,ProShares UltraShort FTSE China 50_etf_High_change,ProShares UltraShort FTSE China 50_etf_Low_average,ProShares UltraShort FTSE China 50_etf_Low_max,ProShares UltraShort FTSE China 50_etf_Low_min,ProShares UltraShort FTSE China 50_etf_Low_volatility,ProShares UltraShort FTSE China 50_etf_Low_change,ProShares UltraShort FTSE China 50_etf_Close_average,ProShares UltraShort FTSE China 50_etf_Close_max,ProShares UltraShort FTSE China 50_etf_Close_min,ProShares UltraShort FTSE China 50_etf_Close_volatility,ProShares UltraShort FTSE China 50_etf_Close_change
2018-01-14,54.44,54.44,54.44,0.0,0.0,54.64,54.64,54.64,0.0,0.0,53.71,53.71,53.71,0.0,0.0,53.71,53.71,53.71,0.0,0.0
2018-01-21,50.04,50.04,50.04,0.0,0.0,50.24,50.24,50.24,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2018-01-28,53.32,53.32,53.32,0.0,0.0,55.16,55.16,55.16,0.0,0.0,53.16,53.16,53.16,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2018-02-04,67.16,67.16,67.16,0.0,0.0,70.76,70.76,70.76,0.0,0.0,65.36,65.36,65.36,0.0,0.0,66.44,66.44,66.44,0.0,0.0
2018-02-11,57.76,57.76,57.76,0.0,0.0,58.0,58.0,58.0,0.0,0.0,56.44,56.44,56.44,0.0,0.0,57.68,57.68,57.68,0.0,0.0
2018-02-18,57.32,57.32,57.32,0.0,0.0,57.56,57.56,57.56,0.0,0.0,56.64,56.64,56.64,0.0,0.0,56.72,56.72,56.72,0.0,0.0
2018-02-25,64.52,64.52,64.52,0.0,0.0,64.88,64.88,64.88,0.0,0.0,62.2,62.2,62.2,0.0,0.0,62.28,62.28,62.28,0.0,0.0
2018-03-04,59.28,59.28,59.28,0.0,0.0,59.64,59.64,59.64,0.0,0.0,57.64,57.64,57.64,0.0,0.0,57.64,57.64,57.64,0.0,0.0
2018-03-11,58.16,58.16,58.16,0.0,0.0,58.16,58.16,58.16,0.0,0.0,57.16,57.16,57.16,0.0,0.0,57.32,57.32,57.32,0.0,0.0
2018-03-18,64.0,64.0,64.0,0.0,0.0,65.12,65.12,65.12,0.0,0.0,62.4,62.4,62.4,0.0,0.0,65.09,65.09,65.09,0.0,0.0
2018-03-25,62.96,62.96,62.96,0.0,0.0,63.48,63.48,63.48,0.0,0.0,60.72,60.72,60.72,0.0,0.0,61.12,61.12,61.12,0.0,0.0
2018-04-01,63.4,63.4,63.4,0.0,0.0,65.32,65.32,65.32,0.0,0.0,62.28,62.28,62.28,0.0,0.0,64.44,64.44,64.44,0.0,0.0
