Date,LNC_stock_Open_average,LNC_stock_Open_max,LNC_stock_Open_min,LNC_stock_Open_volatility,LNC_stock_Open_change,LNC_stock_High_average,LNC_stock_High_max,LNC_stock_High_min,LNC_stock_High_volatility,LNC_stock_High_change,LNC_stock_Low_average,LNC_stock_Low_max,LNC_stock_Low_min,LNC_stock_Low_volatility,LNC_stock_Low_change,LNC_stock_Close_average,LNC_stock_Close_max,LNC_stock_Close_min,LNC_stock_Close_volatility,LNC_stock_Close_change,LNC_stock_Volume_average,LNC_stock_Volume_max,LNC_stock_Volume_min,LNC_stock_Volume_volatility,LNC_stock_Volume_change
2018-01-14,83.485,84.75,82.92,1.8299999999999983,-1.7399999999999949,83.8675,85.2,83.2,2.0,-1.730000000000004,82.13,82.56,81.72,0.8400000000000034,-0.3200000000000074,82.93,83.17,82.51,0.6599999999999966,0.6599999999999966,1461008,1774055,864001,910054,193547
2018-01-21,83.466,83.86,82.76,1.0999999999999943,0.4399999999999977,83.934,84.81,83.43,1.3799999999999955,1.2900000000000063,82.664,83.14,81.86,1.2800000000000011,0.75,83.56,84.81,82.9,1.9099999999999966,1.460000000000008,1082860,1184119,921777,262342,46865
2018-01-28,84.312,84.89,83.59,1.2999999999999972,-0.480000000000004,85.492,86.68,84.1,2.5800000000000125,-1.6100000000000136,83.216,84.88,82.16,2.719999999999999,-1.8900000000000006,84.288,85.91,82.8,3.1099999999999994,-2.6699999999999875,2173681,2362898,1686756,676142,-627882
2018-02-04,77.858,81.99,75.05,6.939999999999998,-6.939999999999998,79.314,82.95,76.05,6.900000000000006,-6.900000000000006,75.364,77.78,72.47,5.310000000000002,-5.090000000000003,76.882,78.57,73.86,4.709999999999994,-2.710000000000008,2028285,2590400,1714429,875971,830073
2018-02-11,75.952,78.0,74.1,3.9000000000000057,0.3300000000000125,77.428,79.0,75.09,3.9099999999999966,0.5600000000000023,75.298,76.75,74.0,2.75,1.5800000000000125,76.374,77.58,74.34,3.239999999999995,2.1099999999999994,1682459,1990770,1137754,853016,-647773
2018-02-18,77.81,78.72,77.19,1.5300000000000011,0.09000000000000341,78.76,79.54,78.06,1.480000000000004,-0.4099999999999966,77.225,77.88,76.96,0.9200000000000017,0.0,77.85,78.32,77.03,1.289999999999992,-0.010000000000005116,1041166,1226115,833428,392687,-392687
2018-02-25,77.058,78.84,73.21,5.63000000000001,-5.1000000000000085,77.534,79.83,73.87,5.959999999999994,-4.6499999999999915,75.348,78.18,71.85,6.3300000000000125,-5.290000000000006,76.084,78.42,73.73,4.689999999999998,-4.689999999999998,1439404,1597596,1140334,457262,-457262
2018-03-04,75.256,77.17,72.98,4.189999999999998,4.189999999999998,76.594,78.98,75.34,3.6400000000000006,3.6400000000000006,74.682,76.7,72.55,4.150000000000006,4.150000000000006,76.38,78.71,74.9,3.809999999999988,3.809999999999988,1324553,1929844,1051299,878545,367403
2018-03-11,77.804,78.81,76.46,2.3500000000000085,-2.1299999999999955,78.218,79.02,77.26,1.759999999999991,-1.6799999999999926,76.808,78.05,76.05,2.0,-1.8999999999999915,77.074,78.41,76.27,2.1400000000000006,-2.049999999999997,1246001,1629336,762865,866471,358377
2018-03-18,75.82,76.75,73.8,2.950000000000003,-2.6099999999999994,76.676,78.35,73.95,4.3999999999999915,-3.239999999999995,74.316,76.75,70.15,6.599999999999994,-5.030000000000001,74.704,77.2,70.36,6.840000000000003,-5.439999999999998,1087254,1512898,695768,817130,629508
2018-03-25,72.4675,73.38,71.91,1.4699999999999989,0.5700000000000074,73.5875,74.56,72.95,1.6099999999999994,0.5,71.58,72.4,71.25,1.1500000000000057,1.1500000000000057,72.535,73.11,71.96,1.1500000000000057,-0.04999999999999716,1530185,1775406,1368735,406671,-76940
2018-04-01,71.084,72.6,69.34,3.259999999999991,-2.3299999999999983,71.904,73.11,71.0,2.1099999999999994,-2.1099999999999994,69.582,71.06,68.49,2.5700000000000074,-1.4100000000000108,70.702,71.34,69.16,2.180000000000007,-1.8100000000000023,1582145,2138104,1186136,951968,-28287
2018-04-08,69.206,70.32,68.38,1.9399999999999977,0.9199999999999875,69.888,70.51,68.97,1.5400000000000063,0.46000000000000796,68.464,68.95,67.85,1.1000000000000085,0.519999999999996,68.918,69.42,68.01,1.4099999999999966,0.7400000000000091,2233880,3285918,1441639,1844279,349634
2018-04-15,70.734,71.89,69.76,2.1299999999999955,2.1299999999999955,71.386,72.25,70.52,1.730000000000004,1.6899999999999977,70.144,71.11,69.42,1.6899999999999977,1.6299999999999955,70.758,71.62,69.75,1.8700000000000045,1.5799999999999983,1517614,1665131,1343402,321729,189164
2018-04-22,71.962,72.54,71.57,0.9700000000000131,-0.4300000000000068,72.636,74.17,71.75,2.4200000000000017,-0.9000000000000057,71.08800000000001,71.69,70.37,1.3199999999999932,-1.3199999999999932,71.91,72.22,71.64,0.5799999999999983,-0.5799999999999983,1074798,1383663,821749,561914,-262747
2018-04-29,68.872,71.99,65.76,6.22999999999999,-6.22999999999999,69.966,72.42,67.7,4.719999999999999,-3.200000000000003,67.584,70.62,64.62,6.0,-4.859999999999999,68.788,70.64,66.43,4.209999999999994,-1.6899999999999977,2300477,3081819,1035305,2046514,1555409
2018-05-06,68.416,69.08,67.43,1.6499999999999915,-1.1099999999999994,68.822,69.26,67.83,1.4300000000000068,-0.28000000000000114,67.416,68.31,66.35,1.960000000000008,-0.8700000000000045,68.06,68.62,67.59,1.0300000000000011,-0.6099999999999994,2438012,3032349,1851027,1181322,183458
2018-05-13,68.258,68.89,67.98,0.9099999999999966,0.6400000000000006,69.002,69.36,68.57,0.7900000000000063,0.4900000000000091,67.932,68.5,67.42,1.0799999999999983,0.5300000000000011,68.446,69.02,67.97,1.0499999999999972,0.9000000000000057,1488509,1833126,941474,891652,437492
2018-05-20,69.412,69.97,68.83,1.1400000000000006,-0.23999999999999488,70.178,70.93,69.4,1.5300000000000011,-1.269999999999996,69.05199999999999,69.91,68.24,1.6700000000000017,-0.7199999999999989,69.668,70.45,68.88,1.5700000000000074,-0.9500000000000028,1326327,1623035,878459,744576,-744576
2018-05-27,67.1225,67.62,66.46,1.1600000000000108,0.12000000000000455,67.5425,67.98,66.99,0.9900000000000091,-0.1700000000000017,65.8775,66.87,64.88,1.990000000000009,1.990000000000009,66.56,67.38,65.47,1.9099999999999966,1.9099999999999966,1715727,2115569,1353312,762257,-762257
2018-06-03,68.112,68.83,67.2,1.6299999999999955,0.6299999999999955,68.614,69.33,67.5,1.8299999999999983,0.7199999999999989,67.468,68.21,66.14,2.069999999999993,0.8599999999999994,68.264,69.25,67.47,1.7800000000000011,1.6599999999999966,1874309,2510542,1071341,1439201,-1439201
