Date,SF_Open_average,SF_Open_max,SF_Open_min,SF_Open_volatility,SF_Open_change,SF_High_average,SF_High_max,SF_High_min,SF_High_volatility,SF_High_change,SF_Low_average,SF_Low_max,SF_Low_min,SF_Low_volatility,SF_Low_change,SF_Close_average,SF_Close_max,SF_Close_min,SF_Close_volatility,SF_Close_change,SF_Volume_average,SF_Volume_max,SF_Volume_min,SF_Volume_volatility,SF_Volume_change
2018-01-14,66.346,67.53,65.2,2.3299999999999983,-1.1200000000000045,66.882,68.45,66.41,2.0400000000000063,-2.0400000000000063,65.086,65.33,64.86,0.46999999999999886,0.3200000000000074,65.912,66.42,65.23,1.1899999999999977,0.20999999999999375,423873,607238,288270,318968,-318968
2018-01-21,66.242,66.71,65.53,1.1799999999999926,0.6299999999999955,66.656,66.93,66.17,0.7600000000000051,0.7600000000000051,65.226,65.53,64.96,0.5700000000000074,0.27000000000001023,65.96,66.36,65.42,0.9399999999999977,-0.6499999999999915,344452,470743,275998,194745,194745
2018-01-28,66.456,67.47,64.12,3.3499999999999943,-2.4599999999999937,67.398,68.76,65.0,3.760000000000005,-2.1500000000000057,64.718,66.77,61.34,5.429999999999993,-3.1899999999999977,65.656,67.97,61.89,6.079999999999998,-4.140000000000001,799667,1079105,484288,594817,180970
2018-02-04,61.206,62.76,59.86,2.8999999999999986,0.7000000000000028,62.548,63.67,60.79,2.8800000000000026,-0.8599999999999994,59.818,62.14,57.73,4.410000000000004,1.0499999999999972,61.34,63.09,59.49,3.6000000000000014,-1.9100000000000037,536361,721363,443990,277373,-190263
2018-02-11,61.6175,63.2,60.41,2.7900000000000063,1.9200000000000017,62.7,63.76,61.08,2.6799999999999997,2.0500000000000043,61.125,62.3,60.08,2.219999999999999,2.219999999999999,62.317499999999995,62.83,60.97,1.8599999999999994,1.7000000000000028,395706,477709,309000,168709,50454
2018-02-18,62.888,63.89,62.18,1.7100000000000009,1.7100000000000009,63.806,65.06,63.05,2.010000000000005,2.010000000000005,62.548,63.51,62.15,1.3599999999999994,1.3299999999999983,63.238,64.78,62.45,2.3299999999999983,2.030000000000001,403385,434040,333787,100253,-21276
2018-02-25,63.64,64.85,62.32,2.529999999999994,-2.529999999999994,64.756,66.09,63.24,2.8500000000000014,-1.8200000000000074,62.83,64.51,60.93,3.5800000000000054,-2.490000000000002,63.722,64.67,62.99,1.6799999999999997,-0.8100000000000023,434292,558797,365521,193276,32296
2018-03-04,65.428,67.72,64.16,3.5600000000000023,3.4299999999999926,66.352,68.31,65.03,3.280000000000001,3.280000000000001,64.976,67.29,63.59,3.700000000000003,3.700000000000003,66.078,67.71,64.91,2.799999999999997,2.760000000000005,388566,486030,207352,278678,-11214
2018-03-11,65.764,67.96,64.66,3.299999999999997,-3.1799999999999926,66.262,68.21,65.16,3.049999999999997,-3.049999999999997,64.27,66.05,62.23,3.8200000000000003,-3.8200000000000003,64.852,66.25,63.39,2.8599999999999994,-2.8599999999999994,487849,1039071,272654,766417,56997
2018-03-18,61.58,63.58,58.08,5.5,-5.5,62.164,64.59,58.61,5.980000000000004,-5.380000000000003,59.996,63.27,56.74,6.530000000000001,-6.300000000000004,60.494,63.89,56.74,7.149999999999999,-5.030000000000001,441088,687505,191532,495973,359513
2018-03-25,58.215,59.03,57.15,1.8800000000000026,0.30000000000000426,58.9375,59.54,58.06,1.4799999999999969,0.490000000000002,56.8475,57.78,56.36,1.4200000000000017,0.3200000000000003,57.894999999999996,59.23,57.1,2.1299999999999955,0.3500000000000014,567645,664360,451676,212684,75940
2018-04-01,57.308,58.27,56.31,1.9600000000000009,-1.1200000000000045,58.124,58.66,57.72,0.9399999999999977,-0.5499999999999972,56.688,57.59,55.83,1.7600000000000051,-0.6699999999999946,57.37,58.15,56.42,1.7299999999999969,-1.509999999999998,450123,648925,331872,317053,-102455
2018-04-08,58.248,59.33,57.45,1.8799999999999955,0.8399999999999963,58.948,59.5,58.24,1.259999999999998,0.7899999999999991,57.542,58.34,56.97,1.3700000000000045,1.3200000000000003,58.254,58.88,57.78,1.1000000000000014,0.8300000000000054,311427,403209,280127,123082,-123082
2018-04-15,59.104,59.5,58.78,0.7199999999999989,-0.6199999999999974,59.472,59.62,59.13,0.4899999999999949,-0.4199999999999946,58.528,58.91,58.03,0.8799999999999955,-0.8799999999999955,58.784,59.17,58.28,0.8900000000000006,-0.769999999999996,238125,314673,189843,124830,-26942
2018-04-22,58.6,59.41,57.95,1.4599999999999937,0.6699999999999946,59.082,59.79,58.38,1.4099999999999966,0.6499999999999986,57.658,58.28,57.22,1.0600000000000023,0.759999999999998,58.4,59.15,57.85,1.2999999999999972,0.20000000000000284,327632,391335,255779,135556,135556
2018-04-29,58.208,59.5,56.35,3.1499999999999986,-1.1300000000000026,59.147999999999996,60.37,57.65,2.719999999999999,-0.6999999999999957,57.164,58.02,55.84,2.1799999999999997,-0.15000000000000568,58.292,59.4,56.92,2.479999999999997,-0.11999999999999744,384765,533987,182775,351212,-351212
2018-05-06,59.852,60.47,59.28,1.1899999999999977,0.25,60.488,60.8,59.56,1.2399999999999949,-0.9499999999999957,59.248,59.92,58.07,1.8500000000000014,-0.8699999999999974,59.652,60.37,58.37,2.0,-1.5200000000000031,408405,555214,270085,285129,-127280
2018-05-13,59.292,60.17,58.25,1.9200000000000017,1.9200000000000017,60.238,60.77,59.73,1.0400000000000063,1.0400000000000063,59.24,60.02,58.25,1.7700000000000031,1.7700000000000031,59.704,60.32,58.99,1.3299999999999983,1.3299999999999983,336571,482472,267746,214726,-214726
2018-05-20,60.055,60.4,59.61,0.7899999999999991,-0.46000000000000085,61.0875,61.68,60.66,1.0200000000000031,-0.7199999999999989,59.91,60.29,59.43,0.8599999999999994,-0.35999999999999943,60.730000000000004,61.09,60.5,0.5900000000000034,-0.38000000000000256,271126,323438,243072,80366,7264
2018-05-27,59.694,60.05,59.28,0.769999999999996,0.6499999999999986,60.294000000000004,60.88,59.96,0.9200000000000017,-0.3399999999999963,59.036,59.66,58.51,1.1499999999999986,0.46000000000000085,59.432,60.28,58.8,1.480000000000004,0.7700000000000031,421326,563033,327305,235728,-235728
2018-06-03,60.804,61.86,59.01,2.8500000000000014,2.700000000000003,61.432,61.93,60.04,1.8900000000000006,1.8900000000000006,60.294,61.16,58.88,2.279999999999994,1.6899999999999977,60.96,61.61,59.92,1.6899999999999977,0.6499999999999986,325651,375544,261592,113952,-92163
2018-06-10,59.716,60.86,58.75,2.1099999999999994,-2.1099999999999994,60.108000000000004,60.95,59.15,1.8000000000000043,-1.8000000000000043,58.906,59.53,58.0,1.5300000000000011,-0.8400000000000034,59.406,60.02,58.64,1.3800000000000026,-1.0899999999999963,399594,731751,278441,453310,2039
2018-06-17,56.891999999999996,57.65,56.04,1.6099999999999994,-1.259999999999998,57.334,58.04,56.04,2.0,-1.740000000000002,55.764,56.67,54.23,2.440000000000005,-2.440000000000005,56.275999999999996,57.22,54.51,2.710000000000001,-2.3599999999999994,594267,709142,473728,235414,109506
2018-06-24,53.442,54.63,51.57,3.0600000000000023,-3.0600000000000023,54.002,55.21,52.45,2.759999999999998,-2.759999999999998,52.796,54.28,51.54,2.740000000000002,-2.740000000000002,53.134,54.75,52.25,2.5,-2.3100000000000023,507844,818622,395902,422720,23254
2018-07-01,52.6775,52.89,52.44,0.45000000000000284,0.10999999999999943,53.09,54.09,52.62,1.470000000000006,1.2100000000000009,51.8475,52.6,51.39,1.2100000000000009,1.0300000000000011,52.6225,54.08,51.67,2.4099999999999966,2.4099999999999966,317738,389687,284548,105139,105139
