Date,First Trust NASDAQ ABA Community Bank_etf_Open_average,First Trust NASDAQ ABA Community Bank_etf_Open_max,First Trust NASDAQ ABA Community Bank_etf_Open_min,First Trust NASDAQ ABA Community Bank_etf_Open_volatility,First Trust NASDAQ ABA Community Bank_etf_Open_change,First Trust NASDAQ ABA Community Bank_etf_High_average,First Trust NASDAQ ABA Community Bank_etf_High_max,First Trust NASDAQ ABA Community Bank_etf_High_min,First Trust NASDAQ ABA Community Bank_etf_High_volatility,First Trust NASDAQ ABA Community Bank_etf_High_change,First Trust NASDAQ ABA Community Bank_etf_Low_average,First Trust NASDAQ ABA Community Bank_etf_Low_max,First Trust NASDAQ ABA Community Bank_etf_Low_min,First Trust NASDAQ ABA Community Bank_etf_Low_volatility,First Trust NASDAQ ABA Community Bank_etf_Low_change,First Trust NASDAQ ABA Community Bank_etf_Close_average,First Trust NASDAQ ABA Community Bank_etf_Close_max,First Trust NASDAQ ABA Community Bank_etf_Close_min,First Trust NASDAQ ABA Community Bank_etf_Close_volatility,First Trust NASDAQ ABA Community Bank_etf_Close_change
2018-01-14,54.75,54.75,54.75,0.0,0.0,55.42,55.42,55.42,0.0,0.0,54.75,54.75,54.75,0.0,0.0,55.4,55.4,55.4,0.0,0.0
2018-01-21,54.86,54.86,54.86,0.0,0.0,54.86,54.86,54.86,0.0,0.0,54.29,54.29,54.29,0.0,0.0,54.58,54.58,54.58,0.0,0.0
2018-01-28,54.77,54.77,54.77,0.0,0.0,55.02,55.02,55.02,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.32,54.32,54.32,0.0,0.0
2018-02-04,52.27,52.27,52.27,0.0,0.0,52.78,52.78,52.78,0.0,0.0,51.22,51.22,51.22,0.0,0.0,52.56,52.56,52.56,0.0,0.0
2018-02-11,53.96,53.96,53.96,0.0,0.0,54.8,54.8,54.8,0.0,0.0,53.96,53.96,53.96,0.0,0.0,54.59,54.59,54.59,0.0,0.0
2018-02-18,53.83,53.83,53.83,0.0,0.0,54.27,54.27,54.27,0.0,0.0,53.78,53.78,53.78,0.0,0.0,54.25,54.25,54.25,0.0,0.0
2018-02-25,52.73,52.73,52.73,0.0,0.0,54.04,54.04,54.04,0.0,0.0,52.52,52.52,52.52,0.0,0.0,54.01,54.01,54.01,0.0,0.0
2018-03-04,55.71,55.71,55.71,0.0,0.0,56.21,56.21,56.21,0.0,0.0,55.2,55.2,55.2,0.0,0.0,56.19,56.19,56.19,0.0,0.0
2018-03-11,55.86,55.86,55.86,0.0,0.0,56.28,56.28,56.28,0.0,0.0,55.41,55.41,55.41,0.0,0.0,56.0,56.0,56.0,0.0,0.0
2018-03-18,54.03,54.03,54.03,0.0,0.0,54.03,54.03,54.03,0.0,0.0,51.85,51.85,51.85,0.0,0.0,51.86,51.86,51.86,0.0,0.0
2018-03-25,53.35,53.35,53.35,0.0,0.0,53.46,53.46,53.46,0.0,0.0,52.94,52.94,52.94,0.0,0.0,52.98,52.98,52.98,0.0,0.0
2018-04-01,53.46,53.46,53.46,0.0,0.0,53.6,53.6,53.6,0.0,0.0,52.02,52.02,52.02,0.0,0.0,52.52,52.52,52.52,0.0,0.0
2018-04-08,54.56,54.56,54.56,0.0,0.0,54.56,54.56,54.56,0.0,0.0,53.16,53.16,53.16,0.0,0.0,53.24,53.24,53.24,0.0,0.0
2018-04-15,53.85,53.85,53.85,0.0,0.0,54.34,54.34,54.34,0.0,0.0,53.85,53.85,53.85,0.0,0.0,54.12,54.12,54.12,0.0,0.0
2018-04-22,54.81,54.81,54.81,0.0,0.0,55.16,55.16,55.16,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.76,54.76,54.76,0.0,0.0
2018-04-29,53.5,53.5,53.5,0.0,0.0,54.95,54.95,54.95,0.0,0.0,53.46,53.46,53.46,0.0,0.0,54.46,54.46,54.46,0.0,0.0
2018-05-06,55.9,55.9,55.9,0.0,0.0,55.97,55.97,55.97,0.0,0.0,55.53,55.53,55.53,0.0,0.0,55.68,55.68,55.68,0.0,0.0
2018-05-13,56.34,56.34,56.34,0.0,0.0,56.45,56.45,56.45,0.0,0.0,56.12,56.12,56.12,0.0,0.0,56.13,56.13,56.13,0.0,0.0
2018-05-20,56.59,56.59,56.59,0.0,0.0,56.87,56.87,56.87,0.0,0.0,56.46,56.46,56.46,0.0,0.0,56.63,56.63,56.63,0.0,0.0
2018-05-27,56.89,56.89,56.89,0.0,0.0,57.12,57.12,57.12,0.0,0.0,56.73,56.73,56.73,0.0,0.0,56.84,56.84,56.84,0.0,0.0
2018-06-03,58.28,58.28,58.28,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.17,58.17,58.17,0.0,0.0,58.34,58.34,58.34,0.0,0.0
2018-06-10,56.93,56.93,56.93,0.0,0.0,57.06,57.06,57.06,0.0,0.0,56.15,56.15,56.15,0.0,0.0,56.78,56.78,56.78,0.0,0.0
