Date,QuantShares US Market Neutral Anti-Beta_Open_average,QuantShares US Market Neutral Anti-Beta_Open_max,QuantShares US Market Neutral Anti-Beta_Open_min,QuantShares US Market Neutral Anti-Beta_Open_volatility,QuantShares US Market Neutral Anti-Beta_Open_change,QuantShares US Market Neutral Anti-Beta_High_average,QuantShares US Market Neutral Anti-Beta_High_max,QuantShares US Market Neutral Anti-Beta_High_min,QuantShares US Market Neutral Anti-Beta_High_volatility,QuantShares US Market Neutral Anti-Beta_High_change,QuantShares US Market Neutral Anti-Beta_Low_average,QuantShares US Market Neutral Anti-Beta_Low_max,QuantShares US Market Neutral Anti-Beta_Low_min,QuantShares US Market Neutral Anti-Beta_Low_volatility,QuantShares US Market Neutral Anti-Beta_Low_change,QuantShares US Market Neutral Anti-Beta_Close_average,QuantShares US Market Neutral Anti-Beta_Close_max,QuantShares US Market Neutral Anti-Beta_Close_min,QuantShares US Market Neutral Anti-Beta_Close_volatility,QuantShares US Market Neutral Anti-Beta_Close_change
2018-01-14,18.55,18.55,18.55,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.49,18.49,18.49,0.0,0.0
2018-01-21,18.49,18.49,18.49,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.49,18.49,18.49,0.0,0.0
2018-01-28,18.62,18.62,18.62,0.0,0.0,18.82,18.82,18.82,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.82,18.82,18.82,0.0,0.0
2018-02-04,18.83,18.83,18.83,0.0,0.0,18.84,18.84,18.84,0.0,0.0,18.77,18.77,18.77,0.0,0.0,18.84,18.84,18.84,0.0,0.0
2018-02-11,18.74,18.74,18.74,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.74,18.74,18.74,0.0,0.0
2018-02-18,18.58,18.58,18.58,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.65,18.65,18.65,0.0,0.0
2018-02-25,18.72,18.72,18.72,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.72,18.72,18.72,0.0,0.0
2018-03-04,18.57,18.57,18.57,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.59,18.59,18.59,0.0,0.0
2018-03-11,18.71,18.71,18.71,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.71,18.71,18.71,0.0,0.0,18.8,18.8,18.8,0.0,0.0
2018-03-18,19.06,19.06,19.06,0.0,0.0,19.07,19.07,19.07,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.95,18.95,18.95,0.0,0.0
