Date,Direxion Daily Utilities Bull 3X Shares_etf_Open_average,Direxion Daily Utilities Bull 3X Shares_etf_Open_max,Direxion Daily Utilities Bull 3X Shares_etf_Open_min,Direxion Daily Utilities Bull 3X Shares_etf_Open_volatility,Direxion Daily Utilities Bull 3X Shares_etf_Open_change,Direxion Daily Utilities Bull 3X Shares_etf_High_average,Direxion Daily Utilities Bull 3X Shares_etf_High_max,Direxion Daily Utilities Bull 3X Shares_etf_High_min,Direxion Daily Utilities Bull 3X Shares_etf_High_volatility,Direxion Daily Utilities Bull 3X Shares_etf_High_change,Direxion Daily Utilities Bull 3X Shares_etf_Low_average,Direxion Daily Utilities Bull 3X Shares_etf_Low_max,Direxion Daily Utilities Bull 3X Shares_etf_Low_min,Direxion Daily Utilities Bull 3X Shares_etf_Low_volatility,Direxion Daily Utilities Bull 3X Shares_etf_Low_change,Direxion Daily Utilities Bull 3X Shares_etf_Close_average,Direxion Daily Utilities Bull 3X Shares_etf_Close_max,Direxion Daily Utilities Bull 3X Shares_etf_Close_min,Direxion Daily Utilities Bull 3X Shares_etf_Close_volatility,Direxion Daily Utilities Bull 3X Shares_etf_Close_change
2018-01-14,23.58,23.58,23.58,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.3,23.3,23.3,0.0,0.0
2018-01-21,25.02,25.02,25.02,0.0,0.0,25.18,25.18,25.18,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.77,24.77,24.77,0.0,0.0
2018-01-28,23.3,23.3,23.3,0.0,0.0,23.58,23.58,23.58,0.0,0.0,22.83,22.83,22.83,0.0,0.0,23.0,23.0,23.0,0.0,0.0
2018-02-04,20.11,20.11,20.11,0.0,0.0,21.56,21.56,21.56,0.0,0.0,19.95,19.95,19.95,0.0,0.0,21.16,21.16,21.16,0.0,0.0
2018-02-11,22.9,22.9,22.9,0.0,0.0,23.33,23.33,23.33,0.0,0.0,22.45,22.45,22.45,0.0,0.0,23.27,23.27,23.27,0.0,0.0
2018-02-18,22.06,22.06,22.06,0.0,0.0,23.41,23.41,23.41,0.0,0.0,22.06,22.06,22.06,0.0,0.0,23.41,23.41,23.41,0.0,0.0
2018-02-25,21.92,21.92,21.92,0.0,0.0,21.97,21.97,21.97,0.0,0.0,20.91,20.91,20.91,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2018-03-04,21.72,21.72,21.72,0.0,0.0,21.89,21.89,21.89,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.89,21.89,21.89,0.0,0.0
2018-03-11,22.95,22.95,22.95,0.0,0.0,23.79,23.79,23.79,0.0,0.0,22.95,22.95,22.95,0.0,0.0,23.71,23.71,23.71,0.0,0.0
2018-03-18,23.17,23.17,23.17,0.0,0.0,23.4,23.4,23.4,0.0,0.0,21.81,21.81,21.81,0.0,0.0,21.83,21.83,21.83,0.0,0.0
