Date,Barclays + S&P VEQTOR Exp 08 Sep 2020_Open_average,Barclays + S&P VEQTOR Exp 08 Sep 2020_Open_max,Barclays + S&P VEQTOR Exp 08 Sep 2020_Open_min,Barclays + S&P VEQTOR Exp 08 Sep 2020_Open_volatility,Barclays + S&P VEQTOR Exp 08 Sep 2020_Open_change,Barclays + S&P VEQTOR Exp 08 Sep 2020_High_average,Barclays + S&P VEQTOR Exp 08 Sep 2020_High_max,Barclays + S&P VEQTOR Exp 08 Sep 2020_High_min,Barclays + S&P VEQTOR Exp 08 Sep 2020_High_volatility,Barclays + S&P VEQTOR Exp 08 Sep 2020_High_change,Barclays + S&P VEQTOR Exp 08 Sep 2020_Low_average,Barclays + S&P VEQTOR Exp 08 Sep 2020_Low_max,Barclays + S&P VEQTOR Exp 08 Sep 2020_Low_min,Barclays + S&P VEQTOR Exp 08 Sep 2020_Low_volatility,Barclays + S&P VEQTOR Exp 08 Sep 2020_Low_change,Barclays + S&P VEQTOR Exp 08 Sep 2020_Close_average,Barclays + S&P VEQTOR Exp 08 Sep 2020_Close_max,Barclays + S&P VEQTOR Exp 08 Sep 2020_Close_min,Barclays + S&P VEQTOR Exp 08 Sep 2020_Close_volatility,Barclays + S&P VEQTOR Exp 08 Sep 2020_Close_change
2018-01-14,164.78,164.78,164.78,0.0,0.0,164.78,164.78,164.78,0.0,0.0,164.78,164.78,164.78,0.0,0.0,164.78,164.78,164.78,0.0,0.0
2018-01-21,168.33,168.33,168.33,0.0,0.0,168.34,168.34,168.34,0.0,0.0,168.33,168.33,168.33,0.0,0.0,168.34,168.34,168.34,0.0,0.0
2018-01-28,165.94,165.94,165.94,0.0,0.0,165.94,165.94,165.94,0.0,0.0,165.79,165.79,165.79,0.0,0.0,165.79,165.79,165.79,0.0,0.0
2018-02-04,171.75,171.75,171.75,0.0,0.0,171.75,171.75,171.75,0.0,0.0,169.99,169.99,169.99,0.0,0.0,169.99,169.99,169.99,0.0,0.0
2018-02-11,171.18,171.18,171.18,0.0,0.0,171.18,171.18,171.18,0.0,0.0,171.18,171.18,171.18,0.0,0.0,171.18,171.18,171.18,0.0,0.0
2018-02-18,170.75,170.75,170.75,0.0,0.0,170.96,170.96,170.96,0.0,0.0,170.75,170.75,170.75,0.0,0.0,170.94,170.94,170.94,0.0,0.0
2018-02-25,172.97,172.97,172.97,0.0,0.0,172.97,172.97,172.97,0.0,0.0,172.0,172.0,172.0,0.0,0.0,172.0,172.0,172.0,0.0,0.0
2018-03-04,173.72,173.72,173.72,0.0,0.0,174.87,174.87,174.87,0.0,0.0,173.72,173.72,173.72,0.0,0.0,174.87,174.87,174.87,0.0,0.0
2018-03-11,173.25,173.25,173.25,0.0,0.0,173.75,173.75,173.75,0.0,0.0,173.25,173.25,173.25,0.0,0.0,173.25,173.25,173.25,0.0,0.0
2018-03-18,166.13,166.13,166.13,0.0,0.0,166.13,166.13,166.13,0.0,0.0,165.31,165.31,165.31,0.0,0.0,165.31,165.31,165.31,0.0,0.0
2018-03-25,163.93,163.93,163.93,0.0,0.0,163.94,163.94,163.94,0.0,0.0,163.93,163.93,163.93,0.0,0.0,163.94,163.94,163.94,0.0,0.0
2018-04-01,166.82,166.82,166.82,0.0,0.0,166.82,166.82,166.82,0.0,0.0,166.82,166.82,166.82,0.0,0.0,166.82,166.82,166.82,0.0,0.0
2018-04-08,164.68,164.68,164.68,0.0,0.0,164.68,164.68,164.68,0.0,0.0,164.66,164.66,164.66,0.0,0.0,164.66,164.66,164.66,0.0,0.0
2018-04-15,163.78,163.78,163.78,0.0,0.0,163.78,163.78,163.78,0.0,0.0,163.78,163.78,163.78,0.0,0.0,163.78,163.78,163.78,0.0,0.0
2018-04-22,160.11,160.11,160.11,0.0,0.0,160.12,160.12,160.12,0.0,0.0,160.11,160.11,160.11,0.0,0.0,160.12,160.12,160.12,0.0,0.0
2018-04-29,161.25,161.25,161.25,0.0,0.0,161.27,161.27,161.27,0.0,0.0,161.25,161.25,161.25,0.0,0.0,161.27,161.27,161.27,0.0,0.0
