Date,iShares US Insurance_Open_average,iShares US Insurance_Open_max,iShares US Insurance_Open_min,iShares US Insurance_Open_volatility,iShares US Insurance_Open_change,iShares US Insurance_High_average,iShares US Insurance_High_max,iShares US Insurance_High_min,iShares US Insurance_High_volatility,iShares US Insurance_High_change,iShares US Insurance_Low_average,iShares US Insurance_Low_max,iShares US Insurance_Low_min,iShares US Insurance_Low_volatility,iShares US Insurance_Low_change,iShares US Insurance_Close_average,iShares US Insurance_Close_max,iShares US Insurance_Close_min,iShares US Insurance_Close_volatility,iShares US Insurance_Close_change
2018-01-14,68.26,68.26,68.26,0.0,0.0,68.61,68.61,68.61,0.0,0.0,68.26,68.26,68.26,0.0,0.0,68.61,68.61,68.61,0.0,0.0
2018-01-21,69.88,69.88,69.88,0.0,0.0,69.95,69.95,69.95,0.0,0.0,69.32,69.32,69.32,0.0,0.0,69.32,69.32,69.32,0.0,0.0
2018-01-28,66.79,66.79,66.79,0.0,0.0,67.17,67.17,67.17,0.0,0.0,64.69,64.69,64.69,0.0,0.0,65.13,65.13,65.13,0.0,0.0
2018-02-04,64.0,64.0,64.0,0.0,0.0,64.37,64.37,64.37,0.0,0.0,63.32,63.32,63.32,0.0,0.0,63.82,63.82,63.82,0.0,0.0
2018-02-11,65.78,65.78,65.78,0.0,0.0,66.25,66.25,66.25,0.0,0.0,65.63,65.63,65.63,0.0,0.0,66.1,66.1,66.1,0.0,0.0
2018-02-18,65.92,65.92,65.92,0.0,0.0,66.32,66.32,66.32,0.0,0.0,65.76,65.76,65.76,0.0,0.0,66.26,66.26,66.26,0.0,0.0
2018-02-25,64.45,64.45,64.45,0.0,0.0,65.63,65.63,65.63,0.0,0.0,64.4,64.4,64.4,0.0,0.0,65.63,65.63,65.63,0.0,0.0
2018-03-04,67.03,67.03,67.03,0.0,0.0,67.37,67.37,67.37,0.0,0.0,66.58,66.58,66.58,0.0,0.0,66.91,66.91,66.91,0.0,0.0
2018-03-11,66.44,66.44,66.44,0.0,0.0,66.53,66.53,66.53,0.0,0.0,65.75,65.75,65.75,0.0,0.0,66.19,66.19,66.19,0.0,0.0
2018-03-18,63.8,63.8,63.8,0.0,0.0,64.5,64.5,64.5,0.0,0.0,63.53,63.53,63.53,0.0,0.0,64.47,64.47,64.47,0.0,0.0
2018-03-25,64.26,64.26,64.26,0.0,0.0,64.26,64.26,64.26,0.0,0.0,62.45,62.45,62.45,0.0,0.0,63.23,63.23,63.23,0.0,0.0
2018-04-01,63.98,63.98,63.98,0.0,0.0,64.33,64.33,64.33,0.0,0.0,63.55,63.55,63.55,0.0,0.0,64.32,64.32,64.32,0.0,0.0
2018-04-08,64.55,64.55,64.55,0.0,0.0,65.07,65.07,65.07,0.0,0.0,64.55,64.55,64.55,0.0,0.0,65.06,65.06,65.06,0.0,0.0
2018-04-15,65.42,65.42,65.42,0.0,0.0,65.6,65.6,65.6,0.0,0.0,65.25,65.25,65.25,0.0,0.0,65.43,65.43,65.43,0.0,0.0
