Date,CIStock_Open_average,CIStock_Open_max,CIStock_Open_min,CIStock_Open_volatility,CIStock_Open_change,CIStock_High_average,CIStock_High_max,CIStock_High_min,CIStock_High_volatility,CIStock_High_change,CIStock_Low_average,CIStock_Low_max,CIStock_Low_min,CIStock_Low_volatility,CIStock_Low_change,CIStock_Close_average,CIStock_Close_max,CIStock_Close_min,CIStock_Close_volatility,CIStock_Close_change,CIStock_Volume_average,CIStock_Volume_max,CIStock_Volume_min,CIStock_Volume_volatility,CIStock_Volume_change
2018-01-14,217.9475,220.66,215.07,5.590000000000003,5.590000000000003,219.79,221.23,216.34,4.889999999999986,4.889999999999986,216.435,218.57,213.86,4.7099999999999795,4.7099999999999795,218.73000000000002,220.36,214.75,5.610000000000014,5.400000000000006,1399514,1442881,1364015,78866,-78866
2018-01-21,221.258,221.99,220.5,1.490000000000009,1.490000000000009,222.764,226.27,220.8,5.469999999999999,5.469999999999999,219.812,221.45,218.68,2.769999999999982,2.769999999999982,221.928,226.22,219.79,6.430000000000007,5.469999999999999,831909,977031,718574,258457,94789
2018-01-28,212.632,225.76,204.13,21.629999999999995,-21.629999999999995,216.35999999999999,227.13,209.6,17.53,-17.53,208.258,223.78,198.84,24.939999999999998,-20.569999999999993,209.922,223.9,204.46,19.439999999999998,-19.439999999999998,2657409,4717384,936111,3781273,1222192
2018-02-04,196.006,203.4,192.02,11.379999999999995,-11.379999999999995,199.198,204.46,195.09,9.370000000000005,-9.370000000000005,191.09,194.38,187.14,7.240000000000009,-6.050000000000011,194.496,197.59,189.27,8.319999999999993,-2.6399999999999864,2311182,3059220,1637088,1422132,610222
2018-02-11,193.864,196.36,191.96,4.400000000000006,-3.069999999999993,196.15800000000002,197.31,195.1,2.210000000000008,-1.6800000000000068,191.902,193.47,190.72,2.75,-1.509999999999991,194.06,195.55,191.94,3.6100000000000136,0.25,1021370,1654498,645410,1009088,73951
2018-02-18,192.8775,193.2,192.57,0.6299999999999955,0.6299999999999955,194.6275,195.31,193.42,1.8900000000000148,1.460000000000008,191.375,192.05,190.68,1.3700000000000045,1.3700000000000045,192.735,194.79,191.65,3.1399999999999864,2.1899999999999977,956482,1116823,684465,432358,197193
2018-02-25,195.272,196.71,192.79,3.920000000000016,-2.490000000000009,196.91400000000002,199.09,193.69,5.400000000000006,-3.140000000000015,193.68800000000002,195.87,191.18,4.689999999999998,-2.930000000000007,195.01999999999998,196.85,193.06,3.789999999999992,-2.819999999999993,1424207,2302442,884568,1417874,-88693
2018-03-04,186.492,192.81,173.1,19.710000000000008,-18.74000000000001,187.854,194.43,174.69,19.74000000000001,-18.580000000000013,183.15,192.03,171.06,20.97,-17.579999999999984,185.216,194.25,172.0,22.25,-18.97999999999999,5375041,17356968,951732,16405236,5271127
2018-03-11,168.264,173.57,164.72,8.849999999999994,-5.769999999999982,169.594,173.6,167.62,5.97999999999999,-4.430000000000007,165.442,167.05,163.02,4.030000000000001,-0.28000000000000114,166.82999999999998,168.67,164.39,4.280000000000001,1.3599999999999852,5756072,8525216,3912436,4612780,-4612780
2018-03-18,166.566,168.38,165.61,2.769999999999982,-2.5600000000000023,168.026,169.56,166.84,2.719999999999999,-2.180000000000007,164.592,165.47,164.0,1.4699999999999989,-1.4699999999999989,165.566,167.05,164.0,3.0500000000000114,-2.4399999999999977,4183163,5671889,3333411,2338478,-470936
2018-03-25,167.31,169.12,165.01,4.110000000000014,3.8500000000000227,169.5075,170.13,168.87,1.259999999999991,0.5199999999999818,165.22750000000002,167.02,164.11,2.9099999999999966,2.9099999999999966,167.57,168.68,165.54,3.140000000000015,-0.9399999999999977,3236065,4070237,2736083,1334154,-365153
2018-04-01,167.52,169.67,165.25,4.4199999999999875,-0.5699999999999932,169.492,169.98,168.6,1.3799999999999955,0.46999999999999886,165.832,167.88,163.8,4.079999999999984,2.9299999999999784,167.628,169.03,164.65,4.3799999999999955,3.1699999999999875,2009708,2757003,1434696,1322307,-1131661
2018-04-08,169.704,171.67,168.66,3.009999999999991,2.9599999999999795,170.864,172.53,169.88,2.6500000000000057,2.6299999999999955,168.60999999999999,170.76,167.6,3.1599999999999966,2.969999999999999,169.8,171.65,167.94,3.710000000000008,3.710000000000008,2130507,3035612,1475948,1559664,1135088
2018-04-15,174.056,176.82,172.08,4.739999999999981,-0.13999999999998636,175.306,177.81,172.55,5.259999999999991,-3.1499999999999773,172.178,174.28,169.63,4.650000000000006,-2.0900000000000034,173.268,175.21,169.94,5.27000000000001,-5.140000000000015,2207931,2986800,1566205,1420595,786846
2018-04-22,171.678,172.44,170.4,2.039999999999992,1.829999999999984,173.542,174.98,172.38,2.5999999999999943,1.1199999999999761,170.446,172.18,168.86,3.319999999999993,1.9300000000000068,172.28799999999998,173.95,171.29,2.6599999999999966,1.5999999999999943,1703570,2376240,1249846,1126394,-885611
2018-04-29,172.424,174.0,170.63,3.3700000000000045,-1.25,173.758,174.75,172.97,1.7800000000000011,-1.289999999999992,169.684,171.77,166.25,5.52000000000001,-1.5800000000000125,171.85999999999999,172.88,171.07,1.8100000000000023,-0.6500000000000057,2120336,3118545,1494704,1623841,359956
2018-05-06,170.566,172.25,168.01,4.240000000000009,-1.0,172.416,174.27,170.78,3.490000000000009,1.6000000000000227,168.84799999999998,169.76,167.67,2.0900000000000034,1.3199999999999932,171.532,173.73,169.58,4.149999999999977,1.1399999999999864,2283603,2827272,1814640,1012632,-181576
2018-05-13,176.864,178.86,174.47,4.390000000000015,4.390000000000015,178.388,179.99,177.35,2.640000000000015,1.990000000000009,175.692,177.98,173.77,4.2099999999999795,4.2099999999999795,177.546,178.91,176.06,2.8499999999999943,0.5300000000000011,1663764,2797770,1064574,1733196,-1733196
2018-05-20,177.338,179.0,175.98,3.0200000000000102,-3.0200000000000102,177.876,179.29,176.98,2.3100000000000023,-2.3100000000000023,175.774,177.05,174.78,2.2700000000000102,-1.8100000000000023,176.706,177.45,175.85,1.5999999999999943,-1.549999999999983,1289667,1433097,1103588,329509,-64883
2018-05-27,172.8275,174.81,170.21,4.599999999999994,-4.599999999999994,173.4375,175.0,171.09,3.9099999999999966,-3.9099999999999966,170.39000000000001,171.71,169.11,2.5999999999999943,-2.3100000000000023,171.5225,173.32,169.37,3.9499999999999886,-1.7600000000000193,1505129,2019506,1162154,857352,-286370
2018-06-03,173.752,177.05,171.24,5.810000000000002,5.810000000000002,175.20999999999998,178.04,171.64,6.400000000000006,6.400000000000006,172.818,176.09,170.0,6.090000000000003,5.6299999999999955,174.336,177.81,170.83,6.97999999999999,6.810000000000002,1625740,2680488,1011600,1668888,655552
2018-06-10,178.216,180.58,175.66,4.920000000000016,-2.75,179.534,182.1,177.0,5.099999999999994,-5.099999999999994,176.098,178.52,174.55,3.969999999999999,-3.1899999999999977,177.266,180.95,175.05,5.899999999999977,-5.899999999999977,2594688,3729592,1500312,2229280,1680644
2018-06-17,174.432,175.45,173.1,2.3499999999999943,0.9099999999999966,175.586,176.09,174.4,1.6899999999999977,0.7199999999999989,173.28199999999998,173.92,172.64,1.2800000000000011,0.7800000000000011,174.418,175.72,173.36,2.359999999999985,0.15000000000000568,1970646,2526428,1420502,1105926,940881
2018-06-24,172.05,174.06,169.98,4.0800000000000125,-3.6599999999999966,173.252,175.99,170.0,5.990000000000009,-4.930000000000007,170.204,172.8,163.97,8.830000000000013,-2.4499999999999886,171.864,173.85,169.76,4.090000000000003,-3.9000000000000057,2215865,4021724,1505958,2515766,100288
2018-07-01,170.4825,172.0,169.29,2.710000000000008,2.530000000000001,171.16500000000002,172.52,169.47,3.0500000000000114,3.0500000000000114,169.2875,171.16,166.88,4.280000000000001,4.280000000000001,170.84,172.1,169.03,3.069999999999993,3.069999999999993,1089131,1396902,783851,613051,-613051
2018-07-08,172.762,173.68,172.08,1.5999999999999943,-0.09000000000000341,173.84,174.11,173.45,0.660000000000025,-0.3100000000000023,172.024,172.59,171.1,1.490000000000009,0.12999999999999545,172.902,173.45,171.79,1.6599999999999966,-0.12999999999999545,1299463,2201867,700376,1501491,-451390
2018-07-15,173.668,177.93,170.81,7.1200000000000045,1.4000000000000057,176.596,179.48,172.02,7.4599999999999795,6.1699999999999875,171.874,174.3,167.83,6.469999999999999,2.030000000000001,174.96,178.09,170.71,7.3799999999999955,5.740000000000009,3163357,5413464,1451982,3961482,1745063
