Date,ProShares DJ Brookfield Global Infr_Open_average,ProShares DJ Brookfield Global Infr_Open_max,ProShares DJ Brookfield Global Infr_Open_min,ProShares DJ Brookfield Global Infr_Open_volatility,ProShares DJ Brookfield Global Infr_Open_change,ProShares DJ Brookfield Global Infr_High_average,ProShares DJ Brookfield Global Infr_High_max,ProShares DJ Brookfield Global Infr_High_min,ProShares DJ Brookfield Global Infr_High_volatility,ProShares DJ Brookfield Global Infr_High_change,ProShares DJ Brookfield Global Infr_Low_average,ProShares DJ Brookfield Global Infr_Low_max,ProShares DJ Brookfield Global Infr_Low_min,ProShares DJ Brookfield Global Infr_Low_volatility,ProShares DJ Brookfield Global Infr_Low_change,ProShares DJ Brookfield Global Infr_Close_average,ProShares DJ Brookfield Global Infr_Close_max,ProShares DJ Brookfield Global Infr_Close_min,ProShares DJ Brookfield Global Infr_Close_volatility,ProShares DJ Brookfield Global Infr_Close_change
2018-01-14,43.6,43.6,43.6,0.0,0.0,43.82,43.82,43.82,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.78,43.78,43.78,0.0,0.0
2018-01-21,43.81,43.81,43.81,0.0,0.0,43.81,43.81,43.81,0.0,0.0,43.43,43.43,43.43,0.0,0.0,43.43,43.43,43.43,0.0,0.0
2018-01-28,42.0,42.0,42.0,0.0,0.0,42.22,42.22,42.22,0.0,0.0,41.09,41.09,41.09,0.0,0.0,41.34,41.34,41.34,0.0,0.0
2018-02-04,40.47,40.47,40.47,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.61,40.61,40.61,0.0,0.0
2018-02-11,41.52,41.52,41.52,0.0,0.0,41.67,41.67,41.67,0.0,0.0,41.39,41.39,41.39,0.0,0.0,41.57,41.57,41.57,0.0,0.0
2018-02-18,41.38,41.38,41.38,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.47,41.47,41.47,0.0,0.0
2018-02-25,40.19,40.19,40.19,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.19,40.19,40.19,0.0,0.0,40.4,40.4,40.4,0.0,0.0
2018-03-04,41.13,41.13,41.13,0.0,0.0,41.27,41.27,41.27,0.0,0.0,41.13,41.13,41.13,0.0,0.0,41.27,41.27,41.27,0.0,0.0
2018-03-11,40.69,40.69,40.69,0.0,0.0,40.69,40.69,40.69,0.0,0.0,40.14,40.14,40.14,0.0,0.0,40.28,40.28,40.28,0.0,0.0
2018-03-18,39.68,39.68,39.68,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2018-03-25,40.1,40.1,40.1,0.0,0.0,40.15,40.15,40.15,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2018-04-01,40.35,40.35,40.35,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.46,40.46,40.46,0.0,0.0
2018-04-08,40.8,40.8,40.8,0.0,0.0,41.14,41.14,41.14,0.0,0.0,40.8,40.8,40.8,0.0,0.0,41.08,41.08,41.08,0.0,0.0
2018-04-15,40.93,40.93,40.93,0.0,0.0,41.05,41.05,41.05,0.0,0.0,40.86,40.86,40.86,0.0,0.0,40.93,40.93,40.93,0.0,0.0
2018-04-22,41.1,41.1,41.1,0.0,0.0,41.19,41.19,41.19,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.0,41.0,41.0,0.0,0.0
