Date,SPDR S&P Technology Hardware_Open_average,SPDR S&P Technology Hardware_Open_max,SPDR S&P Technology Hardware_Open_min,SPDR S&P Technology Hardware_Open_volatility,SPDR S&P Technology Hardware_Open_change,SPDR S&P Technology Hardware_High_average,SPDR S&P Technology Hardware_High_max,SPDR S&P Technology Hardware_High_min,SPDR S&P Technology Hardware_High_volatility,SPDR S&P Technology Hardware_High_change,SPDR S&P Technology Hardware_Low_average,SPDR S&P Technology Hardware_Low_max,SPDR S&P Technology Hardware_Low_min,SPDR S&P Technology Hardware_Low_volatility,SPDR S&P Technology Hardware_Low_change,SPDR S&P Technology Hardware_Close_average,SPDR S&P Technology Hardware_Close_max,SPDR S&P Technology Hardware_Close_min,SPDR S&P Technology Hardware_Close_volatility,SPDR S&P Technology Hardware_Close_change
2018-01-14,80.83,80.83,80.83,0.0,0.0,80.83,80.83,80.83,0.0,0.0,79.57,79.57,79.57,0.0,0.0,79.66,79.66,79.66,0.0,0.0
2018-01-21,78.56,78.56,78.56,0.0,0.0,79.29,79.29,79.29,0.0,0.0,78.56,78.56,78.56,0.0,0.0,79.29,79.29,79.29,0.0,0.0
2018-01-28,74.71,74.71,74.71,0.0,0.0,74.86,74.86,74.86,0.0,0.0,71.86,71.86,71.86,0.0,0.0,71.86,71.86,71.86,0.0,0.0
2018-02-04,70.15,70.15,70.15,0.0,0.0,70.37,70.37,70.37,0.0,0.0,70.15,70.15,70.15,0.0,0.0,70.34,70.34,70.34,0.0,0.0
2018-02-11,73.36,73.36,73.36,0.0,0.0,73.36,73.36,73.36,0.0,0.0,73.36,73.36,73.36,0.0,0.0,73.36,73.36,73.36,0.0,0.0
2018-02-18,73.99,73.99,73.99,0.0,0.0,74.81,74.81,74.81,0.0,0.0,73.99,73.99,73.99,0.0,0.0,74.81,74.81,74.81,0.0,0.0
2018-02-25,74.67,74.67,74.67,0.0,0.0,74.67,74.67,74.67,0.0,0.0,74.67,74.67,74.67,0.0,0.0,74.67,74.67,74.67,0.0,0.0
2018-03-04,77.6,77.6,77.6,0.0,0.0,78.1,78.1,78.1,0.0,0.0,77.6,77.6,77.6,0.0,0.0,77.91,77.91,77.91,0.0,0.0
2018-03-11,77.13,77.13,77.13,0.0,0.0,77.13,77.13,77.13,0.0,0.0,76.15,76.15,76.15,0.0,0.0,76.15,76.15,76.15,0.0,0.0
2018-03-18,72.34,72.34,72.34,0.0,0.0,72.34,72.34,72.34,0.0,0.0,72.34,72.34,72.34,0.0,0.0,72.34,72.34,72.34,0.0,0.0
2018-03-25,69.1,69.1,69.1,0.0,0.0,69.1,69.1,69.1,0.0,0.0,69.1,69.1,69.1,0.0,0.0,69.1,69.1,69.1,0.0,0.0
2018-04-01,69.26,69.26,69.26,0.0,0.0,70.38,70.38,70.38,0.0,0.0,69.26,69.26,69.26,0.0,0.0,70.38,70.38,70.38,0.0,0.0
2018-04-08,71.89,71.89,71.89,0.0,0.0,72.7,72.7,72.7,0.0,0.0,71.89,71.89,71.89,0.0,0.0,72.7,72.7,72.7,0.0,0.0
2018-04-15,74.45,74.45,74.45,0.0,0.0,74.45,74.45,74.45,0.0,0.0,74.45,74.45,74.45,0.0,0.0,74.45,74.45,74.45,0.0,0.0
2018-04-22,70.54,70.54,70.54,0.0,0.0,70.54,70.54,70.54,0.0,0.0,70.54,70.54,70.54,0.0,0.0,70.54,70.54,70.54,0.0,0.0
2018-04-29,71.21,71.21,71.21,0.0,0.0,71.21,71.21,71.21,0.0,0.0,71.21,71.21,71.21,0.0,0.0,71.21,71.21,71.21,0.0,0.0
2018-05-06,74.6,74.6,74.6,0.0,0.0,74.6,74.6,74.6,0.0,0.0,74.6,74.6,74.6,0.0,0.0,74.6,74.6,74.6,0.0,0.0
2018-05-13,74.12,74.12,74.12,0.0,0.0,74.12,74.12,74.12,0.0,0.0,74.12,74.12,74.12,0.0,0.0,74.12,74.12,74.12,0.0,0.0
2018-05-20,74.26,74.26,74.26,0.0,0.0,74.26,74.26,74.26,0.0,0.0,74.26,74.26,74.26,0.0,0.0,74.26,74.26,74.26,0.0,0.0
2018-05-27,75.18,75.18,75.18,0.0,0.0,75.5,75.5,75.5,0.0,0.0,75.18,75.18,75.18,0.0,0.0,75.5,75.5,75.5,0.0,0.0
