Date,IPHS_stock_Open_average,IPHS_stock_Open_max,IPHS_stock_Open_min,IPHS_stock_Open_volatility,IPHS_stock_Open_change,IPHS_stock_High_average,IPHS_stock_High_max,IPHS_stock_High_min,IPHS_stock_High_volatility,IPHS_stock_High_change,IPHS_stock_Low_average,IPHS_stock_Low_max,IPHS_stock_Low_min,IPHS_stock_Low_volatility,IPHS_stock_Low_change,IPHS_stock_Close_average,IPHS_stock_Close_max,IPHS_stock_Close_min,IPHS_stock_Close_volatility,IPHS_stock_Close_change,IPHS_stock_Volume_average,IPHS_stock_Volume_max,IPHS_stock_Volume_min,IPHS_stock_Volume_volatility,IPHS_stock_Volume_change
2018-01-14,46.49,46.81,46.12,0.6900000000000048,-0.2600000000000051,47.3125,47.39,47.15,0.240000000000002,-0.02999999999999403,46.0475,46.27,45.88,0.39000000000000057,-0.39000000000000057,46.705,47.24,46.13,1.1099999999999994,0.7100000000000009,91135,94322,88349,5973,-5973
2018-01-21,47.118,47.51,46.53,0.9799999999999969,0.259999999999998,47.624,47.85,47.34,0.509999999999998,0.1600000000000037,46.306,46.66,45.88,0.779999999999994,-0.23999999999999488,46.98,47.25,46.44,0.8100000000000023,0.14000000000000057,143362,208724,94685,114039,55241
2018-01-28,46.49,47.05,46.1,0.9499999999999957,-0.9499999999999957,46.83,47.22,46.2,1.019999999999996,-1.019999999999996,45.778,46.29,44.99,1.2999999999999972,-1.2999999999999972,46.18,46.78,45.01,1.7700000000000031,-1.7700000000000031,163646,277357,105817,171540,-171540
2018-02-04,42.856,44.81,42.03,2.780000000000001,-2.780000000000001,43.354,45.17,42.26,2.9100000000000037,-2.9100000000000037,41.748,42.91,40.45,2.4599999999999937,-2.4599999999999937,42.286,42.92,41.61,1.3100000000000023,-1.2000000000000028,143305,192651,119652,72999,-19772
2018-02-11,42.53,43.34,41.8,1.5400000000000063,1.4200000000000017,43.138,43.8,42.45,1.3499999999999943,1.3399999999999963,42.184,42.74,41.29,1.4500000000000028,1.4500000000000028,42.874,43.3,42.28,1.019999999999996,0.9699999999999989,81201,102532,59826,42706,-17893
2018-02-18,43.1025,43.66,42.26,1.3999999999999986,0.36999999999999744,44.2475,44.78,43.55,1.230000000000004,0.8400000000000034,42.0375,42.66,41.2,1.4599999999999937,0.3499999999999943,43.185,43.66,42.67,0.9899999999999949,0.7199999999999989,281173,477028,141057,335971,145802
2018-02-25,42.736,43.81,41.43,2.3800000000000026,-2.0900000000000034,43.372,44.25,42.54,1.7100000000000009,-1.6499999999999986,42.052,43.18,41.22,1.9600000000000009,-1.9600000000000009,42.556000000000004,44.09,41.56,2.530000000000001,-1.720000000000006,205698,268489,144725,123764,-107519
2018-03-04,42.688,43.34,42.23,1.1100000000000065,0.37000000000000455,43.368,44.0,42.51,1.490000000000002,1.0600000000000023,42.382,43.04,41.94,1.1000000000000014,0.2700000000000031,43.044,43.69,42.23,1.4600000000000009,1.2000000000000028,121071,141748,87505,54243,-4695
2018-03-11,42.892,43.86,41.76,2.1000000000000014,-1.6900000000000048,43.094,43.93,42.17,1.759999999999998,-1.6899999999999977,42.16,43.03,41.5,1.5300000000000011,-1.5300000000000011,42.454,43.72,41.77,1.9499999999999957,-1.9399999999999977,172194,265096,100951,164145,87871
2018-03-18,41.27,41.79,40.62,1.1700000000000017,-1.1700000000000017,41.852,42.12,41.51,0.6099999999999994,0.19999999999999574,40.49,41.29,38.82,2.469999999999999,-2.3200000000000003,40.694,41.42,39.0,2.4200000000000017,-2.3599999999999994,176291,266862,101736,165126,-102546
