Date,SPDR S&P Insurance_Open_average,SPDR S&P Insurance_Open_max,SPDR S&P Insurance_Open_min,SPDR S&P Insurance_Open_volatility,SPDR S&P Insurance_Open_change,SPDR S&P Insurance_High_average,SPDR S&P Insurance_High_max,SPDR S&P Insurance_High_min,SPDR S&P Insurance_High_volatility,SPDR S&P Insurance_High_change,SPDR S&P Insurance_Low_average,SPDR S&P Insurance_Low_max,SPDR S&P Insurance_Low_min,SPDR S&P Insurance_Low_volatility,SPDR S&P Insurance_Low_change,SPDR S&P Insurance_Close_average,SPDR S&P Insurance_Close_max,SPDR S&P Insurance_Close_min,SPDR S&P Insurance_Close_volatility,SPDR S&P Insurance_Close_change
2018-01-14,31.55,31.55,31.55,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2018-01-21,32.29,32.29,32.29,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2018-01-28,31.17,31.17,31.17,0.0,0.0,31.44,31.44,31.44,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2018-02-04,30.07,30.07,30.07,0.0,0.0,30.38,30.38,30.38,0.0,0.0,29.8,29.8,29.8,0.0,0.0,30.1,30.1,30.1,0.0,0.0
2018-02-11,30.83,30.83,30.83,0.0,0.0,31.15,31.15,31.15,0.0,0.0,30.83,30.83,30.83,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2018-02-18,30.94,30.94,30.94,0.0,0.0,31.13,31.13,31.13,0.0,0.0,30.84,30.84,30.84,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2018-02-25,30.27,30.27,30.27,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.27,30.27,30.27,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2018-03-04,31.99,31.99,31.99,0.0,0.0,31.99,31.99,31.99,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.76,31.76,31.76,0.0,0.0
2018-03-11,31.62,31.62,31.62,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.55,31.55,31.55,0.0,0.0
2018-03-18,30.66,30.66,30.66,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.51,30.51,30.51,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-03-25,31.0,31.0,31.0,0.0,0.0,31.14,31.14,31.14,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2018-04-01,30.66,30.66,30.66,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2018-04-08,30.91,30.91,30.91,0.0,0.0,31.23,31.23,31.23,0.0,0.0,30.9,30.9,30.9,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2018-04-15,31.32,31.32,31.32,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.27,31.27,31.27,0.0,0.0
