Date,Aptus Behavioral Momentum_Open_average,Aptus Behavioral Momentum_Open_max,Aptus Behavioral Momentum_Open_min,Aptus Behavioral Momentum_Open_volatility,Aptus Behavioral Momentum_Open_change,Aptus Behavioral Momentum_High_average,Aptus Behavioral Momentum_High_max,Aptus Behavioral Momentum_High_min,Aptus Behavioral Momentum_High_volatility,Aptus Behavioral Momentum_High_change,Aptus Behavioral Momentum_Low_average,Aptus Behavioral Momentum_Low_max,Aptus Behavioral Momentum_Low_min,Aptus Behavioral Momentum_Low_volatility,Aptus Behavioral Momentum_Low_change,Aptus Behavioral Momentum_Close_average,Aptus Behavioral Momentum_Close_max,Aptus Behavioral Momentum_Close_min,Aptus Behavioral Momentum_Close_volatility,Aptus Behavioral Momentum_Close_change
2018-01-14,32.45,32.45,32.45,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2018-01-21,33.31,33.31,33.31,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2018-01-28,31.94,31.94,31.94,0.0,0.0,32.29,32.29,32.29,0.0,0.0,31.02,31.02,31.02,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-02-04,31.04,31.04,31.04,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.17,31.17,31.17,0.0,0.0
2018-02-11,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2018-02-18,32.29,32.29,32.29,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2018-02-25,31.93,31.93,31.93,0.0,0.0,32.34,32.34,32.34,0.0,0.0,31.86,31.86,31.86,0.0,0.0,32.34,32.34,32.34,0.0,0.0
2018-03-04,33.49,33.49,33.49,0.0,0.0,33.49,33.49,33.49,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-03-11,32.78,32.78,32.78,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2018-03-18,31.86,31.86,31.86,0.0,0.0,32.33,32.33,32.33,0.0,0.0,31.79,31.79,31.79,0.0,0.0,32.33,32.33,32.33,0.0,0.0
