Date,USAA MSCI EM Value Momentum Blend_etf_Open_average,USAA MSCI EM Value Momentum Blend_etf_Open_max,USAA MSCI EM Value Momentum Blend_etf_Open_min,USAA MSCI EM Value Momentum Blend_etf_Open_volatility,USAA MSCI EM Value Momentum Blend_etf_Open_change,USAA MSCI EM Value Momentum Blend_etf_High_average,USAA MSCI EM Value Momentum Blend_etf_High_max,USAA MSCI EM Value Momentum Blend_etf_High_min,USAA MSCI EM Value Momentum Blend_etf_High_volatility,USAA MSCI EM Value Momentum Blend_etf_High_change,USAA MSCI EM Value Momentum Blend_etf_Low_average,USAA MSCI EM Value Momentum Blend_etf_Low_max,USAA MSCI EM Value Momentum Blend_etf_Low_min,USAA MSCI EM Value Momentum Blend_etf_Low_volatility,USAA MSCI EM Value Momentum Blend_etf_Low_change,USAA MSCI EM Value Momentum Blend_etf_Close_average,USAA MSCI EM Value Momentum Blend_etf_Close_max,USAA MSCI EM Value Momentum Blend_etf_Close_min,USAA MSCI EM Value Momentum Blend_etf_Close_volatility,USAA MSCI EM Value Momentum Blend_etf_Close_change
2018-01-14,54.54,54.54,54.54,0.0,0.0,54.71,54.71,54.71,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2018-01-21,55.87,55.87,55.87,0.0,0.0,56.13,56.13,56.13,0.0,0.0,55.79,55.79,55.79,0.0,0.0,56.13,56.13,56.13,0.0,0.0
2018-01-28,54.29,54.29,54.29,0.0,0.0,54.29,54.29,54.29,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.66,53.66,53.66,0.0,0.0
2018-02-04,50.32,50.32,50.32,0.0,0.0,50.86,50.86,50.86,0.0,0.0,49.1,49.1,49.1,0.0,0.0,50.45,50.45,50.45,0.0,0.0
2018-02-11,53.08,53.08,53.08,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.08,53.08,53.08,0.0,0.0,53.26,53.26,53.26,0.0,0.0
2018-02-18,53.14,53.14,53.14,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.13,53.13,53.13,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2018-02-25,51.3,51.3,51.3,0.0,0.0,52.01,52.01,52.01,0.0,0.0,51.3,51.3,51.3,0.0,0.0,51.97,51.97,51.97,0.0,0.0
2018-03-04,52.54,52.54,52.54,0.0,0.0,53.13,53.13,53.13,0.0,0.0,52.54,52.54,52.54,0.0,0.0,53.08,53.08,53.08,0.0,0.0
2018-03-11,52.6,52.6,52.6,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.71,52.71,52.71,0.0,0.0
2018-03-18,51.34,51.34,51.34,0.0,0.0,51.34,51.34,51.34,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2018-03-25,51.74,51.74,51.74,0.0,0.0,52.3,52.3,52.3,0.0,0.0,51.74,51.74,51.74,0.0,0.0,52.07,52.07,52.07,0.0,0.0
2018-04-01,51.62,51.62,51.62,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2018-04-08,51.95,51.95,51.95,0.0,0.0,51.95,51.95,51.95,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.64,51.64,51.64,0.0,0.0
2018-04-15,51.59,51.59,51.59,0.0,0.0,51.59,51.59,51.59,0.0,0.0,51.12,51.12,51.12,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2018-04-22,51.39,51.39,51.39,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.54,51.54,51.54,0.0,0.0
2018-04-29,50.38,50.38,50.38,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2018-05-06,51.18,51.18,51.18,0.0,0.0,51.68,51.68,51.68,0.0,0.0,51.18,51.18,51.18,0.0,0.0,51.61,51.61,51.61,0.0,0.0
2018-05-13,50.86,50.86,50.86,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.78,50.78,50.78,0.0,0.0,50.89,50.89,50.89,0.0,0.0
2018-05-20,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.32,50.32,50.32,0.0,0.0
2018-05-27,50.31,50.31,50.31,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.32,50.32,50.32,0.0,0.0
2018-06-03,50.69,50.69,50.69,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.82,50.82,50.82,0.0,0.0
