Date,Elkhorn Lunt Low Vol High Beta Tactical_Open_average,Elkhorn Lunt Low Vol High Beta Tactical_Open_max,Elkhorn Lunt Low Vol High Beta Tactical_Open_min,Elkhorn Lunt Low Vol High Beta Tactical_Open_volatility,Elkhorn Lunt Low Vol High Beta Tactical_Open_change,Elkhorn Lunt Low Vol High Beta Tactical_High_average,Elkhorn Lunt Low Vol High Beta Tactical_High_max,Elkhorn Lunt Low Vol High Beta Tactical_High_min,Elkhorn Lunt Low Vol High Beta Tactical_High_volatility,Elkhorn Lunt Low Vol High Beta Tactical_High_change,Elkhorn Lunt Low Vol High Beta Tactical_Low_average,Elkhorn Lunt Low Vol High Beta Tactical_Low_max,Elkhorn Lunt Low Vol High Beta Tactical_Low_min,Elkhorn Lunt Low Vol High Beta Tactical_Low_volatility,Elkhorn Lunt Low Vol High Beta Tactical_Low_change,Elkhorn Lunt Low Vol High Beta Tactical_Close_average,Elkhorn Lunt Low Vol High Beta Tactical_Close_max,Elkhorn Lunt Low Vol High Beta Tactical_Close_min,Elkhorn Lunt Low Vol High Beta Tactical_Close_volatility,Elkhorn Lunt Low Vol High Beta Tactical_Close_change
2018-01-14,33.9,33.9,33.9,0.0,0.0,34.09,34.09,34.09,0.0,0.0,33.87,33.87,33.87,0.0,0.0,34.07,34.07,34.07,0.0,0.0
2018-01-21,34.39,34.39,34.39,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.22,34.22,34.22,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2018-01-28,32.69,32.69,32.69,0.0,0.0,32.71,32.71,32.71,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2018-02-04,31.03,31.03,31.03,0.0,0.0,31.56,31.56,31.56,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2018-02-11,32.38,32.38,32.38,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.34,32.34,32.34,0.0,0.0
2018-02-18,32.88,32.88,32.88,0.0,0.0,33.14,33.14,33.14,0.0,0.0,32.81,32.81,32.81,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2018-02-25,32.03,32.03,32.03,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2018-03-04,33.85,33.85,33.85,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2018-03-11,33.38,33.38,33.38,0.0,0.0,33.38,33.38,33.38,0.0,0.0,32.62,32.62,32.62,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2018-03-18,31.84,31.84,31.84,0.0,0.0,32.32,32.32,32.32,0.0,0.0,31.5,31.5,31.5,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2018-03-25,31.69,31.69,31.69,0.0,0.0,31.69,31.69,31.69,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.85,30.85,30.85,0.0,0.0
2018-04-01,31.18,31.18,31.18,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2018-04-08,31.43,31.43,31.43,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2018-04-15,31.25,31.25,31.25,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2018-04-22,31.4,31.4,31.4,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.1,31.1,31.1,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2018-04-29,31.16,31.16,31.16,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.05,31.05,31.05,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2018-05-06,31.4,31.4,31.4,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2018-05-13,31.27,31.27,31.27,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.05,31.05,31.05,0.0,0.0,31.17,31.17,31.17,0.0,0.0
2018-05-20,31.14,31.14,31.14,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2018-05-27,31.59,31.59,31.59,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-06-03,31.52,31.52,31.52,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2018-06-10,31.42,31.42,31.42,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.66,31.66,31.66,0.0,0.0
2018-06-17,30.58,30.58,30.58,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-06-24,29.93,29.93,29.93,0.0,0.0,30.23,30.23,30.23,0.0,0.0,29.92,29.92,29.92,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2018-07-01,30.6,30.6,30.6,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2018-07-08,30.74,30.74,30.74,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2018-07-15,30.64,30.64,30.64,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2018-07-22,30.95,30.95,30.95,0.0,0.0,30.95,30.95,30.95,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.87,30.87,30.87,0.0,0.0
2018-07-29,31.45,31.45,31.45,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.42,31.42,31.42,0.0,0.0
2018-08-05,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.1,31.1,31.1,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2018-08-12,31.78,31.78,31.78,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2018-08-19,31.73,31.73,31.73,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.7,31.7,31.7,0.0,0.0
