Date,SPDR MSCI ACWI Low Carbon Target_Open_average,SPDR MSCI ACWI Low Carbon Target_Open_max,SPDR MSCI ACWI Low Carbon Target_Open_volatility,SPDR MSCI ACWI Low Carbon Target_Open_change,SPDR MSCI ACWI Low Carbon Target_High_average,SPDR MSCI ACWI Low Carbon Target_High_max,SPDR MSCI ACWI Low Carbon Target_High_volatility,SPDR MSCI ACWI Low Carbon Target_High_change,SPDR MSCI ACWI Low Carbon Target_Low_average,SPDR MSCI ACWI Low Carbon Target_Low_max,SPDR MSCI ACWI Low Carbon Target_Low_volatility,SPDR MSCI ACWI Low Carbon Target_Low_change,SPDR MSCI ACWI Low Carbon Target_Close_average,SPDR MSCI ACWI Low Carbon Target_Close_max,SPDR MSCI ACWI Low Carbon Target_Close_volatility,SPDR MSCI ACWI Low Carbon Target_Close_change
2016-01-03,66.62,66.62,0.0,0.0,66.62,66.62,0.0,0.0,66.18,66.18,0.0,0.0,66.18,66.18,0.0,0.0
2016-01-10,64.15,64.15,0.0,0.0,64.41,64.41,0.0,0.0,64.15,64.15,0.0,0.0,64.39,64.39,0.0,0.0
2016-01-17,65.39,65.39,0.0,0.0,65.39,65.39,0.0,0.0,65.39,65.39,0.0,0.0,65.39,65.39,0.0,0.0
2016-01-24,65.22,65.22,0.0,0.0,65.34,65.34,0.0,0.0,65.22,65.22,0.0,0.0,65.34,65.34,0.0,0.0
2016-01-31,63.51,63.51,0.0,0.0,63.53,63.53,0.0,0.0,63.12,63.12,0.0,0.0,63.12,63.12,0.0,0.0
2016-02-07,62.89,62.89,0.0,0.0,63.49,63.49,0.0,0.0,62.87,62.87,0.0,0.0,63.49,63.49,0.0,0.0
2016-02-14,65.68,65.68,0.0,0.0,65.68,65.68,0.0,0.0,65.68,65.68,0.0,0.0,65.68,65.68,0.0,0.0
2016-02-21,65.98,65.98,0.0,0.0,66.36,66.36,0.0,0.0,65.98,65.98,0.0,0.0,66.36,66.36,0.0,0.0
2016-02-28,69.02,69.02,0.0,0.0,69.02,69.02,0.0,0.0,69.01,69.01,0.0,0.0,69.01,69.01,0.0,0.0
2016-03-06,69.4,69.4,0.0,0.0,69.44,69.44,0.0,0.0,69.4,69.4,0.0,0.0,69.43,69.43,0.0,0.0
2016-03-13,70.54,70.54,0.0,0.0,70.65,70.65,0.0,0.0,70.54,70.54,0.0,0.0,70.65,70.65,0.0,0.0
2016-03-20,70.29,70.29,0.0,0.0,70.29,70.29,0.0,0.0,70.29,70.29,0.0,0.0,70.29,70.29,0.0,0.0
2016-03-27,70.55,70.55,0.0,0.0,70.63,70.63,0.0,0.0,70.38,70.38,0.0,0.0,70.38,70.38,0.0,0.0
2016-04-03,70.38,70.38,0.0,0.0,70.38,70.38,0.0,0.0,70.38,70.38,0.0,0.0,70.38,70.38,0.0,0.0
2016-04-10,71.54,71.54,0.0,0.0,71.54,71.54,0.0,0.0,71.54,71.54,0.0,0.0,71.54,71.54,0.0,0.0
2016-04-17,72.34,72.34,0.0,0.0,72.34,72.34,0.0,0.0,72.34,72.34,0.0,0.0,72.34,72.34,0.0,0.0
2016-04-24,71.78,71.78,0.0,0.0,71.78,71.78,0.0,0.0,71.78,71.78,0.0,0.0,71.78,71.78,0.0,0.0
2016-05-01,70.45,70.45,0.0,0.0,70.45,70.45,0.0,0.0,70.12,70.12,0.0,0.0,70.12,70.12,0.0,0.0
2016-05-08,70.72,70.72,0.0,0.0,70.72,70.72,0.0,0.0,70.72,70.72,0.0,0.0,70.72,70.72,0.0,0.0
2016-05-15,70.4,70.4,0.0,0.0,70.45,70.45,0.0,0.0,70.4,70.4,0.0,0.0,70.45,70.45,0.0,0.0
2016-05-22,72.07,72.07,0.0,0.0,72.09,72.09,0.0,0.0,71.93,71.93,0.0,0.0,71.93,71.93,0.0,0.0
2016-05-29,72.81,72.81,0.0,0.0,72.89,72.89,0.0,0.0,72.81,72.81,0.0,0.0,72.89,72.89,0.0,0.0
2016-06-05,71.34,71.34,0.0,0.0,71.37,71.37,0.0,0.0,70.99,70.99,0.0,0.0,70.99,70.99,0.0,0.0
2016-06-12,71.24,71.24,0.0,0.0,71.24,71.24,0.0,0.0,71.22,71.22,0.0,0.0,71.22,71.22,0.0,0.0
2016-06-19,67.31,67.31,0.0,0.0,67.31,67.31,0.0,0.0,66.75,66.75,0.0,0.0,67.08,67.08,0.0,0.0
2016-06-26,70.39,70.39,0.0,0.0,70.79,70.79,0.0,0.0,70.39,70.39,0.0,0.0,70.79,70.79,0.0,0.0
2016-07-03,71.79,71.79,0.0,0.0,71.86,71.86,0.0,0.0,71.79,71.79,0.0,0.0,71.86,71.86,0.0,0.0
2016-07-10,72.9,72.9,0.0,0.0,72.9,72.9,0.0,0.0,72.9,72.9,0.0,0.0,72.9,72.9,0.0,0.0
2016-07-17,73.0,73.0,0.0,0.0,73.0,73.0,0.0,0.0,73.0,73.0,0.0,0.0,73.0,73.0,0.0,0.0
2016-07-24,73.3,73.3,0.0,0.0,73.32,73.32,0.0,0.0,72.97,72.97,0.0,0.0,72.97,72.97,0.0,0.0
2016-07-31,73.86,73.86,0.0,0.0,73.86,73.86,0.0,0.0,73.86,73.86,0.0,0.0,73.86,73.86,0.0,0.0
2016-08-07,74.99,74.99,0.0,0.0,75.04,75.04,0.0,0.0,74.99,74.99,0.0,0.0,75.04,75.04,0.0,0.0
2016-08-14,74.51,74.51,0.0,0.0,74.62,74.62,0.0,0.0,74.48,74.48,0.0,0.0,74.62,74.62,0.0,0.0
2016-08-21,74.35,74.35,0.0,0.0,74.35,74.35,0.0,0.0,74.3,74.3,0.0,0.0,74.3,74.3,0.0,0.0
2016-08-28,74.86,74.86,0.0,0.0,74.86,74.86,0.0,0.0,74.86,74.86,0.0,0.0,74.86,74.86,0.0,0.0
2016-09-04,73.54,73.54,0.0,0.0,73.54,73.54,0.0,0.0,73.54,73.54,0.0,0.0,73.54,73.54,0.0,0.0
2016-09-11,73.83,73.83,0.0,0.0,73.83,73.83,0.0,0.0,73.52,73.52,0.0,0.0,73.52,73.52,0.0,0.0
2016-09-18,74.12,74.12,0.0,0.0,74.24,74.24,0.0,0.0,74.09,74.09,0.0,0.0,74.24,74.24,0.0,0.0
2016-09-25,74.45,74.45,0.0,0.0,74.55,74.55,0.0,0.0,74.37,74.37,0.0,0.0,74.52,74.52,0.0,0.0
2016-10-02,74.39,74.39,0.0,0.0,74.39,74.39,0.0,0.0,74.13,74.13,0.0,0.0,74.13,74.13,0.0,0.0
2016-10-09,73.17,73.17,0.0,0.0,73.17,73.17,0.0,0.0,72.99,72.99,0.0,0.0,72.99,72.99,0.0,0.0
2016-10-16,74.11,74.11,0.0,0.0,74.11,74.11,0.0,0.0,73.95,73.95,0.0,0.0,73.95,73.95,0.0,0.0
2016-10-23,73.27,73.27,0.0,0.0,73.27,73.27,0.0,0.0,73.27,73.27,0.0,0.0,73.27,73.27,0.0,0.0
2016-10-30,72.76,72.76,0.0,0.0,72.76,72.76,0.0,0.0,72.76,72.76,0.0,0.0,72.76,72.76,0.0,0.0
2016-11-06,72.78,72.78,0.0,0.0,72.78,72.78,0.0,0.0,72.78,72.78,0.0,0.0,72.78,72.78,0.0,0.0
2016-11-13,73.59,73.59,0.0,0.0,73.59,73.59,0.0,0.0,73.59,73.59,0.0,0.0,73.59,73.59,0.0,0.0
2016-11-20,73.83,73.83,0.0,0.0,73.83,73.83,0.0,0.0,73.83,73.83,0.0,0.0,73.83,73.83,0.0,0.0
2016-11-27,74.07,74.07,0.0,0.0,74.12,74.12,0.0,0.0,74.07,74.07,0.0,0.0,74.12,74.12,0.0,0.0
2016-12-04,75.79,75.79,0.0,0.0,75.79,75.79,0.0,0.0,75.62,75.62,0.0,0.0,75.62,75.62,0.0,0.0
2016-12-11,74.89,74.89,0.0,0.0,74.89,74.89,0.0,0.0,74.67,74.67,0.0,0.0,74.67,74.67,0.0,0.0
2016-12-18,74.72,74.72,0.0,0.0,74.77,74.77,0.0,0.0,74.72,74.72,0.0,0.0,74.77,74.77,0.0,0.0
2016-12-25,74.76,74.76,0.0,0.0,74.76,74.76,0.0,0.0,74.76,74.76,0.0,0.0,74.76,74.76,0.0,0.0
2017-01-01,75.91,75.91,0.0,0.0,76.03,76.03,0.0,0.0,75.86,75.86,0.0,0.0,76.03,76.03,0.0,0.0
2017-01-08,76.37,76.37,0.0,0.0,76.42,76.42,0.0,0.0,76.37,76.37,0.0,0.0,76.4,76.4,0.0,0.0
2017-01-15,76.23,76.23,0.0,0.0,76.3,76.3,0.0,0.0,76.06,76.06,0.0,0.0,76.1,76.1,0.0,0.0
2017-01-22,76.82,76.82,0.0,0.0,76.82,76.82,0.0,0.0,76.72,76.72,0.0,0.0,76.77,76.77,0.0,0.0
2017-01-29,77.21,77.21,0.0,0.0,77.21,77.21,0.0,0.0,77.15,77.15,0.0,0.0,77.17,77.17,0.0,0.0
2017-02-05,77.98,77.98,0.0,0.0,77.98,77.98,0.0,0.0,77.98,77.98,0.0,0.0,77.98,77.98,0.0,0.0
