Date,CRS_stock_Open_average,CRS_stock_Open_max,CRS_stock_Open_min,CRS_stock_Open_volatility,CRS_stock_Open_change,CRS_stock_High_average,CRS_stock_High_max,CRS_stock_High_min,CRS_stock_High_volatility,CRS_stock_High_change,CRS_stock_Low_average,CRS_stock_Low_max,CRS_stock_Low_min,CRS_stock_Low_volatility,CRS_stock_Low_change,CRS_stock_Close_average,CRS_stock_Close_max,CRS_stock_Close_min,CRS_stock_Close_volatility,CRS_stock_Close_change,CRS_stock_Volume_average,CRS_stock_Volume_max,CRS_stock_Volume_min,CRS_stock_Volume_volatility,CRS_stock_Volume_change
2018-01-14,53.14,53.9,52.68,1.2199999999999989,-0.7999999999999972,53.8125,54.61,53.19,1.4200000000000017,-0.5,52.4375,52.73,52.3,0.4299999999999997,0.4299999999999997,52.9975,53.66,52.42,1.2399999999999949,1.2399999999999949,570812,917240,394555,522685,522685
2018-01-21,53.926,54.4,53.61,0.7899999999999991,-0.04999999999999716,54.232,54.5,54.02,0.4799999999999969,0.03999999999999915,52.974,53.41,52.12,1.2899999999999991,0.4299999999999997,53.636,53.74,53.51,0.23000000000000398,-0.0800000000000054,340464,440835,170605,270230,-241151
2018-01-28,51.92,53.74,49.71,4.030000000000001,-4.030000000000001,52.082,54.0,49.73,4.270000000000003,-4.270000000000003,50.324,52.9,47.8,5.100000000000001,-5.100000000000001,50.936,52.99,48.01,4.980000000000004,-4.980000000000004,542321,759825,279308,480517,480517
2018-02-04,46.752,47.39,44.88,2.509999999999998,-0.4299999999999997,47.906,48.23,47.61,0.6199999999999974,-0.45999999999999375,45.786,46.89,44.25,2.6400000000000006,-0.6499999999999986,46.978,47.62,46.03,1.5899999999999963,1.5,650245,757357,596688,160669,-160669
2018-02-11,49.64,51.9,47.65,4.25,3.740000000000002,51.104,53.03,49.12,3.9100000000000037,3.9100000000000037,49.262,51.02,47.39,3.6300000000000026,3.490000000000002,50.714,52.34,48.69,3.6500000000000057,3.6500000000000057,468221,713839,360962,352877,352877
2018-02-18,51.175,51.47,50.95,0.519999999999996,-0.39000000000000057,51.7925,52.49,51.37,1.1200000000000045,-1.0900000000000034,50.67,50.91,50.53,0.37999999999999545,-0.20999999999999375,50.879999999999995,51.15,50.56,0.5899999999999963,0.10000000000000142,341247,495469,256709,238760,-238760
2018-02-25,51.333999999999996,51.91,50.08,1.8299999999999983,-1.8299999999999983,51.892,52.33,50.47,1.8599999999999994,-1.8000000000000043,50.544,51.43,48.65,2.780000000000001,-2.3299999999999983,51.23,52.0,50.33,1.6700000000000017,-1.6700000000000017,422137,601035,290112,310923,102917
2018-03-04,50.87,51.54,49.93,1.6099999999999994,1.4500000000000028,51.852000000000004,52.47,51.17,1.2999999999999972,1.2999999999999972,50.364,51.29,49.59,1.6999999999999957,1.6999999999999957,51.228,51.73,50.56,1.1699999999999946,1.1699999999999946,280887,345515,168593,176922,-12574
2018-03-11,51.244,52.5,49.31,3.1899999999999977,-2.3799999999999955,51.81,53.07,50.06,3.009999999999998,-2.5999999999999943,50.266,51.83,48.45,3.3799999999999955,-3.239999999999995,50.644,52.3,49.31,2.989999999999995,-2.9399999999999977,460736,851413,265394,586019,586019
2018-03-18,46.676,48.52,44.52,4.0,-4.0,47.228,49.19,44.86,4.329999999999998,-4.329999999999998,45.296,47.45,42.72,4.730000000000004,-4.730000000000004,45.578,48.22,42.76,5.460000000000001,-5.460000000000001,481151,632345,285327,347018,347018
2018-03-25,43.5125,43.61,43.25,0.35999999999999943,-0.00999999999999801,43.925,44.45,43.43,1.0200000000000031,0.7700000000000031,42.9175,43.6,42.44,1.1600000000000037,1.0900000000000034,43.5225,44.12,43.19,0.9299999999999997,0.6999999999999957,575836,808708,432613,376095,-132552
2018-04-01,43.582,45.0,42.01,2.990000000000002,1.1899999999999977,44.708,45.99,43.42,2.5700000000000003,1.5500000000000043,43.136,45.0,41.75,3.25,2.8900000000000006,44.124,45.59,42.66,2.930000000000007,2.930000000000007,481715,887649,312788,574861,574861
2018-04-08,47.536,48.76,45.98,2.780000000000001,2.780000000000001,48.264,49.21,46.97,2.240000000000002,2.240000000000002,47.217999999999996,48.3,45.64,2.6599999999999966,2.6599999999999966,47.722,48.48,46.12,2.3599999999999994,2.3599999999999994,412977,461088,365277,95811,-59120
2018-04-15,50.466,51.74,48.77,2.969999999999999,2.969999999999999,51.274,52.26,49.56,2.6999999999999957,2.509999999999998,50.068,50.92,48.3,2.6200000000000045,2.6200000000000045,50.724,51.79,49.35,2.4399999999999977,1.7999999999999972,434379,845452,227017,618435,618435
2018-04-22,51.135999999999996,53.62,49.8,3.8200000000000003,2.809999999999995,52.464,55.17,50.28,4.890000000000001,3.280000000000001,50.506,53.58,49.02,4.559999999999995,3.019999999999996,51.48,54.9,49.2,5.699999999999996,3.9200000000000017,670064,919354,446526,472828,149673
2018-04-29,53.774,55.11,52.83,2.280000000000001,-1.6700000000000017,54.494,55.53,53.51,2.020000000000003,0.25,52.782,53.28,51.96,1.3200000000000003,0.30000000000000426,53.758,55.03,53.16,1.8700000000000045,1.7700000000000031,375978,514363,274832,239531,-239531
2018-05-06,56.378,57.17,55.24,1.9299999999999997,1.9299999999999997,56.922,57.86,56.28,1.5799999999999983,1.5799999999999983,56.08,56.93,55.05,1.8800000000000026,1.8800000000000026,56.624,57.06,56.09,0.9699999999999989,0.9699999999999989,232263,326499,145783,180716,-80893
2018-05-13,58.062000000000005,59.13,56.17,2.960000000000001,2.020000000000003,59.11,59.97,57.61,2.3599999999999994,2.049999999999997,57.642,58.82,56.07,2.75,1.9500000000000028,58.38,59.25,56.64,2.6099999999999994,2.0600000000000023,347371,472373,228802,243571,81406
2018-05-20,59.15,59.5,58.79,0.7100000000000009,-0.1599999999999966,59.647999999999996,60.48,58.96,1.519999999999996,-0.4799999999999969,58.65,59.17,58.02,1.1499999999999986,-0.4099999999999966,59.18,59.46,58.53,0.9299999999999997,-0.7999999999999972,169063,218383,127945,90438,-52510
