Date,ETFS Physical Precious Metal Basket Shares_Open_average,ETFS Physical Precious Metal Basket Shares_Open_max,ETFS Physical Precious Metal Basket Shares_Open_min,ETFS Physical Precious Metal Basket Shares_Open_volatility,ETFS Physical Precious Metal Basket Shares_Open_change,ETFS Physical Precious Metal Basket Shares_High_average,ETFS Physical Precious Metal Basket Shares_High_max,ETFS Physical Precious Metal Basket Shares_High_min,ETFS Physical Precious Metal Basket Shares_High_volatility,ETFS Physical Precious Metal Basket Shares_High_change,ETFS Physical Precious Metal Basket Shares_Low_average,ETFS Physical Precious Metal Basket Shares_Low_max,ETFS Physical Precious Metal Basket Shares_Low_min,ETFS Physical Precious Metal Basket Shares_Low_volatility,ETFS Physical Precious Metal Basket Shares_Low_change,ETFS Physical Precious Metal Basket Shares_Close_average,ETFS Physical Precious Metal Basket Shares_Close_max,ETFS Physical Precious Metal Basket Shares_Close_min,ETFS Physical Precious Metal Basket Shares_Close_volatility,ETFS Physical Precious Metal Basket Shares_Close_change
2018-01-14,66.45,66.45,66.45,0.0,0.0,66.52,66.52,66.52,0.0,0.0,66.19,66.19,66.19,0.0,0.0,66.42,66.42,66.42,0.0,0.0
2018-01-21,66.99,66.99,66.99,0.0,0.0,66.99,66.99,66.99,0.0,0.0,66.6,66.6,66.6,0.0,0.0,66.79,66.79,66.79,0.0,0.0
2018-01-28,65.96,65.96,65.96,0.0,0.0,65.96,65.96,65.96,0.0,0.0,65.6,65.6,65.6,0.0,0.0,65.76,65.76,65.76,0.0,0.0
2018-02-04,64.55,64.55,64.55,0.0,0.0,64.95,64.95,64.95,0.0,0.0,64.53,64.53,64.53,0.0,0.0,64.79,64.79,64.79,0.0,0.0
2018-02-11,66.3,66.3,66.3,0.0,0.0,66.51,66.51,66.51,0.0,0.0,66.02,66.02,66.02,0.0,0.0,66.14,66.14,66.14,0.0,0.0
2018-02-18,65.67,65.67,65.67,0.0,0.0,65.74,65.74,65.74,0.0,0.0,65.52,65.52,65.52,0.0,0.0,65.73,65.73,65.73,0.0,0.0
2018-02-25,64.92,64.92,64.92,0.0,0.0,64.92,64.92,64.92,0.0,0.0,64.43,64.43,64.43,0.0,0.0,64.54,64.54,64.54,0.0,0.0
2018-03-04,64.53,64.53,64.53,0.0,0.0,64.77,64.77,64.77,0.0,0.0,64.46,64.46,64.46,0.0,0.0,64.77,64.77,64.77,0.0,0.0
2018-03-11,64.23,64.23,64.23,0.0,0.0,64.41,64.41,64.41,0.0,0.0,64.1,64.1,64.1,0.0,0.0,64.32,64.32,64.32,0.0,0.0
2018-03-18,65.58,65.58,65.58,0.0,0.0,65.87,65.87,65.87,0.0,0.0,65.58,65.58,65.58,0.0,0.0,65.67,65.67,65.67,0.0,0.0
