Date,ProShares Investment Grade-Interest Rate Hedged_Open_average,ProShares Investment Grade-Interest Rate Hedged_Open_max,ProShares Investment Grade-Interest Rate Hedged_Open_min,ProShares Investment Grade-Interest Rate Hedged_Open_volatility,ProShares Investment Grade-Interest Rate Hedged_Open_change,ProShares Investment Grade-Interest Rate Hedged_High_average,ProShares Investment Grade-Interest Rate Hedged_High_max,ProShares Investment Grade-Interest Rate Hedged_High_min,ProShares Investment Grade-Interest Rate Hedged_High_volatility,ProShares Investment Grade-Interest Rate Hedged_High_change,ProShares Investment Grade-Interest Rate Hedged_Low_average,ProShares Investment Grade-Interest Rate Hedged_Low_max,ProShares Investment Grade-Interest Rate Hedged_Low_min,ProShares Investment Grade-Interest Rate Hedged_Low_volatility,ProShares Investment Grade-Interest Rate Hedged_Low_change,ProShares Investment Grade-Interest Rate Hedged_Close_average,ProShares Investment Grade-Interest Rate Hedged_Close_max,ProShares Investment Grade-Interest Rate Hedged_Close_min,ProShares Investment Grade-Interest Rate Hedged_Close_volatility,ProShares Investment Grade-Interest Rate Hedged_Close_change
2018-01-14,78.1,78.1,78.1,0.0,0.0,78.13,78.13,78.13,0.0,0.0,77.66,77.66,77.66,0.0,0.0,77.89,77.89,77.89,0.0,0.0
2018-01-21,78.39,78.39,78.39,0.0,0.0,78.55,78.55,78.55,0.0,0.0,78.28,78.28,78.28,0.0,0.0,78.3,78.3,78.3,0.0,0.0
2018-01-28,78.63,78.63,78.63,0.0,0.0,78.71,78.71,78.71,0.0,0.0,77.85,77.85,77.85,0.0,0.0,78.0,78.0,78.0,0.0,0.0
2018-02-04,77.59,77.59,77.59,0.0,0.0,77.89,77.89,77.89,0.0,0.0,77.5,77.5,77.5,0.0,0.0,77.5,77.5,77.5,0.0,0.0
2018-02-11,77.72,77.72,77.72,0.0,0.0,77.87,77.87,77.87,0.0,0.0,77.47,77.47,77.47,0.0,0.0,77.78,77.78,77.78,0.0,0.0
2018-02-18,77.8,77.8,77.8,0.0,0.0,77.93,77.93,77.93,0.0,0.0,77.53,77.53,77.53,0.0,0.0,77.63,77.63,77.63,0.0,0.0
2018-02-25,76.8,76.8,76.8,0.0,0.0,77.39,77.39,77.39,0.0,0.0,76.46,76.46,76.46,0.0,0.0,77.0,77.0,77.0,0.0,0.0
2018-03-04,77.05,77.05,77.05,0.0,0.0,77.06,77.06,77.06,0.0,0.0,76.78,76.78,76.78,0.0,0.0,76.78,76.78,76.78,0.0,0.0
2018-03-11,76.7,76.7,76.7,0.0,0.0,76.71,76.71,76.71,0.0,0.0,76.25,76.25,76.25,0.0,0.0,76.35,76.35,76.35,0.0,0.0
2018-03-18,76.4,76.4,76.4,0.0,0.0,76.42,76.42,76.42,0.0,0.0,76.05,76.05,76.05,0.0,0.0,76.36,76.36,76.36,0.0,0.0
