Date,iShares US Oil & Gas Exploration & Production_Open_average,iShares US Oil & Gas Exploration & Production_Open_max,iShares US Oil & Gas Exploration & Production_Open_min,iShares US Oil & Gas Exploration & Production_Open_volatility,iShares US Oil & Gas Exploration & Production_Open_change,iShares US Oil & Gas Exploration & Production_High_average,iShares US Oil & Gas Exploration & Production_High_max,iShares US Oil & Gas Exploration & Production_High_min,iShares US Oil & Gas Exploration & Production_High_volatility,iShares US Oil & Gas Exploration & Production_High_change,iShares US Oil & Gas Exploration & Production_Low_average,iShares US Oil & Gas Exploration & Production_Low_max,iShares US Oil & Gas Exploration & Production_Low_min,iShares US Oil & Gas Exploration & Production_Low_volatility,iShares US Oil & Gas Exploration & Production_Low_change,iShares US Oil & Gas Exploration & Production_Close_average,iShares US Oil & Gas Exploration & Production_Close_max,iShares US Oil & Gas Exploration & Production_Close_min,iShares US Oil & Gas Exploration & Production_Close_volatility,iShares US Oil & Gas Exploration & Production_Close_change
2018-05-20,72.83,72.83,72.83,0.0,0.0,73.14,73.14,73.14,0.0,0.0,71.11,71.11,71.11,0.0,0.0,72.29,72.29,72.29,0.0,0.0
2018-05-27,74.82,74.82,74.82,0.0,0.0,75.4,75.4,75.4,0.0,0.0,73.23,73.23,73.23,0.0,0.0,73.48,73.48,73.48,0.0,0.0
2018-06-03,73.59,73.59,73.59,0.0,0.0,74.75,74.75,74.75,0.0,0.0,73.59,73.59,73.59,0.0,0.0,74.33,74.33,74.33,0.0,0.0
2018-06-10,71.01,71.01,71.01,0.0,0.0,73.25,73.25,73.25,0.0,0.0,71.01,71.01,71.01,0.0,0.0,72.56,72.56,72.56,0.0,0.0
2018-06-17,73.53,73.53,73.53,0.0,0.0,73.57,73.57,73.57,0.0,0.0,71.43,71.43,71.43,0.0,0.0,71.76,71.76,71.76,0.0,0.0
2018-06-24,73.69,73.69,73.69,0.0,0.0,73.83,73.83,73.83,0.0,0.0,72.6,72.6,72.6,0.0,0.0,73.1,73.1,73.1,0.0,0.0
2018-07-01,75.65,75.65,75.65,0.0,0.0,76.08,76.08,76.08,0.0,0.0,74.97,74.97,74.97,0.0,0.0,76.07,76.07,76.07,0.0,0.0
2018-07-08,73.99,73.99,73.99,0.0,0.0,74.39,74.39,74.39,0.0,0.0,72.99,72.99,72.99,0.0,0.0,73.77,73.77,73.77,0.0,0.0
2018-07-15,73.96,73.96,73.96,0.0,0.0,74.14,74.14,74.14,0.0,0.0,73.44,73.44,73.44,0.0,0.0,73.55,73.55,73.55,0.0,0.0
2018-07-22,76.08,76.08,76.08,0.0,0.0,77.0,77.0,77.0,0.0,0.0,76.08,76.08,76.08,0.0,0.0,76.65,76.65,76.65,0.0,0.0
2018-07-29,74.69,74.69,74.69,0.0,0.0,75.4,75.4,75.4,0.0,0.0,74.21,74.21,74.21,0.0,0.0,74.92,74.92,74.92,0.0,0.0
2018-08-05,74.23,74.23,74.23,0.0,0.0,74.62,74.62,74.62,0.0,0.0,73.27,73.27,73.27,0.0,0.0,73.29,73.29,73.29,0.0,0.0
2018-08-12,70.76,70.76,70.76,0.0,0.0,71.95,71.95,71.95,0.0,0.0,70.76,70.76,70.76,0.0,0.0,71.6,71.6,71.6,0.0,0.0
2018-08-19,74.3,74.3,74.3,0.0,0.0,75.0,75.0,75.0,0.0,0.0,74.3,74.3,74.3,0.0,0.0,74.72,74.72,74.72,0.0,0.0
2018-08-26,74.94,74.94,74.94,0.0,0.0,74.94,74.94,74.94,0.0,0.0,74.03,74.03,74.03,0.0,0.0,74.53,74.53,74.53,0.0,0.0
2018-09-02,71.63,71.63,71.63,0.0,0.0,72.07,72.07,72.07,0.0,0.0,71.48,71.48,71.48,0.0,0.0,71.48,71.48,71.48,0.0,0.0
2018-09-09,73.58,73.58,73.58,0.0,0.0,73.92,73.92,73.92,0.0,0.0,73.2,73.2,73.2,0.0,0.0,73.27,73.27,73.27,0.0,0.0
2018-09-16,75.27,75.27,75.27,0.0,0.0,76.33,76.33,76.33,0.0,0.0,75.27,75.27,75.27,0.0,0.0,76.14,76.14,76.14,0.0,0.0
2018-09-23,76.5,76.5,76.5,0.0,0.0,77.5,77.5,77.5,0.0,0.0,76.45,76.45,76.45,0.0,0.0,77.19,77.19,77.19,0.0,0.0
2018-09-30,77.1,77.1,77.1,0.0,0.0,77.45,77.45,77.45,0.0,0.0,76.42,76.42,76.42,0.0,0.0,77.12,77.12,77.12,0.0,0.0
2018-10-07,73.76,73.76,73.76,0.0,0.0,73.76,73.76,73.76,0.0,0.0,72.47,72.47,72.47,0.0,0.0,72.74,72.74,72.74,0.0,0.0
2018-10-14,70.14,70.14,70.14,0.0,0.0,70.14,70.14,70.14,0.0,0.0,68.95,68.95,68.95,0.0,0.0,69.5,69.5,69.5,0.0,0.0
2018-10-21,64.56,64.56,64.56,0.0,0.0,64.56,64.56,64.56,0.0,0.0,61.31,61.31,61.31,0.0,0.0,62.28,62.28,62.28,0.0,0.0
2018-10-28,64.64,64.64,64.64,0.0,0.0,65.5,65.5,65.5,0.0,0.0,64.03,64.03,64.03,0.0,0.0,65.27,65.27,65.27,0.0,0.0
2018-11-04,65.07,65.07,65.07,0.0,0.0,65.16,65.16,65.16,0.0,0.0,62.32,62.32,62.32,0.0,0.0,62.41,62.41,62.41,0.0,0.0
2018-11-11,62.08,62.08,62.08,0.0,0.0,62.55,62.55,62.55,0.0,0.0,61.69,61.69,61.69,0.0,0.0,62.08,62.08,62.08,0.0,0.0
2018-11-18,59.46,59.46,59.46,0.0,0.0,60.35,60.35,60.35,0.0,0.0,59.46,59.46,59.46,0.0,0.0,60.02,60.02,60.02,0.0,0.0
2018-11-25,62.67,62.67,62.67,0.0,0.0,62.67,62.67,62.67,0.0,0.0,61.17,61.17,61.17,0.0,0.0,62.12,62.12,62.12,0.0,0.0
2018-12-02,57.99,57.99,57.99,0.0,0.0,58.37,58.37,58.37,0.0,0.0,56.15,56.15,56.15,0.0,0.0,57.29,57.29,57.29,0.0,0.0
2018-12-09,55.37,55.37,55.37,0.0,0.0,55.67,55.67,55.67,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.99,53.99,53.99,0.0,0.0
2018-12-16,49.33,49.33,49.33,0.0,0.0,49.63,49.63,49.63,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.66,47.66,47.66,0.0,0.0
2018-12-23,51.92,51.92,51.92,0.0,0.0,52.0,52.0,52.0,0.0,0.0,50.93,50.93,50.93,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2018-12-30,55.34,55.34,55.34,0.0,0.0,56.28,56.28,56.28,0.0,0.0,54.37,54.37,54.37,0.0,0.0,55.74,55.74,55.74,0.0,0.0
2019-01-06,56.71,56.71,56.71,0.0,0.0,57.76,57.76,57.76,0.0,0.0,56.71,56.71,56.71,0.0,0.0,57.46,57.46,57.46,0.0,0.0
2019-01-13,59.1,59.1,59.1,0.0,0.0,59.3,59.3,59.3,0.0,0.0,58.44,58.44,58.44,0.0,0.0,59.28,59.28,59.28,0.0,0.0
2019-01-20,56.8,56.8,56.8,0.0,0.0,57.16,57.16,57.16,0.0,0.0,56.58,56.58,56.58,0.0,0.0,57.16,57.16,57.16,0.0,0.0
2019-01-27,58.37,58.37,58.37,0.0,0.0,59.16,59.16,59.16,0.0,0.0,58.03,58.03,58.03,0.0,0.0,59.16,59.16,59.16,0.0,0.0
2019-02-03,55.14,55.14,55.14,0.0,0.0,56.32,56.32,56.32,0.0,0.0,55.14,55.14,55.14,0.0,0.0,56.16,56.16,56.16,0.0,0.0
2019-02-10,58.98,58.98,58.98,0.0,0.0,59.53,59.53,59.53,0.0,0.0,58.98,58.98,58.98,0.0,0.0,59.51,59.51,59.51,0.0,0.0
2019-02-17,58.3,58.3,58.3,0.0,0.0,58.74,58.74,58.74,0.0,0.0,58.3,58.3,58.3,0.0,0.0,58.48,58.48,58.48,0.0,0.0
2019-02-24,58.81,58.81,58.81,0.0,0.0,58.96,58.96,58.96,0.0,0.0,57.63,57.63,57.63,0.0,0.0,58.57,58.57,58.57,0.0,0.0
2019-03-03,54.95,54.95,54.95,0.0,0.0,55.63,55.63,55.63,0.0,0.0,54.63,54.63,54.63,0.0,0.0,55.53,55.53,55.53,0.0,0.0
2019-03-10,57.47,57.47,57.47,0.0,0.0,58.44,58.44,58.44,0.0,0.0,57.47,57.47,57.47,0.0,0.0,58.35,58.35,58.35,0.0,0.0
2019-03-17,57.12,57.12,57.12,0.0,0.0,57.53,57.53,57.53,0.0,0.0,56.56,56.56,56.56,0.0,0.0,57.38,57.38,57.38,0.0,0.0
2019-03-24,58.7,58.7,58.7,0.0,0.0,59.08,59.08,59.08,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.91,58.91,58.91,0.0,0.0
2019-03-31,59.66,59.66,59.66,0.0,0.0,60.22,60.22,60.22,0.0,0.0,59.39,59.39,59.39,0.0,0.0,59.69,59.69,59.69,0.0,0.0
2019-04-07,61.69,61.69,61.69,0.0,0.0,61.73,61.73,61.73,0.0,0.0,60.9,60.9,60.9,0.0,0.0,60.94,60.94,60.94,0.0,0.0
2019-04-14,61.9,61.9,61.9,0.0,0.0,62.75,62.75,62.75,0.0,0.0,61.67,61.67,61.67,0.0,0.0,62.69,62.69,62.69,0.0,0.0
2019-04-21,60.6,60.6,60.6,0.0,0.0,60.71,60.71,60.71,0.0,0.0,60.18,60.18,60.18,0.0,0.0,60.37,60.37,60.37,0.0,0.0
2019-04-28,57.33,57.33,57.33,0.0,0.0,58.24,58.24,58.24,0.0,0.0,57.03,57.03,57.03,0.0,0.0,58.03,58.03,58.03,0.0,0.0
2019-05-05,57.11,57.11,57.11,0.0,0.0,57.28,57.28,57.28,0.0,0.0,56.21,56.21,56.21,0.0,0.0,56.55,56.55,56.55,0.0,0.0
2019-05-12,57.5,57.5,57.5,0.0,0.0,57.74,57.74,57.74,0.0,0.0,57.28,57.28,57.28,0.0,0.0,57.41,57.41,57.41,0.0,0.0
2019-05-19,54.79,54.79,54.79,0.0,0.0,54.81,54.81,54.81,0.0,0.0,53.76,53.76,53.76,0.0,0.0,54.18,54.18,54.18,0.0,0.0
2019-05-26,52.06,52.06,52.06,0.0,0.0,52.48,52.48,52.48,0.0,0.0,51.85,51.85,51.85,0.0,0.0,52.24,52.24,52.24,0.0,0.0
2019-06-02,52.74,52.74,52.74,0.0,0.0,53.5,53.5,53.5,0.0,0.0,52.74,52.74,52.74,0.0,0.0,52.77,52.77,52.77,0.0,0.0
2019-06-09,51.67,51.67,51.67,0.0,0.0,52.66,52.66,52.66,0.0,0.0,51.34,51.34,51.34,0.0,0.0,52.49,52.49,52.49,0.0,0.0
2019-06-16,55.28,55.28,55.28,0.0,0.0,55.28,55.28,55.28,0.0,0.0,54.46,54.46,54.46,0.0,0.0,54.5,54.5,54.5,0.0,0.0
2019-06-23,57.09,57.09,57.09,0.0,0.0,57.09,57.09,57.09,0.0,0.0,56.04,56.04,56.04,0.0,0.0,56.22,56.22,56.22,0.0,0.0
2019-06-30,54.89,54.89,54.89,0.0,0.0,55.42,55.42,55.42,0.0,0.0,54.75,54.75,54.75,0.0,0.0,54.75,54.75,54.75,0.0,0.0
2019-07-07,56.21,56.21,56.21,0.0,0.0,56.21,56.21,56.21,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.94,54.94,54.94,0.0,0.0
2019-07-14,54.09,54.09,54.09,0.0,0.0,54.53,54.53,54.53,0.0,0.0,53.81,53.81,53.81,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2019-07-21,53.2,53.2,53.2,0.0,0.0,53.2,53.2,53.2,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.68,52.68,52.68,0.0,0.0
2019-07-28,50.36,50.36,50.36,0.0,0.0,50.36,50.36,50.36,0.0,0.0,48.97,48.97,48.97,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2019-08-04,49.4,49.4,49.4,0.0,0.0,49.51,49.51,49.51,0.0,0.0,48.62,48.62,48.62,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2019-08-11,48.89,48.89,48.89,0.0,0.0,49.71,49.71,49.71,0.0,0.0,48.77,48.77,48.77,0.0,0.0,49.58,49.58,49.58,0.0,0.0
2019-08-18,47.21,47.21,47.21,0.0,0.0,47.45,47.45,47.45,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.89,46.89,46.89,0.0,0.0
2019-08-25,48.7,48.7,48.7,0.0,0.0,49.24,49.24,49.24,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.48,48.48,48.48,0.0,0.0
2019-09-01,50.4,50.4,50.4,0.0,0.0,51.48,51.48,51.48,0.0,0.0,50.36,50.36,50.36,0.0,0.0,51.46,51.46,51.46,0.0,0.0
2019-09-08,56.03,56.03,56.03,0.0,0.0,56.03,56.03,56.03,0.0,0.0,54.11,54.11,54.11,0.0,0.0,55.63,55.63,55.63,0.0,0.0
2019-09-15,53.0,53.0,53.0,0.0,0.0,53.51,53.51,53.51,0.0,0.0,52.87,52.87,52.87,0.0,0.0,53.27,53.27,53.27,0.0,0.0
2019-09-22,51.15,51.15,51.15,0.0,0.0,51.32,51.32,51.32,0.0,0.0,50.87,50.87,50.87,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2019-09-29,49.2,49.2,49.2,0.0,0.0,49.66,49.66,49.66,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.96,48.96,48.96,0.0,0.0
2019-10-06,49.73,49.73,49.73,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2019-10-13,49.16,49.16,49.16,0.0,0.0,50.09,50.09,50.09,0.0,0.0,49.16,49.16,49.16,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2019-10-20,52.38,52.38,52.38,0.0,0.0,52.82,52.82,52.82,0.0,0.0,51.76,51.76,51.76,0.0,0.0,51.76,51.76,51.76,0.0,0.0
2019-10-27,53.43,53.43,53.43,0.0,0.0,54.04,54.04,54.04,0.0,0.0,53.25,53.25,53.25,0.0,0.0,53.74,53.74,53.74,0.0,0.0
2019-11-03,52.88,52.88,52.88,0.0,0.0,53.47,53.47,53.47,0.0,0.0,52.74,52.74,52.74,0.0,0.0,53.11,53.11,53.11,0.0,0.0
2019-11-10,52.39,52.39,52.39,0.0,0.0,52.39,52.39,52.39,0.0,0.0,51.43,51.43,51.43,0.0,0.0,51.74,51.74,51.74,0.0,0.0
2019-11-17,51.8,51.8,51.8,0.0,0.0,52.28,52.28,52.28,0.0,0.0,51.56,51.56,51.56,0.0,0.0,52.27,52.27,52.27,0.0,0.0
2019-11-24,51.03,51.03,51.03,0.0,0.0,51.48,51.48,51.48,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2019-12-01,51.46,51.46,51.46,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.17,51.17,51.17,0.0,0.0,51.71,51.71,51.71,0.0,0.0
2019-12-08,52.66,52.66,52.66,0.0,0.0,53.57,53.57,53.57,0.0,0.0,52.66,52.66,52.66,0.0,0.0,53.39,53.39,53.39,0.0,0.0
2019-12-15,54.75,54.75,54.75,0.0,0.0,55.62,55.62,55.62,0.0,0.0,54.65,54.65,54.65,0.0,0.0,55.52,55.52,55.52,0.0,0.0
2019-12-22,55.31,55.31,55.31,0.0,0.0,55.45,55.45,55.45,0.0,0.0,54.82,54.82,54.82,0.0,0.0,54.88,54.88,54.88,0.0,0.0
2019-12-29,56.58,56.58,56.58,0.0,0.0,56.69,56.69,56.69,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.68,55.68,55.68,0.0,0.0
