Date,Neuberger Berman MLP IF_Open_average,Neuberger Berman MLP IF_Open_max,Neuberger Berman MLP IF_Open_min,Neuberger Berman MLP IF_Open_volatility,Neuberger Berman MLP IF_Open_change,Neuberger Berman MLP IF_High_average,Neuberger Berman MLP IF_High_max,Neuberger Berman MLP IF_High_min,Neuberger Berman MLP IF_High_volatility,Neuberger Berman MLP IF_High_change,Neuberger Berman MLP IF_Low_average,Neuberger Berman MLP IF_Low_max,Neuberger Berman MLP IF_Low_min,Neuberger Berman MLP IF_Low_volatility,Neuberger Berman MLP IF_Low_change,Neuberger Berman MLP IF_Close_average,Neuberger Berman MLP IF_Close_max,Neuberger Berman MLP IF_Close_min,Neuberger Berman MLP IF_Close_volatility,Neuberger Berman MLP IF_Close_change
2018-01-14,9.83,9.83,9.83,0.0,0.0,10.09,10.09,10.09,0.0,0.0,9.76,9.76,9.76,0.0,0.0,10.08,10.08,10.08,0.0,0.0
2018-01-21,10.29,10.29,10.29,0.0,0.0,10.29,10.29,10.29,0.0,0.0,9.96,9.96,9.96,0.0,0.0,10.04,10.04,10.04,0.0,0.0
2018-01-28,9.7,9.7,9.7,0.0,0.0,9.71,9.71,9.71,0.0,0.0,9.06,9.06,9.06,0.0,0.0,9.29,9.29,9.29,0.0,0.0
2018-02-04,9.01,9.01,9.01,0.0,0.0,9.21,9.21,9.21,0.0,0.0,9.01,9.01,9.01,0.0,0.0,9.16,9.16,9.16,0.0,0.0
2018-02-11,9.24,9.24,9.24,0.0,0.0,9.24,9.24,9.24,0.0,0.0,9.07,9.07,9.07,0.0,0.0,9.21,9.21,9.21,0.0,0.0
2018-02-18,9.05,9.05,9.05,0.0,0.0,9.06,9.06,9.06,0.0,0.0,8.83,8.83,8.83,0.0,0.0,8.95,8.95,8.95,0.0,0.0
2018-02-25,8.57,8.57,8.57,0.0,0.0,8.66,8.66,8.66,0.0,0.0,8.49,8.49,8.49,0.0,0.0,8.5,8.5,8.5,0.0,0.0
2018-03-04,8.62,8.62,8.62,0.0,0.0,8.69,8.69,8.69,0.0,0.0,8.53,8.53,8.53,0.0,0.0,8.66,8.66,8.66,0.0,0.0
2018-03-11,8.5,8.5,8.5,0.0,0.0,8.5,8.5,8.5,0.0,0.0,8.12,8.12,8.12,0.0,0.0,8.23,8.23,8.23,0.0,0.0
2018-03-18,8.28,8.28,8.28,0.0,0.0,8.28,8.28,8.28,0.0,0.0,7.96,7.96,7.96,0.0,0.0,8.07,8.07,8.07,0.0,0.0
2018-03-25,8.17,8.17,8.17,0.0,0.0,8.37,8.37,8.37,0.0,0.0,8.06,8.06,8.06,0.0,0.0,8.18,8.18,8.18,0.0,0.0
2018-04-01,8.42,8.42,8.42,0.0,0.0,8.5,8.5,8.5,0.0,0.0,8.26,8.26,8.26,0.0,0.0,8.43,8.43,8.43,0.0,0.0
2018-04-08,8.35,8.35,8.35,0.0,0.0,8.62,8.62,8.62,0.0,0.0,8.15,8.15,8.15,0.0,0.0,8.62,8.62,8.62,0.0,0.0
2018-04-15,8.5,8.5,8.5,0.0,0.0,8.64,8.64,8.64,0.0,0.0,8.47,8.47,8.47,0.0,0.0,8.52,8.52,8.52,0.0,0.0
2018-04-22,8.55,8.55,8.55,0.0,0.0,8.55,8.55,8.55,0.0,0.0,8.47,8.47,8.47,0.0,0.0,8.5,8.5,8.5,0.0,0.0
2018-04-29,8.65,8.65,8.65,0.0,0.0,8.82,8.82,8.82,0.0,0.0,8.65,8.65,8.65,0.0,0.0,8.73,8.73,8.73,0.0,0.0
2018-05-06,8.87,8.87,8.87,0.0,0.0,8.93,8.93,8.93,0.0,0.0,8.82,8.82,8.82,0.0,0.0,8.9,8.9,8.9,0.0,0.0
2018-05-13,9.13,9.13,9.13,0.0,0.0,9.18,9.18,9.18,0.0,0.0,9.09,9.09,9.09,0.0,0.0,9.13,9.13,9.13,0.0,0.0
2018-05-20,8.81,8.81,8.81,0.0,0.0,8.84,8.84,8.84,0.0,0.0,8.66,8.66,8.66,0.0,0.0,8.84,8.84,8.84,0.0,0.0
2018-05-27,9.2,9.2,9.2,0.0,0.0,9.2,9.2,9.2,0.0,0.0,9.13,9.13,9.13,0.0,0.0,9.2,9.2,9.2,0.0,0.0
2018-06-03,9.18,9.18,9.18,0.0,0.0,9.3,9.3,9.3,0.0,0.0,9.15,9.15,9.15,0.0,0.0,9.26,9.26,9.26,0.0,0.0
2018-06-10,8.75,8.75,8.75,0.0,0.0,8.92,8.92,8.92,0.0,0.0,8.69,8.69,8.69,0.0,0.0,8.82,8.82,8.82,0.0,0.0
2018-06-17,8.99,8.99,8.99,0.0,0.0,8.99,8.99,8.99,0.0,0.0,8.68,8.68,8.68,0.0,0.0,8.71,8.71,8.71,0.0,0.0
2018-06-24,8.84,8.84,8.84,0.0,0.0,8.84,8.84,8.84,0.0,0.0,8.71,8.71,8.71,0.0,0.0,8.84,8.84,8.84,0.0,0.0
2018-07-01,9.01,9.01,9.01,0.0,0.0,9.01,9.01,9.01,0.0,0.0,8.91,8.91,8.91,0.0,0.0,8.94,8.94,8.94,0.0,0.0
2018-07-08,8.98,8.98,8.98,0.0,0.0,8.98,8.98,8.98,0.0,0.0,8.8,8.8,8.8,0.0,0.0,8.84,8.84,8.84,0.0,0.0
2018-07-15,9.04,9.04,9.04,0.0,0.0,9.05,9.05,9.05,0.0,0.0,8.95,8.95,8.95,0.0,0.0,9.05,9.05,9.05,0.0,0.0
2018-07-22,9.01,9.01,9.01,0.0,0.0,9.12,9.12,9.12,0.0,0.0,8.98,8.98,8.98,0.0,0.0,9.12,9.12,9.12,0.0,0.0
2018-07-29,9.31,9.31,9.31,0.0,0.0,9.38,9.38,9.38,0.0,0.0,9.22,9.22,9.22,0.0,0.0,9.29,9.29,9.29,0.0,0.0
