Date,Fidelity Quality_Open_average,Fidelity Quality_Open_max,Fidelity Quality_Open_min,Fidelity Quality_Open_volatility,Fidelity Quality_Open_change,Fidelity Quality_High_average,Fidelity Quality_High_max,Fidelity Quality_High_min,Fidelity Quality_High_volatility,Fidelity Quality_High_change,Fidelity Quality_Low_average,Fidelity Quality_Low_max,Fidelity Quality_Low_min,Fidelity Quality_Low_volatility,Fidelity Quality_Low_change,Fidelity Quality_Close_average,Fidelity Quality_Close_max,Fidelity Quality_Close_min,Fidelity Quality_Close_volatility,Fidelity Quality_Close_change
2018-01-14,33.26,33.26,33.26,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2018-01-21,33.95,33.95,33.95,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2018-01-28,32.5,32.5,32.5,0.0,0.0,32.77,32.77,32.77,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-02-04,31.64,31.64,31.64,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2018-02-11,32.99,32.99,32.99,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.64,32.64,32.64,0.0,0.0
2018-02-18,32.96,32.96,32.96,0.0,0.0,33.07,33.07,33.07,0.0,0.0,32.87,32.87,32.87,0.0,0.0,33.05,33.05,33.05,0.0,0.0
2018-02-25,32.04,32.04,32.04,0.0,0.0,32.51,32.51,32.51,0.0,0.0,31.95,31.95,31.95,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2018-03-04,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-03-11,32.55,32.55,32.55,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.27,32.27,32.27,0.0,0.0
2018-03-18,31.14,31.14,31.14,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.05,31.05,31.05,0.0,0.0,31.57,31.57,31.57,0.0,0.0
2018-03-25,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-04-01,31.21,31.21,31.21,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.24,31.24,31.24,0.0,0.0
2018-04-08,31.7,31.7,31.7,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2018-04-15,31.81,31.81,31.81,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.67,31.67,31.67,0.0,0.0
2018-04-22,31.66,31.66,31.66,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2018-04-29,31.83,31.83,31.83,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-05-06,32.5,32.5,32.5,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2018-05-13,32.58,32.58,32.58,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2018-05-20,32.37,32.37,32.37,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.36,32.36,32.36,0.0,0.0
2018-05-27,32.78,32.78,32.78,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.76,32.76,32.76,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2018-06-03,33.35,33.35,33.35,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.32,33.32,33.32,0.0,0.0
2018-06-10,32.95,32.95,32.95,0.0,0.0,33.05,33.05,33.05,0.0,0.0,32.9,32.9,32.9,0.0,0.0,33.04,33.04,33.04,0.0,0.0
2018-06-17,32.66,32.66,32.66,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.3,32.3,32.3,0.0,0.0
2018-06-24,32.15,32.15,32.15,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.38,32.38,32.38,0.0,0.0
2018-07-01,33.0,33.0,33.0,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2018-07-08,33.4,33.4,33.4,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2018-07-15,33.4,33.4,33.4,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.37,33.37,33.37,0.0,0.0
2018-07-22,33.45,33.45,33.45,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.21,33.21,33.21,0.0,0.0
2018-07-29,33.83,33.83,33.83,0.0,0.0,33.93,33.93,33.93,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2018-08-05,33.93,33.93,33.93,0.0,0.0,33.93,33.93,33.93,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.75,33.75,33.75,0.0,0.0
2018-08-12,34.23,34.23,34.23,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.09,34.09,34.09,0.0,0.0,34.19,34.19,34.19,0.0,0.0
2018-08-19,34.52,34.52,34.52,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.61,34.61,34.61,0.0,0.0
