Date,iShares Short-Term National AMT-Free Muni Bond_Open_average,iShares Short-Term National AMT-Free Muni Bond_Open_max,iShares Short-Term National AMT-Free Muni Bond_Open_min,iShares Short-Term National AMT-Free Muni Bond_Open_volatility,iShares Short-Term National AMT-Free Muni Bond_Open_change,iShares Short-Term National AMT-Free Muni Bond_High_average,iShares Short-Term National AMT-Free Muni Bond_High_max,iShares Short-Term National AMT-Free Muni Bond_High_min,iShares Short-Term National AMT-Free Muni Bond_High_volatility,iShares Short-Term National AMT-Free Muni Bond_High_change,iShares Short-Term National AMT-Free Muni Bond_Low_average,iShares Short-Term National AMT-Free Muni Bond_Low_max,iShares Short-Term National AMT-Free Muni Bond_Low_min,iShares Short-Term National AMT-Free Muni Bond_Low_volatility,iShares Short-Term National AMT-Free Muni Bond_Low_change,iShares Short-Term National AMT-Free Muni Bond_Close_average,iShares Short-Term National AMT-Free Muni Bond_Close_max,iShares Short-Term National AMT-Free Muni Bond_Close_min,iShares Short-Term National AMT-Free Muni Bond_Close_volatility,iShares Short-Term National AMT-Free Muni Bond_Close_change
2018-01-14,105.06,105.06,105.06,0.0,0.0,105.07,105.07,105.07,0.0,0.0,104.99,104.99,104.99,0.0,0.0,105.05,105.05,105.05,0.0,0.0
2018-01-21,105.13,105.13,105.13,0.0,0.0,105.15,105.15,105.15,0.0,0.0,105.04,105.04,105.04,0.0,0.0,105.09,105.09,105.09,0.0,0.0
2018-01-28,104.91,104.91,104.91,0.0,0.0,104.92,104.92,104.92,0.0,0.0,104.79,104.79,104.79,0.0,0.0,104.92,104.92,104.92,0.0,0.0
2018-02-04,104.77,104.77,104.77,0.0,0.0,104.86,104.86,104.86,0.0,0.0,104.72,104.72,104.72,0.0,0.0,104.8,104.8,104.8,0.0,0.0
2018-02-11,104.79,104.79,104.79,0.0,0.0,104.84,104.84,104.84,0.0,0.0,104.72,104.72,104.72,0.0,0.0,104.83,104.83,104.83,0.0,0.0
2018-02-18,104.78,104.78,104.78,0.0,0.0,104.93,104.93,104.93,0.0,0.0,104.78,104.78,104.78,0.0,0.0,104.88,104.88,104.88,0.0,0.0
2018-02-25,104.85,104.85,104.85,0.0,0.0,104.88,104.88,104.88,0.0,0.0,104.74,104.74,104.74,0.0,0.0,104.87,104.87,104.87,0.0,0.0
2018-03-04,104.75,104.75,104.75,0.0,0.0,104.82,104.82,104.82,0.0,0.0,104.67,104.67,104.67,0.0,0.0,104.73,104.73,104.73,0.0,0.0
2018-03-11,104.68,104.68,104.68,0.0,0.0,104.81,104.81,104.81,0.0,0.0,104.66,104.66,104.66,0.0,0.0,104.68,104.68,104.68,0.0,0.0
2018-03-18,104.67,104.67,104.67,0.0,0.0,104.74,104.74,104.74,0.0,0.0,104.62,104.62,104.62,0.0,0.0,104.62,104.62,104.62,0.0,0.0
2018-03-25,104.66,104.66,104.66,0.0,0.0,104.74,104.74,104.74,0.0,0.0,104.62,104.62,104.62,0.0,0.0,104.73,104.73,104.73,0.0,0.0
2018-04-01,104.56,104.56,104.56,0.0,0.0,104.62,104.62,104.62,0.0,0.0,104.51,104.51,104.51,0.0,0.0,104.61,104.61,104.61,0.0,0.0
2018-04-08,104.55,104.55,104.55,0.0,0.0,104.59,104.59,104.59,0.0,0.0,104.45,104.45,104.45,0.0,0.0,104.5,104.5,104.5,0.0,0.0
2018-04-15,104.46,104.46,104.46,0.0,0.0,104.56,104.56,104.56,0.0,0.0,104.44,104.44,104.44,0.0,0.0,104.56,104.56,104.56,0.0,0.0
2018-04-22,104.44,104.44,104.44,0.0,0.0,104.46,104.46,104.46,0.0,0.0,104.33,104.33,104.33,0.0,0.0,104.36,104.36,104.36,0.0,0.0
2018-04-29,104.43,104.43,104.43,0.0,0.0,104.48,104.48,104.48,0.0,0.0,104.41,104.41,104.41,0.0,0.0,104.46,104.46,104.46,0.0,0.0
2018-05-06,104.61,104.61,104.61,0.0,0.0,104.65,104.65,104.65,0.0,0.0,104.55,104.55,104.55,0.0,0.0,104.58,104.58,104.58,0.0,0.0
2018-05-13,104.53,104.53,104.53,0.0,0.0,104.57,104.57,104.57,0.0,0.0,104.46,104.46,104.46,0.0,0.0,104.54,104.54,104.54,0.0,0.0
2018-05-20,104.72,104.72,104.72,0.0,0.0,104.75,104.75,104.75,0.0,0.0,104.69,104.69,104.69,0.0,0.0,104.74,104.74,104.74,0.0,0.0
2018-05-27,104.78,104.78,104.78,0.0,0.0,104.79,104.79,104.79,0.0,0.0,104.69,104.69,104.69,0.0,0.0,104.72,104.72,104.72,0.0,0.0
2018-06-03,104.95,104.95,104.95,0.0,0.0,104.97,104.97,104.97,0.0,0.0,104.88,104.88,104.88,0.0,0.0,104.93,104.93,104.93,0.0,0.0
2018-06-10,104.98,104.98,104.98,0.0,0.0,105.06,105.06,105.06,0.0,0.0,104.94,104.94,104.94,0.0,0.0,105.02,105.02,105.02,0.0,0.0
2018-06-17,104.98,104.98,104.98,0.0,0.0,105.07,105.07,105.07,0.0,0.0,104.98,104.98,104.98,0.0,0.0,104.98,104.98,104.98,0.0,0.0
2018-06-24,105.01,105.01,105.01,0.0,0.0,105.01,105.01,105.01,0.0,0.0,104.89,104.89,104.89,0.0,0.0,104.97,104.97,104.97,0.0,0.0
2018-07-01,105.06,105.06,105.06,0.0,0.0,105.07,105.07,105.07,0.0,0.0,105.0,105.0,105.0,0.0,0.0,105.06,105.06,105.06,0.0,0.0
2018-07-08,105.22,105.22,105.22,0.0,0.0,105.24,105.24,105.24,0.0,0.0,105.17,105.17,105.17,0.0,0.0,105.24,105.24,105.24,0.0,0.0
2018-07-15,105.3,105.3,105.3,0.0,0.0,105.31,105.31,105.31,0.0,0.0,105.25,105.25,105.25,0.0,0.0,105.31,105.31,105.31,0.0,0.0
2018-07-22,105.19,105.19,105.19,0.0,0.0,105.26,105.26,105.26,0.0,0.0,105.17,105.17,105.17,0.0,0.0,105.26,105.26,105.26,0.0,0.0
2018-07-29,105.13,105.13,105.13,0.0,0.0,105.14,105.14,105.14,0.0,0.0,105.07,105.07,105.07,0.0,0.0,105.13,105.13,105.13,0.0,0.0
2018-08-05,105.07,105.07,105.07,0.0,0.0,105.14,105.14,105.14,0.0,0.0,105.06,105.06,105.06,0.0,0.0,105.07,105.07,105.07,0.0,0.0
2018-08-12,105.18,105.18,105.18,0.0,0.0,105.24,105.24,105.24,0.0,0.0,105.17,105.17,105.17,0.0,0.0,105.24,105.24,105.24,0.0,0.0
2018-08-19,105.22,105.22,105.22,0.0,0.0,105.22,105.22,105.22,0.0,0.0,105.12,105.12,105.12,0.0,0.0,105.21,105.21,105.21,0.0,0.0
2018-08-26,105.18,105.18,105.18,0.0,0.0,105.18,105.18,105.18,0.0,0.0,105.12,105.12,105.12,0.0,0.0,105.17,105.17,105.17,0.0,0.0
2018-09-02,104.79,104.79,104.79,0.0,0.0,104.84,104.84,104.84,0.0,0.0,104.75,104.75,104.75,0.0,0.0,104.76,104.76,104.76,0.0,0.0
2018-09-09,104.8,104.8,104.8,0.0,0.0,104.8,104.8,104.8,0.0,0.0,104.62,104.62,104.62,0.0,0.0,104.62,104.62,104.62,0.0,0.0
2018-09-16,104.66,104.66,104.66,0.0,0.0,104.66,104.66,104.66,0.0,0.0,104.61,104.61,104.61,0.0,0.0,104.62,104.62,104.62,0.0,0.0
2018-09-23,104.51,104.51,104.51,0.0,0.0,104.6,104.6,104.6,0.0,0.0,104.5,104.5,104.5,0.0,0.0,104.58,104.58,104.58,0.0,0.0
2018-09-30,104.49,104.49,104.49,0.0,0.0,104.51,104.51,104.51,0.0,0.0,104.39,104.39,104.39,0.0,0.0,104.51,104.51,104.51,0.0,0.0
2018-10-07,104.46,104.46,104.46,0.0,0.0,104.49,104.49,104.49,0.0,0.0,104.4,104.4,104.4,0.0,0.0,104.49,104.49,104.49,0.0,0.0
2018-10-14,104.49,104.49,104.49,0.0,0.0,104.49,104.49,104.49,0.0,0.0,104.44,104.44,104.44,0.0,0.0,104.45,104.45,104.45,0.0,0.0
2018-10-21,104.52,104.52,104.52,0.0,0.0,104.61,104.61,104.61,0.0,0.0,104.48,104.48,104.48,0.0,0.0,104.6,104.6,104.6,0.0,0.0
2018-10-28,104.35,104.35,104.35,0.0,0.0,104.46,104.46,104.46,0.0,0.0,104.31,104.31,104.31,0.0,0.0,104.41,104.41,104.41,0.0,0.0
2018-11-04,104.36,104.36,104.36,0.0,0.0,104.45,104.45,104.45,0.0,0.0,104.36,104.36,104.36,0.0,0.0,104.45,104.45,104.45,0.0,0.0
2018-11-11,104.6,104.6,104.6,0.0,0.0,104.62,104.62,104.62,0.0,0.0,104.54,104.54,104.54,0.0,0.0,104.58,104.58,104.58,0.0,0.0
2018-11-18,104.67,104.67,104.67,0.0,0.0,104.71,104.71,104.71,0.0,0.0,104.66,104.66,104.66,0.0,0.0,104.68,104.68,104.68,0.0,0.0
