Date,iShares MSCI Qatar Capped_Open_average,iShares MSCI Qatar Capped_Open_max,iShares MSCI Qatar Capped_Open_min,iShares MSCI Qatar Capped_Open_volatility,iShares MSCI Qatar Capped_Open_change,iShares MSCI Qatar Capped_High_average,iShares MSCI Qatar Capped_High_max,iShares MSCI Qatar Capped_High_min,iShares MSCI Qatar Capped_High_volatility,iShares MSCI Qatar Capped_High_change,iShares MSCI Qatar Capped_Low_average,iShares MSCI Qatar Capped_Low_max,iShares MSCI Qatar Capped_Low_min,iShares MSCI Qatar Capped_Low_volatility,iShares MSCI Qatar Capped_Low_change,iShares MSCI Qatar Capped_Close_average,iShares MSCI Qatar Capped_Close_max,iShares MSCI Qatar Capped_Close_min,iShares MSCI Qatar Capped_Close_volatility,iShares MSCI Qatar Capped_Close_change
2018-01-14,17.04,17.04,17.04,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.4,17.4,17.4,0.0,0.0
2018-01-21,17.25,17.25,17.25,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.16,17.16,17.16,0.0,0.0,17.3,17.3,17.3,0.0,0.0
2018-01-28,16.7,16.7,16.7,0.0,0.0,16.77,16.77,16.77,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.5,16.5,16.5,0.0,0.0
2018-02-04,16.0,16.0,16.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.92,15.92,15.92,0.0,0.0
2018-02-11,16.5,16.5,16.5,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.52,16.52,16.52,0.0,0.0
2018-02-18,16.66,16.66,16.66,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.67,16.67,16.67,0.0,0.0
2018-02-25,15.84,15.84,15.84,0.0,0.0,15.96,15.96,15.96,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.79,15.79,15.79,0.0,0.0
2018-03-04,15.42,15.42,15.42,0.0,0.0,15.59,15.59,15.59,0.0,0.0,15.42,15.42,15.42,0.0,0.0,15.56,15.56,15.56,0.0,0.0
2018-03-11,16.55,16.55,16.55,0.0,0.0,16.56,16.56,16.56,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.53,16.53,16.53,0.0,0.0
2018-03-18,16.73,16.73,16.73,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.71,16.71,16.71,0.0,0.0
2018-03-25,16.14,16.14,16.14,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.6,16.6,16.6,0.0,0.0
2018-04-01,16.65,16.65,16.65,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.53,16.53,16.53,0.0,0.0,16.62,16.62,16.62,0.0,0.0
2018-04-08,16.88,16.88,16.88,0.0,0.0,16.88,16.88,16.88,0.0,0.0,16.79,16.79,16.79,0.0,0.0,16.82,16.82,16.82,0.0,0.0
2018-04-15,17.22,17.22,17.22,0.0,0.0,17.24,17.24,17.24,0.0,0.0,17.2,17.2,17.2,0.0,0.0,17.24,17.24,17.24,0.0,0.0
2018-04-22,17.44,17.44,17.44,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.22,17.22,17.22,0.0,0.0,17.22,17.22,17.22,0.0,0.0
2018-04-29,16.61,16.61,16.61,0.0,0.0,16.63,16.63,16.63,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.62,16.62,16.62,0.0,0.0
2018-05-06,16.52,16.52,16.52,0.0,0.0,16.68,16.68,16.68,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.61,16.61,16.61,0.0,0.0
2018-05-13,16.64,16.64,16.64,0.0,0.0,16.68,16.68,16.68,0.0,0.0,16.59,16.59,16.59,0.0,0.0,16.65,16.65,16.65,0.0,0.0
2018-05-20,16.82,16.82,16.82,0.0,0.0,16.93,16.93,16.93,0.0,0.0,16.76,16.76,16.76,0.0,0.0,16.86,16.86,16.86,0.0,0.0
2018-05-27,17.44,17.44,17.44,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.13,17.13,17.13,0.0,0.0,17.21,17.21,17.21,0.0,0.0
2018-06-03,17.65,17.65,17.65,0.0,0.0,17.75,17.75,17.75,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.71,17.71,17.71,0.0,0.0
2018-06-10,17.32,17.32,17.32,0.0,0.0,17.32,17.32,17.32,0.0,0.0,16.93,16.93,16.93,0.0,0.0,17.11,17.11,17.11,0.0,0.0
2018-06-17,16.41,16.41,16.41,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.11,16.11,16.11,0.0,0.0,16.33,16.33,16.33,0.0,0.0
2018-06-24,16.29,16.29,16.29,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.26,16.26,16.26,0.0,0.0,16.35,16.35,16.35,0.0,0.0
2018-07-01,16.76,16.76,16.76,0.0,0.0,16.76,16.76,16.76,0.0,0.0,16.64,16.64,16.64,0.0,0.0,16.64,16.64,16.64,0.0,0.0
2018-07-08,16.61,16.61,16.61,0.0,0.0,16.86,16.86,16.86,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.7,16.7,16.7,0.0,0.0
2018-07-15,17.0,17.0,17.0,0.0,0.0,17.17,17.17,17.17,0.0,0.0,16.99,16.99,16.99,0.0,0.0,17.14,17.14,17.14,0.0,0.0
2018-07-22,17.16,17.16,17.16,0.0,0.0,17.18,17.18,17.18,0.0,0.0,17.16,17.16,17.16,0.0,0.0,17.18,17.18,17.18,0.0,0.0
2018-07-29,18.19,18.19,18.19,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.19,18.19,18.19,0.0,0.0
2018-08-05,17.98,17.98,17.98,0.0,0.0,17.98,17.98,17.98,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.8,17.8,17.8,0.0,0.0
2018-08-12,17.26,17.26,17.26,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.21,17.21,17.21,0.0,0.0,17.23,17.23,17.23,0.0,0.0
2018-08-19,17.5,17.5,17.5,0.0,0.0,17.63,17.63,17.63,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.49,17.49,17.49,0.0,0.0
2018-08-26,17.95,17.95,17.95,0.0,0.0,18.04,18.04,18.04,0.0,0.0,17.86,17.86,17.86,0.0,0.0,18.0,18.0,18.0,0.0,0.0
2018-09-02,17.48,17.48,17.48,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.12,17.12,17.12,0.0,0.0,17.32,17.32,17.32,0.0,0.0
2018-09-09,18.01,18.01,18.01,0.0,0.0,18.02,18.02,18.02,0.0,0.0,17.92,17.92,17.92,0.0,0.0,17.92,17.92,17.92,0.0,0.0
2018-09-16,17.44,17.44,17.44,0.0,0.0,17.85,17.85,17.85,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.79,17.79,17.79,0.0,0.0
2018-09-23,17.96,17.96,17.96,0.0,0.0,18.03,18.03,18.03,0.0,0.0,17.94,17.94,17.94,0.0,0.0,18.03,18.03,18.03,0.0,0.0
2018-09-30,17.8,17.8,17.8,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.41,17.41,17.41,0.0,0.0,17.52,17.52,17.52,0.0,0.0
2018-10-07,17.62,17.62,17.62,0.0,0.0,17.66,17.66,17.66,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.62,17.62,17.62,0.0,0.0
2018-10-14,18.15,18.15,18.15,0.0,0.0,18.15,18.15,18.15,0.0,0.0,18.03,18.03,18.03,0.0,0.0,18.12,18.12,18.12,0.0,0.0
2018-10-21,18.46,18.46,18.46,0.0,0.0,18.46,18.46,18.46,0.0,0.0,17.95,17.95,17.95,0.0,0.0,18.18,18.18,18.18,0.0,0.0
2018-10-28,18.72,18.72,18.72,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.44,18.44,18.44,0.0,0.0,18.54,18.54,18.54,0.0,0.0
2018-11-04,18.76,18.76,18.76,0.0,0.0,18.76,18.76,18.76,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.68,18.68,18.68,0.0,0.0
2018-11-11,18.79,18.79,18.79,0.0,0.0,19.12,19.12,19.12,0.0,0.0,18.79,18.79,18.79,0.0,0.0,19.07,19.07,19.07,0.0,0.0
2018-11-18,18.61,18.61,18.61,0.0,0.0,18.86,18.86,18.86,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.77,18.77,18.77,0.0,0.0
2018-11-25,19.25,19.25,19.25,0.0,0.0,19.39,19.39,19.39,0.0,0.0,19.16,19.16,19.16,0.0,0.0,19.36,19.36,19.36,0.0,0.0
2018-12-02,19.63,19.63,19.63,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.39,19.39,19.39,0.0,0.0,19.46,19.46,19.46,0.0,0.0
2018-12-09,19.24,19.24,19.24,0.0,0.0,19.35,19.35,19.35,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.26,19.26,19.26,0.0,0.0
2018-12-16,18.71,18.71,18.71,0.0,0.0,19.02,19.02,19.02,0.0,0.0,18.71,18.71,18.71,0.0,0.0,18.73,18.73,18.73,0.0,0.0
