Date,ALSMY_Open_average,ALSMY_Open_max,ALSMY_Open_min,ALSMY_Open_volatility,ALSMY_Open_change,ALSMY_High_average,ALSMY_High_max,ALSMY_High_min,ALSMY_High_volatility,ALSMY_High_change,ALSMY_Low_average,ALSMY_Low_max,ALSMY_Low_min,ALSMY_Low_volatility,ALSMY_Low_change,ALSMY_Close_average,ALSMY_Close_max,ALSMY_Close_min,ALSMY_Close_volatility,ALSMY_Close_change,ALSMY_Volume_average,ALSMY_Volume_max,ALSMY_Volume_min,ALSMY_Volume_volatility,ALSMY_Volume_change
2018-01-14,4.415,4.47,4.33,0.13999999999999968,0.08000000000000007,4.42,4.47,4.33,0.13999999999999968,0.08999999999999986,4.405,4.45,4.32,0.1299999999999999,0.08999999999999986,4.41,4.46,4.32,0.13999999999999968,0.09999999999999964,8738,24282,200,24082,-24082
2018-01-21,4.45,4.48,4.38,0.10000000000000053,-0.07000000000000028,4.459,4.5,4.38,0.1200000000000001,-0.08999999999999986,4.442,4.48,4.35,0.13000000000000078,-0.09000000000000075,4.45,4.485,4.35,0.13500000000000068,-0.1200000000000001,6606,24034,0,24034,-23434
2018-01-28,4.2848,4.34,4.19,0.14999999999999947,-0.1299999999999999,4.29,4.346,4.19,0.1559999999999997,-0.1559999999999997,4.266,4.34,4.15,0.1899999999999995,-0.16999999999999993,4.2712,4.346,4.15,0.19599999999999973,-0.19599999999999973,6656,31400,0,31400,-30220
2018-02-04,4.075666666666667,4.13,3.995,0.1349999999999998,-0.1349999999999998,4.108333333333333,4.22,3.995,0.22499999999999964,-0.22499999999999964,4.033333333333333,4.12,3.94,0.18000000000000016,-0.18000000000000016,4.073333333333333,4.22,3.94,0.2799999999999998,-0.2799999999999998,6613,9300,5214,4086,111
2018-02-11,4.1,4.16,4.04,0.1200000000000001,0.1200000000000001,4.1405,4.16,4.121,0.0389999999999997,0.0389999999999997,4.095000000000001,4.15,4.04,0.11000000000000032,0.11000000000000032,4.1355,4.15,4.121,0.028999999999999915,0.028999999999999915,4792,9050,534,8516,8516
2018-02-18,4.153333333333333,4.16,4.145,0.015000000000000568,-0.004999999999999893,4.16,4.175,4.145,0.03000000000000025,0.01499999999999968,4.151666666666666,4.16,4.145,0.015000000000000568,-0.009999999999999787,4.151666666666666,4.16,4.145,0.015000000000000568,-0.009999999999999787,445,1335,0,1335,1335
2018-02-25,4.138,4.164,4.11,0.05399999999999938,-0.02999999999999936,4.138,4.164,4.11,0.05399999999999938,-0.02999999999999936,4.128,4.164,4.11,0.05399999999999938,0.0,4.128,4.164,4.11,0.05399999999999938,0.0,189,569,0,569,-569
2018-03-04,4.12,4.15,4.1,0.05000000000000071,-0.040000000000000036,4.15,4.19,4.11,0.08000000000000007,-0.040000000000000036,4.12,4.15,4.1,0.05000000000000071,-0.040000000000000036,4.15,4.19,4.11,0.08000000000000007,-0.040000000000000036,1833,5500,0,5500,0
2018-03-11,4.215,4.24,4.17,0.07000000000000028,0.010000000000000675,4.2275,4.24,4.22,0.020000000000000462,0.010000000000000675,4.215,4.24,4.17,0.07000000000000028,0.010000000000000675,4.2275,4.24,4.22,0.020000000000000462,0.010000000000000675,600,2400,0,2400,0
2018-03-18,4.4675,4.5,4.4,0.09999999999999964,0.09999999999999964,4.4675,4.5,4.4,0.09999999999999964,0.09999999999999964,4.4375,4.49,4.38,0.11000000000000032,-0.020000000000000462,4.442500000000001,4.49,4.4,0.08999999999999986,0.0,6929,27719,0,27719,27719
