Date,PSTV_Open_average,PSTV_Open_max,PSTV_Open_min,PSTV_Open_volatility,PSTV_Open_change,PSTV_High_average,PSTV_High_max,PSTV_High_min,PSTV_High_volatility,PSTV_High_change,PSTV_Low_average,PSTV_Low_max,PSTV_Low_min,PSTV_Low_volatility,PSTV_Low_change,PSTV_Close_average,PSTV_Close_max,PSTV_Close_min,PSTV_Close_volatility,PSTV_Close_change,PSTV_Volume_average,PSTV_Volume_max,PSTV_Volume_min,PSTV_Volume_volatility,PSTV_Volume_change
2018-01-14,193.09,210.0,180.0,30.0,14.5,207.34,234.0,188.45,45.55000000000001,21.5,185.5,200.0,175.0,25.0,12.5,195.27,210.0,177.5,32.5,18.25,5790,12372,1825,10547,389
2018-01-21,223.07,248.9,204.95,43.95000000000002,16.5,242.97,258.85,229.5,29.350000000000023,27.5,213.93,225.0,204.65,20.349999999999994,12.849999999999994,228.28,250.0,211.25,38.75,38.75,5190,8304,2116,6188,2434
2018-01-28,214.99,250.0,190.95,59.05000000000001,-56.0,218.13,250.0,194.15,55.849999999999994,-55.849999999999994,189.11,210.0,165.0,45.0,-35.0,198.65,220.0,170.5,49.5,-49.5,3212,4886,1912,2974,-2433
2018-02-04,171.57,185.0,150.0,35.0,-18.55000000000001,177.83,185.0,164.85,20.150000000000006,-20.150000000000006,160.41,171.5,150.0,21.5,-15.0,168.91,181.05,155.0,26.05000000000001,-26.05000000000001,1840,3643,858,2785,-623
2018-02-11,164.4375,180.0,155.0,25.0,7.25,173.15,184.0,158.4,25.599999999999994,9.299999999999983,155.0125,160.0,150.0,10.0,9.949999999999989,165.225,179.4,155.0,24.400000000000006,6.5,2589,3645,910,2735,1894
2018-02-18,170.77,180.0,160.0,20.0,20.0,176.94,183.7,165.0,18.69999999999999,15.0,162.101,171.505,155.5,16.004999999999995,9.0,172.91,180.0,162.45,17.55000000000001,13.75,1492,3003,955,2048,97
2018-02-25,174.6,185.0,167.5,17.5,-12.0,179.7112,190.0,171.2,18.80000000000001,-18.80000000000001,164.41,175.0,152.55,22.44999999999999,-10.0,169.9,179.5,162.55,16.94999999999999,-14.5,1394,2132,884,1248,-1169
2018-03-04,161.5,165.0,155.0,10.0,-5.0,166.57,170.0,164.15,5.849999999999994,-5.849999999999994,151.82,160.0,146.05,13.949999999999989,-10.0,158.78,162.4,155.0,7.400000000000006,2.4000000000000057,2525,4626,1305,3321,8
2018-03-11,163.08,168.5,159.5,9.0,-2.9000000000000057,167.9,175.0,164.5,10.5,-5.0,157.481,160.1,155.0,5.099999999999994,-5.0049999999999955,160.95,166.75,157.35,9.400000000000006,-6.699999999999989,1186,2063,552,1511,-712
2018-03-18,157.54,165.0,152.5,12.5,-4.0,161.9206,165.0,157.3,7.699999999999989,-3.1999999999999886,152.2,152.5,151.0,1.5,0.0,155.73,159.85,153.6,6.25,-1.25,1100,1657,663,994,-459
2018-03-25,148.5375,153.5,145.0,8.5,-8.5,152.7,159.45,146.4,13.049999999999983,-8.549999999999983,140.0875,140.25,140.0,0.25,0.25,145.275,150.3,142.1,8.200000000000017,3.4000000000000057,1287,1973,659,1314,-1082
2018-04-01,142.32,147.5,139.95,7.550000000000011,1.5,146.43,149.5,143.0,6.5,-6.5,138.91,140.05,135.05,5.0,4.949999999999989,141.57,144.2,140.0,4.199999999999989,0.0,466,853,272,581,-581
