Date,Direxion Daily CSI China Internet Bull 2X Shares_Open_average,Direxion Daily CSI China Internet Bull 2X Shares_Open_max,Direxion Daily CSI China Internet Bull 2X Shares_Open_min,Direxion Daily CSI China Internet Bull 2X Shares_Open_volatility,Direxion Daily CSI China Internet Bull 2X Shares_Open_change,Direxion Daily CSI China Internet Bull 2X Shares_High_average,Direxion Daily CSI China Internet Bull 2X Shares_High_max,Direxion Daily CSI China Internet Bull 2X Shares_High_min,Direxion Daily CSI China Internet Bull 2X Shares_High_volatility,Direxion Daily CSI China Internet Bull 2X Shares_High_change,Direxion Daily CSI China Internet Bull 2X Shares_Low_average,Direxion Daily CSI China Internet Bull 2X Shares_Low_max,Direxion Daily CSI China Internet Bull 2X Shares_Low_min,Direxion Daily CSI China Internet Bull 2X Shares_Low_volatility,Direxion Daily CSI China Internet Bull 2X Shares_Low_change,Direxion Daily CSI China Internet Bull 2X Shares_Close_average,Direxion Daily CSI China Internet Bull 2X Shares_Close_max,Direxion Daily CSI China Internet Bull 2X Shares_Close_min,Direxion Daily CSI China Internet Bull 2X Shares_Close_volatility,Direxion Daily CSI China Internet Bull 2X Shares_Close_change
2018-01-14,62.78,62.78,62.78,0.0,0.0,63.0,63.0,63.0,0.0,0.0,61.88,61.88,61.88,0.0,0.0,63.0,63.0,63.0,0.0,0.0
2018-01-21,67.86,67.86,67.86,0.0,0.0,68.1,68.1,68.1,0.0,0.0,66.36,66.36,66.36,0.0,0.0,66.52,66.52,66.52,0.0,0.0
2018-01-28,55.89,55.89,55.89,0.0,0.0,59.26,59.26,59.26,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.99,53.99,53.99,0.0,0.0
2018-02-04,51.42,51.42,51.42,0.0,0.0,52.8,52.8,52.8,0.0,0.0,50.36,50.36,50.36,0.0,0.0,52.5,52.5,52.5,0.0,0.0
2018-02-11,61.58,61.58,61.58,0.0,0.0,61.99,61.99,61.99,0.0,0.0,59.84,59.84,59.84,0.0,0.0,60.21,60.21,60.21,0.0,0.0
2018-02-18,64.85,64.85,64.85,0.0,0.0,65.0,65.0,65.0,0.0,0.0,62.58,62.58,62.58,0.0,0.0,63.08,63.08,63.08,0.0,0.0
2018-02-25,58.32,58.32,58.32,0.0,0.0,59.84,59.84,59.84,0.0,0.0,56.92,56.92,56.92,0.0,0.0,59.46,59.46,59.46,0.0,0.0
2018-03-04,66.72,66.72,66.72,0.0,0.0,66.99,66.99,66.99,0.0,0.0,65.19,65.19,65.19,0.0,0.0,65.55,65.55,65.55,0.0,0.0
2018-03-11,64.17,64.17,64.17,0.0,0.0,64.5,64.5,64.5,0.0,0.0,62.03,62.03,62.03,0.0,0.0,63.05,63.05,63.05,0.0,0.0
2018-03-18,58.52,58.52,58.52,0.0,0.0,59.14,59.14,59.14,0.0,0.0,56.0,56.0,56.0,0.0,0.0,58.62,58.62,58.62,0.0,0.0
2018-03-25,52.88,52.88,52.88,0.0,0.0,53.55,53.55,53.55,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.92,50.92,50.92,0.0,0.0
2018-04-01,51.59,51.59,51.59,0.0,0.0,53.3,53.3,53.3,0.0,0.0,51.02,51.02,51.02,0.0,0.0,51.11,51.11,51.11,0.0,0.0
2018-04-08,50.23,50.23,50.23,0.0,0.0,50.7,50.7,50.7,0.0,0.0,49.6,49.6,49.6,0.0,0.0,50.38,50.38,50.38,0.0,0.0
2018-04-15,50.07,50.07,50.07,0.0,0.0,50.5,50.5,50.5,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2018-04-22,48.52,48.52,48.52,0.0,0.0,49.6,49.6,49.6,0.0,0.0,48.24,48.24,48.24,0.0,0.0,49.07,49.07,49.07,0.0,0.0
2018-04-29,49.89,49.89,49.89,0.0,0.0,52.22,52.22,52.22,0.0,0.0,49.89,49.89,49.89,0.0,0.0,51.91,51.91,51.91,0.0,0.0
2018-05-06,54.0,54.0,54.0,0.0,0.0,55.57,55.57,55.57,0.0,0.0,53.94,53.94,53.94,0.0,0.0,54.64,54.64,54.64,0.0,0.0
2018-05-13,52.39,52.39,52.39,0.0,0.0,52.47,52.47,52.47,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.66,50.66,50.66,0.0,0.0
2018-05-20,51.01,51.01,51.01,0.0,0.0,51.58,51.58,51.58,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.24,51.24,51.24,0.0,0.0
2018-05-27,56.76,56.76,56.76,0.0,0.0,58.36,58.36,58.36,0.0,0.0,56.76,56.76,56.76,0.0,0.0,58.25,58.25,58.25,0.0,0.0
2018-06-03,59.5,59.5,59.5,0.0,0.0,60.96,60.96,60.96,0.0,0.0,59.5,59.5,59.5,0.0,0.0,60.1,60.1,60.1,0.0,0.0
2018-06-10,60.1,60.1,60.1,0.0,0.0,61.28,61.28,61.28,0.0,0.0,58.87,58.87,58.87,0.0,0.0,61.21,61.21,61.21,0.0,0.0
2018-06-17,54.0,54.0,54.0,0.0,0.0,54.09,54.09,54.09,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2018-06-24,46.75,46.75,46.75,0.0,0.0,48.65,48.65,48.65,0.0,0.0,46.52,46.52,46.52,0.0,0.0,48.65,48.65,48.65,0.0,0.0
2018-07-01,50.89,50.89,50.89,0.0,0.0,51.24,51.24,51.24,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.95,50.95,50.95,0.0,0.0
2018-07-08,48.9,48.9,48.9,0.0,0.0,49.54,49.54,49.54,0.0,0.0,48.9,48.9,48.9,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2018-07-15,46.94,46.94,46.94,0.0,0.0,47.08,47.08,47.08,0.0,0.0,46.05,46.05,46.05,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2018-07-22,45.74,45.74,45.74,0.0,0.0,45.74,45.74,45.74,0.0,0.0,42.64,42.64,42.64,0.0,0.0,43.2,43.2,43.2,0.0,0.0
2018-07-29,39.78,39.78,39.78,0.0,0.0,40.35,40.35,40.35,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.99,39.99,39.99,0.0,0.0
2018-08-05,38.11,38.11,38.11,0.0,0.0,38.35,38.35,38.35,0.0,0.0,36.8,36.8,36.8,0.0,0.0,37.0,37.0,37.0,0.0,0.0
2018-08-12,33.79,33.79,33.79,0.0,0.0,35.1,35.1,35.1,0.0,0.0,33.79,33.79,33.79,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2018-08-19,36.64,36.64,36.64,0.0,0.0,37.67,37.67,37.67,0.0,0.0,36.61,36.61,36.61,0.0,0.0,37.5,37.5,37.5,0.0,0.0
