Date,iShares MSCI USA ESG Select_Open_average,iShares MSCI USA ESG Select_Open_max,iShares MSCI USA ESG Select_Open_min,iShares MSCI USA ESG Select_Open_volatility,iShares MSCI USA ESG Select_Open_change,iShares MSCI USA ESG Select_High_average,iShares MSCI USA ESG Select_High_max,iShares MSCI USA ESG Select_High_min,iShares MSCI USA ESG Select_High_volatility,iShares MSCI USA ESG Select_High_change,iShares MSCI USA ESG Select_Low_average,iShares MSCI USA ESG Select_Low_max,iShares MSCI USA ESG Select_Low_min,iShares MSCI USA ESG Select_Low_volatility,iShares MSCI USA ESG Select_Low_change,iShares MSCI USA ESG Select_Close_average,iShares MSCI USA ESG Select_Close_max,iShares MSCI USA ESG Select_Close_min,iShares MSCI USA ESG Select_Close_volatility,iShares MSCI USA ESG Select_Close_change
2018-01-14,116.67,116.67,116.67,0.0,0.0,117.89,117.89,117.89,0.0,0.0,116.66,116.66,116.66,0.0,0.0,117.89,117.89,117.89,0.0,0.0
2018-01-21,118.82,118.82,118.82,0.0,0.0,119.04,119.04,119.04,0.0,0.0,118.35,118.35,118.35,0.0,0.0,118.5,118.5,118.5,0.0,0.0
2018-01-28,113.68,113.68,113.68,0.0,0.0,114.91,114.91,114.91,0.0,0.0,110.33,110.33,110.33,0.0,0.0,110.36,110.36,110.36,0.0,0.0
2018-02-04,109.74,109.74,109.74,0.0,0.0,110.97,110.97,110.97,0.0,0.0,109.2,109.2,109.2,0.0,0.0,110.44,110.44,110.44,0.0,0.0
2018-02-11,112.46,112.46,112.46,0.0,0.0,114.39,114.39,114.39,0.0,0.0,112.46,112.46,112.46,0.0,0.0,113.75,113.75,113.75,0.0,0.0
2018-02-18,114.92,114.92,114.92,0.0,0.0,115.79,115.79,115.79,0.0,0.0,114.68,114.68,114.68,0.0,0.0,115.75,115.75,115.75,0.0,0.0
2018-02-25,112.07,112.07,112.07,0.0,0.0,113.72,113.72,113.72,0.0,0.0,111.85,111.85,111.85,0.0,0.0,113.72,113.72,113.72,0.0,0.0
2018-03-04,116.53,116.53,116.53,0.0,0.0,116.87,116.87,116.87,0.0,0.0,116.21,116.21,116.21,0.0,0.0,116.26,116.26,116.26,0.0,0.0
2018-03-11,114.53,114.53,114.53,0.0,0.0,114.99,114.99,114.99,0.0,0.0,113.07,113.07,113.07,0.0,0.0,113.63,113.63,113.63,0.0,0.0
2018-03-18,109.15,109.15,109.15,0.0,0.0,111.11,111.11,111.11,0.0,0.0,109.15,109.15,109.15,0.0,0.0,111.11,111.11,111.11,0.0,0.0
