Date,VelocityShares 3x Long Crude S&P GSCI ER_Open_average,VelocityShares 3x Long Crude S&P GSCI ER_Open_max,VelocityShares 3x Long Crude S&P GSCI ER_Open_min,VelocityShares 3x Long Crude S&P GSCI ER_Open_volatility,VelocityShares 3x Long Crude S&P GSCI ER_Open_change,VelocityShares 3x Long Crude S&P GSCI ER_High_average,VelocityShares 3x Long Crude S&P GSCI ER_High_max,VelocityShares 3x Long Crude S&P GSCI ER_High_min,VelocityShares 3x Long Crude S&P GSCI ER_High_volatility,VelocityShares 3x Long Crude S&P GSCI ER_High_change,VelocityShares 3x Long Crude S&P GSCI ER_Low_average,VelocityShares 3x Long Crude S&P GSCI ER_Low_max,VelocityShares 3x Long Crude S&P GSCI ER_Low_min,VelocityShares 3x Long Crude S&P GSCI ER_Low_volatility,VelocityShares 3x Long Crude S&P GSCI ER_Low_change,VelocityShares 3x Long Crude S&P GSCI ER_Close_average,VelocityShares 3x Long Crude S&P GSCI ER_Close_max,VelocityShares 3x Long Crude S&P GSCI ER_Close_min,VelocityShares 3x Long Crude S&P GSCI ER_Close_volatility,VelocityShares 3x Long Crude S&P GSCI ER_Close_change
2018-01-14,28.57,28.57,28.57,0.0,0.0,29.69,29.69,29.69,0.0,0.0,28.28,28.28,28.28,0.0,0.0,29.22,29.22,29.22,0.0,0.0
2018-01-21,31.62,31.62,31.62,0.0,0.0,31.87,31.87,31.87,0.0,0.0,30.87,30.87,30.87,0.0,0.0,31.51,31.51,31.51,0.0,0.0
2018-01-28,30.96,30.96,30.96,0.0,0.0,31.25,31.25,31.25,0.0,0.0,28.81,28.81,28.81,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2018-02-04,23.93,23.93,23.93,0.0,0.0,24.53,24.53,24.53,0.0,0.0,23.183000000000003,23.183000000000003,23.183000000000003,0.0,0.0,23.27,23.27,23.27,0.0,0.0
2018-02-11,25.52,25.52,25.52,0.0,0.0,26.62,26.62,26.62,0.0,0.0,25.23,25.23,25.23,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2018-02-18,28.49,28.49,28.49,0.0,0.0,29.75,29.75,29.75,0.0,0.0,28.180999999999997,28.180999999999997,28.180999999999997,0.0,0.0,29.42,29.42,29.42,0.0,0.0
2018-02-25,25.8,25.8,25.8,0.0,0.0,27.68,27.68,27.68,0.0,0.0,25.7,25.7,25.7,0.0,0.0,27.41,27.41,27.41,0.0,0.0
2018-03-04,26.08,26.08,26.08,0.0,0.0,26.26,26.26,26.26,0.0,0.0,24.861,24.861,24.861,0.0,0.0,25.741,25.741,25.741,0.0,0.0
2018-03-11,27.01,27.01,27.01,0.0,0.0,27.03,27.03,27.03,0.0,0.0,25.83,25.83,25.83,0.0,0.0,26.85,26.85,26.85,0.0,0.0
2018-03-18,31.29,31.29,31.29,0.0,0.0,31.6,31.6,31.6,0.0,0.0,30.49,30.49,30.49,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2018-03-25,29.45,29.45,29.45,0.0,0.0,29.46,29.46,29.46,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.83,27.83,27.83,0.0,0.0
2018-04-01,27.45,27.45,27.45,0.0,0.0,28.3,28.3,28.3,0.0,0.0,27.311999999999998,27.311999999999998,27.311999999999998,0.0,0.0,27.89,27.89,27.89,0.0,0.0
2018-04-08,32.74,32.74,32.74,0.0,0.0,32.8,32.8,32.8,0.0,0.0,31.72,31.72,31.72,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2018-04-15,33.53,33.53,33.53,0.0,0.0,35.98,35.98,35.98,0.0,0.0,33.071,33.071,33.071,0.0,0.0,35.88,35.88,35.88,0.0,0.0
2018-04-22,33.53,33.53,33.53,0.0,0.0,36.405,36.405,36.405,0.0,0.0,33.445,33.445,33.445,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2018-04-29,37.9,37.9,37.9,0.0,0.0,38.71,38.71,38.71,0.0,0.0,36.58,36.58,36.58,0.0,0.0,37.11,37.11,37.11,0.0,0.0
2018-05-06,38.46,38.46,38.46,0.0,0.0,39.31,39.31,39.31,0.0,0.0,38.42,38.42,38.42,0.0,0.0,39.11,39.11,39.11,0.0,0.0
2018-05-13,40.0,40.0,40.0,0.0,0.0,41.52,41.52,41.52,0.0,0.0,39.86,39.86,39.86,0.0,0.0,41.47,41.47,41.47,0.0,0.0
2018-05-20,35.39,35.39,35.39,0.0,0.0,35.42,35.42,35.42,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2018-05-27,30.7,30.7,30.7,0.0,0.0,30.88,30.88,30.88,0.0,0.0,28.971999999999998,28.971999999999998,28.971999999999998,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2018-06-03,29.66,29.66,29.66,0.0,0.0,31.32,31.32,31.32,0.0,0.0,29.46,29.46,29.46,0.0,0.0,30.91,30.91,30.91,0.0,0.0
2018-06-10,29.58,29.58,29.58,0.0,0.0,30.601999999999997,30.601999999999997,30.601999999999997,0.0,0.0,29.225,29.225,29.225,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2018-06-17,35.39,35.39,35.39,0.0,0.0,35.594,35.594,35.594,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2018-06-24,43.03,43.03,43.03,0.0,0.0,43.51,43.51,43.51,0.0,0.0,41.913000000000004,41.913000000000004,41.913000000000004,0.0,0.0,42.73,42.73,42.73,0.0,0.0
2018-07-01,42.64,42.64,42.64,0.0,0.0,43.02,43.02,43.02,0.0,0.0,41.13,41.13,41.13,0.0,0.0,42.98,42.98,42.98,0.0,0.0
2018-07-08,35.45,35.45,35.45,0.0,0.0,35.64,35.64,35.64,0.0,0.0,32.78,32.78,32.78,0.0,0.0,33.44,33.44,33.44,0.0,0.0
