Date,SPDR S&P 400 Mid Cap GrowthEtf_Open_average,SPDR S&P 400 Mid Cap GrowthEtf_Open_max,SPDR S&P 400 Mid Cap GrowthEtf_Open_min,SPDR S&P 400 Mid Cap GrowthEtf_Open_volatility,SPDR S&P 400 Mid Cap GrowthEtf_Open_change,SPDR S&P 400 Mid Cap GrowthEtf_High_average,SPDR S&P 400 Mid Cap GrowthEtf_High_max,SPDR S&P 400 Mid Cap GrowthEtf_High_min,SPDR S&P 400 Mid Cap GrowthEtf_High_volatility,SPDR S&P 400 Mid Cap GrowthEtf_High_change,SPDR S&P 400 Mid Cap GrowthEtf_Low_average,SPDR S&P 400 Mid Cap GrowthEtf_Low_max,SPDR S&P 400 Mid Cap GrowthEtf_Low_min,SPDR S&P 400 Mid Cap GrowthEtf_Low_volatility,SPDR S&P 400 Mid Cap GrowthEtf_Low_change,SPDR S&P 400 Mid Cap GrowthEtf_Close_average,SPDR S&P 400 Mid Cap GrowthEtf_Close_max,SPDR S&P 400 Mid Cap GrowthEtf_Close_min,SPDR S&P 400 Mid Cap GrowthEtf_Close_volatility,SPDR S&P 400 Mid Cap GrowthEtf_Close_change
2018-01-14,54.13,54.13,54.13,0.0,0.0,54.64,54.64,54.64,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.64,54.64,54.64,0.0,0.0
2018-01-21,55.06,55.06,55.06,0.0,0.0,55.19,55.19,55.19,0.0,0.0,54.75,54.75,54.75,0.0,0.0,55.19,55.19,55.19,0.0,0.0
2018-01-28,54.04,54.04,54.04,0.0,0.0,54.04,54.04,54.04,0.0,0.0,53.18,53.18,53.18,0.0,0.0,53.22,53.22,53.22,0.0,0.0
2018-02-04,50.39,50.39,50.39,0.0,0.0,50.67,50.67,50.67,0.0,0.0,49.02,49.02,49.02,0.0,0.0,50.44,50.44,50.44,0.0,0.0
2018-02-11,52.71,52.71,52.71,0.0,0.0,53.09,53.09,53.09,0.0,0.0,52.69,52.69,52.69,0.0,0.0,52.86,52.86,52.86,0.0,0.0
2018-02-18,52.67,52.67,52.67,0.0,0.0,52.93,52.93,52.93,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.93,52.93,52.93,0.0,0.0
2018-02-25,51.34,51.34,51.34,0.0,0.0,52.31,52.31,52.31,0.0,0.0,51.23,51.23,51.23,0.0,0.0,52.28,52.28,52.28,0.0,0.0
2018-03-04,53.81,53.81,53.81,0.0,0.0,54.52,54.52,54.52,0.0,0.0,53.81,53.81,53.81,0.0,0.0,54.49,54.49,54.49,0.0,0.0
2018-03-11,53.88,53.88,53.88,0.0,0.0,54.24,54.24,54.24,0.0,0.0,53.88,53.88,53.88,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2018-03-18,52.51,52.51,52.51,0.0,0.0,52.64,52.64,52.64,0.0,0.0,51.48,51.48,51.48,0.0,0.0,51.48,51.48,51.48,0.0,0.0
2018-03-25,52.04,52.04,52.04,0.0,0.0,52.73,52.73,52.73,0.0,0.0,51.88,51.88,51.88,0.0,0.0,52.48,52.48,52.48,0.0,0.0
