Date,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Open_average,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Open_max,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Open_min,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Open_volatility,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Open_change,First Trust NASDAQ Clean Edge Smart Grid Infrastru_High_average,First Trust NASDAQ Clean Edge Smart Grid Infrastru_High_max,First Trust NASDAQ Clean Edge Smart Grid Infrastru_High_min,First Trust NASDAQ Clean Edge Smart Grid Infrastru_High_volatility,First Trust NASDAQ Clean Edge Smart Grid Infrastru_High_change,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Low_average,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Low_max,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Low_min,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Low_volatility,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Low_change,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Close_average,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Close_max,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Close_min,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Close_volatility,First Trust NASDAQ Clean Edge Smart Grid Infrastru_Close_change
2018-01-14,53.06,53.06,53.06,0.0,0.0,53.21,53.21,53.21,0.0,0.0,52.9,52.9,52.9,0.0,0.0,53.08,53.08,53.08,0.0,0.0
2018-01-21,53.42,53.42,53.42,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.17,53.17,53.17,0.0,0.0,53.23,53.23,53.23,0.0,0.0
2018-01-28,51.34,51.34,51.34,0.0,0.0,51.4,51.4,51.4,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.69,49.69,49.69,0.0,0.0
2018-02-04,48.91,48.91,48.91,0.0,0.0,49.36,49.36,49.36,0.0,0.0,48.8,48.8,48.8,0.0,0.0,49.23,49.23,49.23,0.0,0.0
2018-02-11,50.96,50.96,50.96,0.0,0.0,51.35,51.35,51.35,0.0,0.0,50.86,50.86,50.86,0.0,0.0,51.24,51.24,51.24,0.0,0.0
2018-02-18,51.53,51.53,51.53,0.0,0.0,51.62,51.62,51.62,0.0,0.0,51.18,51.18,51.18,0.0,0.0,51.62,51.62,51.62,0.0,0.0
2018-02-25,50.71,50.71,50.71,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2018-03-04,52.57,52.57,52.57,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.34,52.34,52.34,0.0,0.0,52.47,52.47,52.47,0.0,0.0
2018-03-11,52.19,52.19,52.19,0.0,0.0,52.19,52.19,52.19,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.59,51.59,51.59,0.0,0.0
2018-03-18,50.0,50.0,50.0,0.0,0.0,50.13,50.13,50.13,0.0,0.0,49.68,49.68,49.68,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2018-03-25,49.0,49.0,49.0,0.0,0.0,49.17,49.17,49.17,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.47,48.47,48.47,0.0,0.0
2018-04-01,48.79,48.79,48.79,0.0,0.0,49.0,49.0,49.0,0.0,0.0,48.79,48.79,48.79,0.0,0.0,49.0,49.0,49.0,0.0,0.0
2018-04-08,49.45,49.45,49.45,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-04-15,49.95,49.95,49.95,0.0,0.0,50.18,50.18,50.18,0.0,0.0,49.95,49.95,49.95,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2018-04-22,49.0,49.0,49.0,0.0,0.0,49.0,49.0,49.0,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.88,48.88,48.88,0.0,0.0
2018-04-29,50.89,50.89,50.89,0.0,0.0,51.04,51.04,51.04,0.0,0.0,50.88,50.88,50.88,0.0,0.0,51.04,51.04,51.04,0.0,0.0
2018-05-06,52.79,52.79,52.79,0.0,0.0,53.05,53.05,53.05,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.84,52.84,52.84,0.0,0.0
2018-05-13,52.95,52.95,52.95,0.0,0.0,52.95,52.95,52.95,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2018-05-20,51.66,51.66,51.66,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.61,51.61,51.61,0.0,0.0
2018-05-27,51.35,51.35,51.35,0.0,0.0,51.71,51.71,51.71,0.0,0.0,51.29,51.29,51.29,0.0,0.0,51.71,51.71,51.71,0.0,0.0
2018-06-03,51.28,51.28,51.28,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.1,51.1,51.1,0.0,0.0
2018-06-10,50.51,50.51,50.51,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.95,50.95,50.95,0.0,0.0
2018-06-17,48.99,48.99,48.99,0.0,0.0,48.99,48.99,48.99,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.63,48.63,48.63,0.0,0.0
2018-06-24,48.36,48.36,48.36,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2018-07-01,50.06,50.06,50.06,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.37,50.37,50.37,0.0,0.0
2018-07-08,49.85,49.85,49.85,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-07-15,50.04,50.04,50.04,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2018-07-22,49.85,49.85,49.85,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.68,49.68,49.68,0.0,0.0
2018-07-29,49.8,49.8,49.8,0.0,0.0,50.41,50.41,50.41,0.0,0.0,49.8,49.8,49.8,0.0,0.0,50.38,50.38,50.38,0.0,0.0
2018-08-05,49.31,49.31,49.31,0.0,0.0,49.31,49.31,49.31,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.96,48.96,48.96,0.0,0.0
2018-08-12,48.86,48.86,48.86,0.0,0.0,49.13,49.13,49.13,0.0,0.0,48.86,48.86,48.86,0.0,0.0,49.13,49.13,49.13,0.0,0.0
2018-08-19,50.47,50.47,50.47,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2018-08-26,49.84,49.84,49.84,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.82,49.82,49.82,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2018-09-02,49.03,49.03,49.03,0.0,0.0,49.07,49.07,49.07,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.06,49.06,49.06,0.0,0.0
2018-09-09,49.38,49.38,49.38,0.0,0.0,49.38,49.38,49.38,0.0,0.0,48.99,48.99,48.99,0.0,0.0,48.99,48.99,48.99,0.0,0.0
2018-09-16,49.28,49.28,49.28,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-09-23,47.79,47.79,47.79,0.0,0.0,47.92,47.92,47.92,0.0,0.0,47.73,47.73,47.73,0.0,0.0,47.73,47.73,47.73,0.0,0.0
2018-09-30,45.4,45.4,45.4,0.0,0.0,45.79,45.79,45.79,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.79,45.79,45.79,0.0,0.0
2018-10-07,43.33,43.33,43.33,0.0,0.0,43.42,43.42,43.42,0.0,0.0,43.26,43.26,43.26,0.0,0.0,43.37,43.37,43.37,0.0,0.0
2018-10-14,42.77,42.77,42.77,0.0,0.0,42.89,42.89,42.89,0.0,0.0,42.69,42.69,42.69,0.0,0.0,42.84,42.84,42.84,0.0,0.0
2018-10-21,42.43,42.43,42.43,0.0,0.0,42.43,42.43,42.43,0.0,0.0,41.07,41.07,41.07,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2018-10-28,43.34,43.34,43.34,0.0,0.0,43.34,43.34,43.34,0.0,0.0,42.95,42.95,42.95,0.0,0.0,43.06,43.06,43.06,0.0,0.0
2018-11-04,42.5,42.5,42.5,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.16,42.16,42.16,0.0,0.0,42.16,42.16,42.16,0.0,0.0
