Date,ICCC_Open_average,ICCC_Open_max,ICCC_Open_min,ICCC_Open_volatility,ICCC_Open_change,ICCC_High_average,ICCC_High_max,ICCC_High_min,ICCC_High_volatility,ICCC_High_change,ICCC_Low_average,ICCC_Low_max,ICCC_Low_min,ICCC_Low_volatility,ICCC_Low_change,ICCC_Close_average,ICCC_Close_max,ICCC_Close_min,ICCC_Close_volatility,ICCC_Close_change,ICCC_Volume_average,ICCC_Volume_max,ICCC_Volume_min,ICCC_Volume_volatility,ICCC_Volume_change
2018-01-14,7.5600000000000005,7.7,7.41,0.29000000000000004,-0.07000000000000028,7.725,7.95,7.6,0.35000000000000053,0.23000000000000043,7.4625,7.58,7.36,0.21999999999999975,0.07000000000000028,7.5,7.66,7.36,0.2999999999999998,0.14000000000000057,8690,11301,4072,7229,-6209
2018-01-21,7.578,7.74,7.5,0.2400000000000002,-0.04999999999999982,7.6,7.74,7.53,0.20999999999999996,-0.04999999999999982,7.46,7.52,7.41,0.10999999999999943,-0.09999999999999964,7.478,7.57,7.41,0.16000000000000014,-0.09999999999999964,5769,12544,1173,11371,3308
2018-01-28,7.382,7.51,7.18,0.33000000000000007,-0.020000000000000462,7.456,7.51,7.38,0.1299999999999999,0.05999999999999961,7.286,7.4,7.14,0.2600000000000007,0.0,7.328,7.4,7.14,0.2600000000000007,0.0,5618,12878,718,12160,5821
2018-02-04,7.168,7.38,7.01,0.3700000000000001,-0.3700000000000001,7.328,7.47,7.15,0.3199999999999994,-0.08999999999999986,7.1,7.31,7.0,0.3099999999999996,-0.3099999999999996,7.176,7.38,7.05,0.33000000000000007,0.07000000000000028,5697,11260,1121,10139,5301
2018-02-11,7.296,7.4,7.23,0.16999999999999993,-0.1200000000000001,7.35,7.4,7.31,0.09000000000000075,-0.03000000000000025,7.25,7.31,7.17,0.13999999999999968,0.11000000000000032,7.298,7.36,7.17,0.1900000000000004,0.1900000000000004,2768,8338,516,7822,-1975
2018-02-18,7.2125,7.26,7.18,0.08000000000000007,0.009999999999999787,7.2524999999999995,7.29,7.21,0.08000000000000007,-0.040000000000000036,7.1825,7.22,7.15,0.0699999999999994,0.040000000000000036,7.21,7.25,7.17,0.08000000000000007,0.03000000000000025,4439,12088,510,11578,-9309
2018-02-25,7.314,7.39,7.26,0.1299999999999999,-0.03000000000000025,7.384,7.54,7.3,0.2400000000000002,0.07000000000000028,7.266,7.33,7.22,0.11000000000000032,-0.040000000000000036,7.29,7.33,7.23,0.09999999999999964,-0.03000000000000025,7370,13055,0,13055,5824
2018-03-04,7.15,7.25,7.0,0.25,-0.20999999999999996,7.308,7.36,7.27,0.09000000000000075,0.020000000000000462,7.052,7.12,7.0,0.1200000000000001,0.040000000000000036,7.2059999999999995,7.27,7.1,0.16999999999999993,0.019999999999999574,6626,10238,4443,5795,-4266
2018-03-11,7.156,7.18,7.11,0.0699999999999994,0.02999999999999936,7.292,7.5,7.14,0.3600000000000003,-0.2999999999999998,7.14,7.17,7.1,0.07000000000000028,0.020000000000000462,7.146,7.2,7.1,0.10000000000000053,0.020000000000000462,4465,10039,1163,8876,-5987
2018-03-18,7.072,7.19,7.01,0.1800000000000006,-0.1800000000000006,7.12,7.19,7.06,0.13000000000000078,-0.13000000000000078,7.004,7.07,6.87,0.20000000000000018,-0.20000000000000018,7.05,7.08,7.0,0.08000000000000007,-0.020000000000000462,6257,12361,2458,9903,9903
2018-03-25,6.967499999999999,7.02,6.88,0.13999999999999968,0.0,7.0875,7.2,7.03,0.16999999999999993,0.16999999999999993,6.8075,6.96,6.7,0.2599999999999998,-0.13999999999999968,6.9925,7.08,6.93,0.15000000000000036,0.040000000000000036,6266,10737,1461,9276,1638
2018-04-01,7.096,7.38,6.95,0.4299999999999997,0.1899999999999995,7.206,7.48,6.97,0.5100000000000007,0.29000000000000004,7.0040000000000004,7.28,6.85,0.4300000000000006,0.2400000000000002,7.122,7.45,6.85,0.6000000000000005,0.41000000000000014,6186,14187,619,13568,8839
2018-04-08,7.11,7.37,7.01,0.3600000000000003,-0.020000000000000462,7.26,7.42,7.06,0.3600000000000003,-0.3600000000000003,7.062,7.25,6.94,0.3099999999999996,-0.13999999999999968,7.226,7.42,6.96,0.45999999999999996,-0.45999999999999996,1815,3432,390,3042,-2018
2018-04-15,7.158,7.33,6.94,0.3899999999999997,0.2999999999999998,7.184,7.33,7.07,0.2599999999999998,0.16999999999999993,6.994,7.24,6.83,0.41000000000000014,0.3100000000000005,7.054,7.24,6.83,0.41000000000000014,0.16999999999999993,2942,5056,489,4567,-4567
2018-04-22,7.18,7.33,7.11,0.21999999999999975,0.08999999999999986,7.21,7.35,7.11,0.23999999999999932,0.22999999999999954,7.178,7.32,7.11,0.20999999999999996,0.08999999999999986,7.186,7.32,7.11,0.20999999999999996,0.1299999999999999,1082,3014,0,3014,3014
2018-04-29,7.26,7.35,7.21,0.13999999999999968,0.13999999999999968,7.512,8.32,7.22,1.1000000000000005,0.9900000000000002,7.234,7.33,7.1,0.23000000000000043,0.23000000000000043,7.442,8.09,7.21,0.8799999999999999,0.8799999999999999,7357,29640,478,29162,25576
2018-05-06,8.068,8.25,7.74,0.5099999999999998,-0.14000000000000057,8.302,8.65,7.84,0.8100000000000005,0.2400000000000002,7.976,8.15,7.74,0.41000000000000014,-0.08000000000000007,8.088,8.28,7.84,0.4399999999999995,0.08999999999999986,18327,51701,396,51305,27633
