Date,iShares Core US Aggregate Bond_Open_average,iShares Core US Aggregate Bond_Open_max,iShares Core US Aggregate Bond_Open_min,iShares Core US Aggregate Bond_Open_volatility,iShares Core US Aggregate Bond_Open_change,iShares Core US Aggregate Bond_High_average,iShares Core US Aggregate Bond_High_max,iShares Core US Aggregate Bond_High_min,iShares Core US Aggregate Bond_High_volatility,iShares Core US Aggregate Bond_High_change,iShares Core US Aggregate Bond_Low_average,iShares Core US Aggregate Bond_Low_max,iShares Core US Aggregate Bond_Low_min,iShares Core US Aggregate Bond_Low_volatility,iShares Core US Aggregate Bond_Low_change,iShares Core US Aggregate Bond_Close_average,iShares Core US Aggregate Bond_Close_max,iShares Core US Aggregate Bond_Close_min,iShares Core US Aggregate Bond_Close_volatility,iShares Core US Aggregate Bond_Close_change
2018-01-14,108.22,108.22,108.22,0.0,0.0,108.3,108.3,108.3,0.0,0.0,108.11,108.11,108.11,0.0,0.0,108.14,108.14,108.14,0.0,0.0
2018-01-21,108.14,108.14,108.14,0.0,0.0,108.25,108.25,108.25,0.0,0.0,108.02,108.02,108.02,0.0,0.0,108.18,108.18,108.18,0.0,0.0
2018-01-28,107.13,107.13,107.13,0.0,0.0,107.81,107.81,107.81,0.0,0.0,107.0,107.0,107.0,0.0,0.0,107.63,107.63,107.63,0.0,0.0
2018-02-04,106.74,106.74,106.74,0.0,0.0,106.94,106.94,106.94,0.0,0.0,106.66,106.66,106.66,0.0,0.0,106.79,106.79,106.79,0.0,0.0
2018-02-11,106.85,106.85,106.85,0.0,0.0,106.88,106.88,106.88,0.0,0.0,106.71,106.71,106.71,0.0,0.0,106.8,106.8,106.8,0.0,0.0
2018-02-18,106.88,106.88,106.88,0.0,0.0,106.95,106.95,106.95,0.0,0.0,106.69,106.69,106.69,0.0,0.0,106.71,106.71,106.71,0.0,0.0
2018-02-25,106.6,106.6,106.6,0.0,0.0,106.65,106.65,106.65,0.0,0.0,106.28,106.28,106.28,0.0,0.0,106.4,106.4,106.4,0.0,0.0
2018-03-04,106.43,106.43,106.43,0.0,0.0,106.49,106.49,106.49,0.0,0.0,106.37,106.37,106.37,0.0,0.0,106.43,106.43,106.43,0.0,0.0
2018-03-11,106.56,106.56,106.56,0.0,0.0,106.74,106.74,106.74,0.0,0.0,106.53,106.53,106.53,0.0,0.0,106.59,106.59,106.59,0.0,0.0
2018-03-18,106.64,106.64,106.64,0.0,0.0,106.71,106.71,106.71,0.0,0.0,106.47,106.47,106.47,0.0,0.0,106.57,106.57,106.57,0.0,0.0
2018-03-25,106.9,106.9,106.9,0.0,0.0,107.04,107.04,107.04,0.0,0.0,106.82,106.82,106.82,0.0,0.0,106.9,106.9,106.9,0.0,0.0
2018-04-01,106.83,106.83,106.83,0.0,0.0,107.0,107.0,107.0,0.0,0.0,106.78,106.78,106.78,0.0,0.0,107.0,107.0,107.0,0.0,0.0
2018-04-08,106.64,106.64,106.64,0.0,0.0,106.84,106.84,106.84,0.0,0.0,106.61,106.61,106.61,0.0,0.0,106.82,106.82,106.82,0.0,0.0
2018-04-15,105.98,105.98,105.98,0.0,0.0,106.01,106.01,106.01,0.0,0.0,105.9,105.9,105.9,0.0,0.0,105.95,105.95,105.95,0.0,0.0
2018-04-22,106.01,106.01,106.01,0.0,0.0,106.12,106.12,106.12,0.0,0.0,105.99,105.99,105.99,0.0,0.0,106.0,106.0,106.0,0.0,0.0
2018-04-29,105.88,105.88,105.88,0.0,0.0,105.88,105.88,105.88,0.0,0.0,105.77,105.77,105.77,0.0,0.0,105.81,105.81,105.81,0.0,0.0
2018-05-06,105.79,105.79,105.79,0.0,0.0,105.85,105.85,105.85,0.0,0.0,105.74,105.74,105.74,0.0,0.0,105.76,105.76,105.76,0.0,0.0
