Date,First Trust Nasdaq Pharm_etf_Open_average,First Trust Nasdaq Pharm_etf_Open_max,First Trust Nasdaq Pharm_etf_Open_min,First Trust Nasdaq Pharm_etf_Open_volatility,First Trust Nasdaq Pharm_etf_Open_change,First Trust Nasdaq Pharm_etf_High_average,First Trust Nasdaq Pharm_etf_High_max,First Trust Nasdaq Pharm_etf_High_min,First Trust Nasdaq Pharm_etf_High_volatility,First Trust Nasdaq Pharm_etf_High_change,First Trust Nasdaq Pharm_etf_Low_average,First Trust Nasdaq Pharm_etf_Low_max,First Trust Nasdaq Pharm_etf_Low_min,First Trust Nasdaq Pharm_etf_Low_volatility,First Trust Nasdaq Pharm_etf_Low_change,First Trust Nasdaq Pharm_etf_Close_average,First Trust Nasdaq Pharm_etf_Close_max,First Trust Nasdaq Pharm_etf_Close_min,First Trust Nasdaq Pharm_etf_Close_volatility,First Trust Nasdaq Pharm_etf_Close_change
2018-01-14,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.35,22.35,22.35,0.0,0.0,22.35,22.35,22.35,0.0,0.0
2018-01-21,23.4,23.4,23.4,0.0,0.0,23.43,23.43,23.43,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.41,23.41,23.41,0.0,0.0
2018-01-28,22.52,22.52,22.52,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.42,22.42,22.42,0.0,0.0,22.42,22.42,22.42,0.0,0.0
2018-02-04,20.74,20.74,20.74,0.0,0.0,20.74,20.74,20.74,0.0,0.0,20.25,20.25,20.25,0.0,0.0,20.71,20.71,20.71,0.0,0.0
2018-02-11,22.1,22.1,22.1,0.0,0.0,22.14,22.14,22.14,0.0,0.0,22.1,22.1,22.1,0.0,0.0,22.14,22.14,22.14,0.0,0.0
2018-02-18,21.8,21.8,21.8,0.0,0.0,21.8,21.8,21.8,0.0,0.0,21.8,21.8,21.8,0.0,0.0,21.8,21.8,21.8,0.0,0.0
2018-02-25,21.54,21.54,21.54,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.61,21.61,21.61,0.0,0.0
2018-03-04,22.01,22.01,22.01,0.0,0.0,22.01,22.01,22.01,0.0,0.0,21.9,21.9,21.9,0.0,0.0,21.9,21.9,21.9,0.0,0.0
2018-03-11,22.33,22.33,22.33,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.13,22.13,22.13,0.0,0.0,22.23,22.23,22.23,0.0,0.0
2018-03-18,21.63,21.63,21.63,0.0,0.0,21.63,21.63,21.63,0.0,0.0,20.92,20.92,20.92,0.0,0.0,20.92,20.92,20.92,0.0,0.0
2018-03-25,20.97,20.97,20.97,0.0,0.0,20.97,20.97,20.97,0.0,0.0,20.97,20.97,20.97,0.0,0.0,20.97,20.97,20.97,0.0,0.0
2018-04-01,20.63,20.63,20.63,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.63,20.63,20.63,0.0,0.0,20.67,20.67,20.67,0.0,0.0
2018-04-08,21.36,21.36,21.36,0.0,0.0,21.36,21.36,21.36,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.33,21.33,21.33,0.0,0.0
2018-04-15,21.38,21.38,21.38,0.0,0.0,21.38,21.38,21.38,0.0,0.0,21.38,21.38,21.38,0.0,0.0,21.38,21.38,21.38,0.0,0.0
2018-04-22,20.82,20.82,20.82,0.0,0.0,20.84,20.84,20.84,0.0,0.0,20.82,20.82,20.82,0.0,0.0,20.84,20.84,20.84,0.0,0.0
2018-04-29,20.01,20.01,20.01,0.0,0.0,20.01,20.01,20.01,0.0,0.0,19.88,19.88,19.88,0.0,0.0,20.0,20.0,20.0,0.0,0.0
2018-05-06,20.95,20.95,20.95,0.0,0.0,21.31,21.31,21.31,0.0,0.0,20.95,20.95,20.95,0.0,0.0,21.31,21.31,21.31,0.0,0.0
2018-05-13,21.64,21.64,21.64,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.64,21.64,21.64,0.0,0.0,21.68,21.68,21.68,0.0,0.0
2018-05-20,21.34,21.34,21.34,0.0,0.0,21.34,21.34,21.34,0.0,0.0,21.33,21.33,21.33,0.0,0.0,21.33,21.33,21.33,0.0,0.0
