Date,First Trust Developed International Equity Select_Open_average,First Trust Developed International Equity Select_Open_max,First Trust Developed International Equity Select_Open_min,First Trust Developed International Equity Select_Open_volatility,First Trust Developed International Equity Select_Open_change,First Trust Developed International Equity Select_High_average,First Trust Developed International Equity Select_High_max,First Trust Developed International Equity Select_High_min,First Trust Developed International Equity Select_High_volatility,First Trust Developed International Equity Select_High_change,First Trust Developed International Equity Select_Low_average,First Trust Developed International Equity Select_Low_max,First Trust Developed International Equity Select_Low_min,First Trust Developed International Equity Select_Low_volatility,First Trust Developed International Equity Select_Low_change,First Trust Developed International Equity Select_Close_average,First Trust Developed International Equity Select_Close_max,First Trust Developed International Equity Select_Close_min,First Trust Developed International Equity Select_Close_volatility,First Trust Developed International Equity Select_Close_change
2018-01-14,54.25,54.25,54.25,0.0,0.0,54.25,54.25,54.25,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.13,54.13,54.13,0.0,0.0
2018-01-21,54.63,54.63,54.63,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2018-01-28,52.71,52.71,52.71,0.0,0.0,52.71,52.71,52.71,0.0,0.0,51.67,51.67,51.67,0.0,0.0,51.67,51.67,51.67,0.0,0.0
2018-02-04,50.96,50.96,50.96,0.0,0.0,51.18,51.18,51.18,0.0,0.0,50.96,50.96,50.96,0.0,0.0,51.13,51.13,51.13,0.0,0.0
2018-02-11,52.27,52.27,52.27,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.27,52.27,52.27,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2018-02-18,52.5,52.5,52.5,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2018-02-25,51.27,51.27,51.27,0.0,0.0,51.27,51.27,51.27,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.61,50.61,50.61,0.0,0.0
2018-03-04,52.22,52.22,52.22,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.22,52.22,52.22,0.0,0.0
2018-03-11,51.63,51.63,51.63,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2018-03-18,51.05,51.05,51.05,0.0,0.0,51.27,51.27,51.27,0.0,0.0,51.05,51.05,51.05,0.0,0.0,51.22,51.22,51.22,0.0,0.0
2018-03-25,51.15,51.15,51.15,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.15,51.15,51.15,0.0,0.0
2018-04-01,52.1,52.1,52.1,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.1,52.1,52.1,0.0,0.0
2018-04-08,52.0,52.0,52.0,0.0,0.0,52.09,52.09,52.09,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-04-15,52.1,52.1,52.1,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.1,52.1,52.1,0.0,0.0
2018-04-22,52.14,52.14,52.14,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.22,52.22,52.22,0.0,0.0
2018-04-29,52.06,52.06,52.06,0.0,0.0,52.06,52.06,52.06,0.0,0.0,52.06,52.06,52.06,0.0,0.0,52.06,52.06,52.06,0.0,0.0
2018-05-06,52.7,52.7,52.7,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2018-05-13,52.24,52.24,52.24,0.0,0.0,52.24,52.24,52.24,0.0,0.0,52.24,52.24,52.24,0.0,0.0,52.24,52.24,52.24,0.0,0.0
2018-05-20,51.38,51.38,51.38,0.0,0.0,51.7,51.7,51.7,0.0,0.0,51.36,51.36,51.36,0.0,0.0,51.36,51.36,51.36,0.0,0.0
2018-05-27,51.73,51.73,51.73,0.0,0.0,51.87,51.87,51.87,0.0,0.0,51.67,51.67,51.67,0.0,0.0,51.67,51.67,51.67,0.0,0.0
2018-06-03,52.18,52.18,52.18,0.0,0.0,52.34,52.34,52.34,0.0,0.0,52.08,52.08,52.08,0.0,0.0,52.31,52.31,52.31,0.0,0.0
2018-06-10,51.37,51.37,51.37,0.0,0.0,51.37,51.37,51.37,0.0,0.0,51.29,51.29,51.29,0.0,0.0,51.29,51.29,51.29,0.0,0.0
2018-06-17,50.39,50.39,50.39,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2018-06-24,49.52,49.52,49.52,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.72,49.72,49.72,0.0,0.0
2018-07-01,50.82,50.82,50.82,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.82,50.82,50.82,0.0,0.0
