Date,CEVA_Open_average,CEVA_Open_max,CEVA_Open_min,CEVA_Open_volatility,CEVA_Open_change,CEVA_High_average,CEVA_High_max,CEVA_High_min,CEVA_High_volatility,CEVA_High_change,CEVA_Low_average,CEVA_Low_max,CEVA_Low_min,CEVA_Low_volatility,CEVA_Low_change,CEVA_Close_average,CEVA_Close_max,CEVA_Close_min,CEVA_Close_volatility,CEVA_Close_change,CEVA_Volume_average,CEVA_Volume_max,CEVA_Volume_min,CEVA_Volume_volatility,CEVA_Volume_change
2018-01-14,47.14,48.25,46.3,1.9500000000000028,1.6000000000000014,47.926,48.83,47.05,1.7800000000000011,1.0999999999999943,46.81,47.6,45.7,1.8999999999999986,1.8499999999999943,47.4,48.45,45.95,2.5,2.3499999999999943,202329,491095,113412,377683,-17120
2018-01-21,45.339999999999996,48.25,43.3,4.950000000000003,-4.399999999999999,45.936,48.85,44.03,4.82,-3.8999999999999986,43.874,47.85,42.4,5.450000000000003,-4.300000000000004,44.774,48.35,42.9,5.450000000000003,-3.6499999999999986,393728,691305,176803,514502,80985
2018-01-28,42.94,44.15,40.75,3.3999999999999986,-3.25,43.52,45.3,41.5,3.799999999999997,-3.200000000000003,42.01,43.75,39.45,4.299999999999997,-4.299999999999997,42.43,44.0,40.35,3.6499999999999986,-3.6000000000000014,223357,349166,106765,242401,242401
2018-02-04,37.28,39.2,35.95,3.25,-1.5,38.19,41.4,36.52,4.8799999999999955,-4.399999999999999,35.71,38.1,34.6,3.5,-3.1499999999999986,36.604,39.75,35.0,4.75,-3.950000000000003,347782,546751,177481,369270,-369270
2018-02-11,35.662499999999994,35.9,35.3,0.6000000000000014,0.3500000000000014,36.225,36.4,35.9,0.5,0.3500000000000014,35.3075,35.35,35.23,0.12000000000000455,0.0,35.7,36.1,35.45,0.6499999999999986,-0.19999999999999574,130529,146640,100966,45674,-33259
2018-02-18,36.29,37.15,35.25,1.8999999999999986,1.8999999999999986,37.03,37.65,36.65,1.0,1.0,36.04,36.95,35.2,1.75,1.75,36.66,37.45,36.05,1.4000000000000057,1.0500000000000043,115212,198009,76487,121522,-111779
2018-02-25,37.04,37.5,36.15,1.3500000000000014,-0.20000000000000284,37.660000000000004,38.25,36.9,1.3500000000000014,0.25,36.62,37.1,36.1,1.0,-0.10000000000000142,37.15,38.0,36.4,1.6000000000000014,0.75,131593,169353,87982,81371,31330
2018-03-04,39.410000000000004,41.05,38.2,2.8499999999999943,2.8499999999999943,40.17,41.5,38.8,2.700000000000003,2.700000000000003,39.23,40.9,37.85,3.049999999999997,3.049999999999997,39.96,41.2,38.6,2.6000000000000014,2.6000000000000014,134306,174625,107359,67266,-17325
2018-03-11,39.19,41.35,38.25,3.1000000000000014,-2.700000000000003,39.47,41.5,38.65,2.8500000000000014,-2.8500000000000014,37.86,38.4,36.95,1.4499999999999957,-1.4499999999999957,38.440000000000005,38.95,37.6,1.3500000000000014,-1.25,185780,284424,113782,170642,-161587
2018-03-18,37.46,37.95,36.75,1.2000000000000028,-0.7999999999999972,38.046,38.82,37.5,1.3200000000000003,-0.5499999999999972,36.902,37.4,36.05,1.3500000000000014,-0.9499999999999957,37.44,38.45,36.05,2.4000000000000057,-0.25,108775,138270,93481,44789,12128
