Date,CPIX_stock_Open_average,CPIX_stock_Open_max,CPIX_stock_Open_min,CPIX_stock_Open_volatility,CPIX_stock_Open_change,CPIX_stock_High_average,CPIX_stock_High_max,CPIX_stock_High_min,CPIX_stock_High_volatility,CPIX_stock_High_change,CPIX_stock_Low_average,CPIX_stock_Low_max,CPIX_stock_Low_min,CPIX_stock_Low_volatility,CPIX_stock_Low_change,CPIX_stock_Close_average,CPIX_stock_Close_max,CPIX_stock_Close_min,CPIX_stock_Close_volatility,CPIX_stock_Close_change,CPIX_stock_Volume_average,CPIX_stock_Volume_max,CPIX_stock_Volume_min,CPIX_stock_Volume_volatility,CPIX_stock_Volume_change
2018-01-14,7.065,7.13,7.03,0.09999999999999964,-0.040000000000000036,7.1175,7.13,7.1,0.03000000000000025,-0.019999999999999574,6.9925,7.04,6.94,0.09999999999999964,-0.03000000000000025,7.07,7.12,7.03,0.08999999999999986,-0.020000000000000462,11899,13952,6463,7489,-7078
2018-01-21,6.994,7.1,6.76,0.33999999999999986,-0.33000000000000007,7.068,7.13,7.03,0.09999999999999964,-0.09999999999999964,6.91,7.04,6.75,0.29000000000000004,-0.29000000000000004,6.99,7.09,6.75,0.33999999999999986,-0.05999999999999961,26750,109617,3103,106514,102897
2018-01-28,6.944,7.07,6.8,0.27000000000000046,-0.27000000000000046,7.05,7.09,6.95,0.13999999999999968,0.0,6.834,6.93,6.8,0.1299999999999999,-0.1299999999999999,6.898,6.93,6.81,0.1200000000000001,-0.019999999999999574,9755,14304,1315,12989,6343
2018-02-04,6.954,7.06,6.86,0.1999999999999993,0.17999999999999972,7.05,7.1,6.9,0.1999999999999993,0.16999999999999993,6.7860000000000005,6.96,6.5,0.45999999999999996,0.3799999999999999,6.94,7.1,6.71,0.3899999999999997,0.1900000000000004,27692,82281,3263,79018,-11956
2018-02-11,7.0280000000000005,7.07,6.98,0.08999999999999986,-0.0699999999999994,7.052,7.09,7.0,0.08999999999999986,-0.08000000000000007,6.930000000000001,7.0,6.82,0.17999999999999972,0.009999999999999787,6.978000000000001,7.07,6.94,0.1299999999999999,0.009999999999999787,8588,16108,1729,14379,5189
2018-02-18,6.885,7.08,6.7,0.3799999999999999,-0.2599999999999998,7.02,7.08,6.95,0.1299999999999999,-0.08999999999999986,6.8149999999999995,6.9,6.7,0.20000000000000018,-0.20000000000000018,6.8575,6.96,6.72,0.2400000000000002,-0.2400000000000002,6061,9530,2257,7273,4834
2018-02-25,6.728,6.81,6.63,0.17999999999999972,-0.07000000000000028,6.848,6.95,6.74,0.20999999999999996,0.16000000000000014,6.644,6.78,6.56,0.22000000000000064,0.03000000000000025,6.768,6.94,6.62,0.3200000000000003,0.2400000000000002,7152,14620,1294,13326,2110
2018-03-04,6.924,7.01,6.78,0.22999999999999954,-0.10999999999999943,6.962,7.03,6.89,0.14000000000000057,-0.040000000000000036,6.718,6.9,6.6,0.3000000000000007,-0.16999999999999993,6.832,6.97,6.68,0.29000000000000004,-0.1200000000000001,27447,48730,4813,43917,-23554
2018-03-11,6.726,6.79,6.6,0.1900000000000004,0.03000000000000025,6.803999999999999,6.88,6.77,0.11000000000000032,-0.08000000000000007,6.616,6.64,6.6,0.040000000000000036,-0.040000000000000036,6.662,6.71,6.62,0.08999999999999986,-0.08999999999999986,9856,20553,4386,16167,7292
2018-03-18,6.742,6.85,6.66,0.1899999999999995,0.13999999999999968,6.882,7.0,6.7,0.2999999999999998,0.2699999999999996,6.678,6.7,6.64,0.0600000000000005,0.010000000000000675,6.73,6.81,6.69,0.11999999999999922,-0.009999999999999787,34011,146009,2139,143870,1182
2018-03-25,6.725,6.75,6.7,0.04999999999999982,-0.04999999999999982,6.825,7.0,6.74,0.2599999999999998,-0.21999999999999975,6.6875,6.7,6.68,0.020000000000000462,-0.020000000000000462,6.6925,6.7,6.68,0.020000000000000462,-0.020000000000000462,9289,11432,6574,4858,821
2018-04-01,6.688000000000001,6.83,6.61,0.21999999999999975,-0.08000000000000007,6.848,7.12,6.7,0.41999999999999993,0.3899999999999997,6.566,6.61,6.43,0.1800000000000006,-0.1800000000000006,6.614,6.66,6.59,0.07000000000000028,-0.07000000000000028,8159,13362,3533,9829,4376
2018-04-08,6.454,6.6,6.3,0.2999999999999998,-0.20999999999999996,6.57,6.72,6.48,0.23999999999999932,-0.21999999999999975,6.422,6.55,6.3,0.25,-0.16000000000000014,6.46,6.55,6.42,0.1299999999999999,-0.10999999999999943,6797,21248,589,20659,-137
2018-04-15,6.728,6.9,6.5,0.40000000000000036,0.29000000000000004,6.92,7.29,6.53,0.7599999999999998,0.33999999999999986,6.59,6.75,6.41,0.33999999999999986,0.07000000000000028,6.69,6.9,6.51,0.39000000000000057,-0.020000000000000462,33216,122642,2184,120458,11653
2018-04-22,6.544,6.73,6.4,0.33000000000000007,-0.040000000000000036,6.63,6.89,6.48,0.40999999999999925,-0.3700000000000001,6.418,6.49,6.32,0.16999999999999993,0.040000000000000036,6.53,6.59,6.45,0.13999999999999968,-0.09999999999999964,2879,7399,314,7085,-2333
2018-04-29,6.478,6.56,6.44,0.11999999999999922,0.09999999999999964,6.614,6.68,6.53,0.14999999999999947,0.05999999999999961,6.428,6.47,6.4,0.0699999999999994,-0.05999999999999961,6.52,6.55,6.49,0.05999999999999961,0.02999999999999936,9357,13686,7728,5958,-16
2018-05-06,6.216,6.51,5.92,0.5899999999999999,-0.5899999999999999,6.392,6.75,6.07,0.6799999999999997,-0.6799999999999997,6.0200000000000005,6.36,5.53,0.8300000000000001,-0.8300000000000001,6.208,6.54,5.98,0.5599999999999996,-0.5599999999999996,27548,48611,12030,36581,-18030
2018-05-13,5.99,6.07,5.81,0.2600000000000007,-0.009999999999999787,6.216,6.31,6.14,0.16999999999999993,-0.16999999999999993,5.944,6.01,5.81,0.20000000000000018,0.020000000000000462,5.982,6.05,5.92,0.1299999999999999,0.0,12662,19326,7983,11343,-6211
2018-05-20,6.006,6.16,5.92,0.2400000000000002,0.10999999999999943,6.1819999999999995,6.34,6.04,0.2999999999999998,-0.28000000000000025,5.928,5.95,5.9,0.04999999999999982,-0.02999999999999936,5.966,6.0,5.93,0.07000000000000028,0.0600000000000005,8308,12663,5252,7411,-4662
2018-05-27,6.0,6.03,5.94,0.08999999999999986,0.05999999999999961,6.1225000000000005,6.19,6.05,0.14000000000000057,-0.04999999999999982,5.8774999999999995,5.97,5.65,0.3199999999999994,0.040000000000000036,6.0175,6.19,5.93,0.2600000000000007,0.0600000000000005,6857,9896,4374,5522,-1203
2018-06-03,6.018,6.16,5.91,0.25,0.16000000000000014,6.154,6.25,6.01,0.2400000000000002,0.2400000000000002,5.98,6.05,5.9,0.14999999999999947,0.14999999999999947,6.024,6.19,5.91,0.28000000000000025,0.28000000000000025,6595,11352,3377,7975,-149
2018-06-10,6.08,6.2,5.81,0.39000000000000057,-0.39000000000000057,6.262,6.47,6.04,0.4299999999999997,-0.17999999999999972,5.888,6.13,5.8,0.33000000000000007,0.0,6.064,6.16,6.0,0.16000000000000014,0.009999999999999787,46223,144050,13634,130416,-6480
2018-06-17,6.032,6.06,6.0,0.05999999999999961,0.0,6.102,6.18,6.03,0.14999999999999947,0.05999999999999961,5.94,6.01,5.86,0.14999999999999947,0.14999999999999947,6.024,6.11,6.0,0.11000000000000032,0.11000000000000032,20693,61902,5915,55987,6768
2018-06-24,6.114,6.14,6.07,0.0699999999999994,-0.0699999999999994,6.234,6.41,6.13,0.28000000000000025,0.1299999999999999,6.066,6.13,5.97,0.16000000000000014,0.08999999999999986,6.16,6.27,6.13,0.13999999999999968,0.0,8028,22492,349,22143,11282
2018-07-01,6.1025,6.25,6.02,0.23000000000000043,0.08000000000000007,6.325,6.45,6.25,0.20000000000000018,-0.1800000000000006,6.0275,6.06,6.0,0.05999999999999961,0.02999999999999936,6.145,6.18,6.13,0.04999999999999982,0.0,10322,19135,1126,18009,-10977
2018-07-08,6.140000000000001,6.17,6.11,0.05999999999999961,-0.019999999999999574,6.258,6.36,6.15,0.20999999999999996,0.019999999999999574,6.06,6.15,6.0,0.15000000000000036,0.15000000000000036,6.108,6.24,6.0,0.2400000000000002,0.2400000000000002,11026,29068,1134,27934,-27934
2018-07-15,6.13,6.25,6.0,0.25,-0.03000000000000025,6.272,6.44,6.15,0.29000000000000004,-0.09999999999999964,6.062,6.11,6.0,0.11000000000000032,-0.009999999999999787,6.118,6.19,6.01,0.1800000000000006,-0.16999999999999993,6497,19146,1910,17236,692
2018-07-22,6.066,6.1,6.0,0.09999999999999964,-0.009999999999999787,6.208,6.53,6.04,0.4900000000000002,-0.3600000000000003,5.99,6.09,5.78,0.3099999999999996,0.08000000000000007,6.106,6.16,6.04,0.1200000000000001,0.020000000000000462,8566,26411,175,26236,-25451
2018-07-29,6.05,6.3,5.6,0.7000000000000002,-0.4900000000000002,6.3020000000000005,6.61,5.98,0.6299999999999999,-0.6299999999999999,5.952,6.14,5.55,0.5899999999999999,-0.5,6.106,6.3,5.88,0.41999999999999993,-0.3700000000000001,10816,15803,4762,11041,-2592
2018-08-05,5.918,6.0,5.8,0.20000000000000018,-0.1900000000000004,5.96,6.05,5.9,0.14999999999999947,-0.14999999999999947,5.656,5.8,5.51,0.29000000000000004,0.09999999999999964,5.826,5.9,5.75,0.15000000000000036,0.10000000000000053,7729,15850,2734,13116,-13116
2018-08-12,5.798,6.2,5.53,0.6699999999999999,-0.33999999999999986,6.056,6.51,5.54,0.9699999999999998,-0.6200000000000001,5.602,5.77,5.5,0.2699999999999996,-0.2699999999999996,5.618,5.85,5.5,0.34999999999999964,-0.34999999999999964,5508,12945,1555,11390,-7704
2018-08-19,5.636,5.74,5.56,0.1800000000000006,0.1800000000000006,5.86,6.44,5.61,0.8300000000000001,0.6000000000000005,5.548,5.59,5.5,0.08999999999999986,0.040000000000000036,5.608,5.84,5.55,0.29000000000000004,0.29000000000000004,7799,13932,1590,12342,5214
2018-08-26,6.026,6.24,5.85,0.39000000000000057,0.16999999999999993,6.216,6.25,6.15,0.09999999999999964,0.040000000000000036,5.866,5.97,5.77,0.20000000000000018,0.14000000000000057,6.0360000000000005,6.2,5.79,0.41000000000000014,0.3200000000000003,7398,26537,663,25874,-979
2018-09-02,6.0475,6.24,5.9,0.33999999999999986,-0.11999999999999922,6.21,6.25,6.15,0.09999999999999964,-0.04999999999999982,5.8774999999999995,6.03,5.7,0.33000000000000007,-0.3199999999999994,5.975,6.2,5.7,0.5,-0.5,4175,10799,227,10572,9546
2018-09-09,5.6259999999999994,5.68,5.55,0.1299999999999999,-0.1299999999999999,5.816,5.93,5.67,0.2599999999999998,-0.14999999999999947,5.57,5.66,5.5,0.16000000000000014,-0.1200000000000001,5.64,5.8,5.54,0.2599999999999998,-0.1200000000000001,5141,12825,1827,10998,9331
2018-09-16,5.568,5.61,5.52,0.09000000000000075,0.0600000000000005,5.732,5.8,5.64,0.16000000000000014,0.0600000000000005,5.558,5.6,5.52,0.08000000000000007,0.04999999999999982,5.608,5.7,5.56,0.14000000000000057,0.10000000000000053,5785,16760,1604,15156,12683
2018-09-23,5.826,5.95,5.71,0.2400000000000002,-0.2400000000000002,5.828,5.95,5.71,0.2400000000000002,-0.2400000000000002,5.752,5.9,5.67,0.23000000000000043,0.040000000000000036,5.756,5.9,5.67,0.23000000000000043,0.040000000000000036,1638,4505,307,4198,3275
2018-09-30,5.78,5.88,5.72,0.16000000000000014,-0.04999999999999982,5.876,5.94,5.83,0.11000000000000032,-0.11000000000000032,5.71,5.72,5.7,0.019999999999999574,-0.009999999999999787,5.78,5.84,5.71,0.1299999999999999,0.1200000000000001,12067,32574,1443,31131,6288
2018-10-07,5.626,5.8,5.52,0.28000000000000025,-0.2699999999999996,5.752,5.8,5.72,0.08000000000000007,-0.05999999999999961,5.62,5.8,5.52,0.28000000000000025,-0.2699999999999996,5.642,5.8,5.54,0.2599999999999998,-0.21999999999999975,1826,3442,433,3009,1077
2018-10-14,5.46,5.6,5.2,0.39999999999999947,-0.04999999999999982,5.636,5.72,5.5,0.21999999999999975,-0.16999999999999993,5.34,5.52,5.18,0.33999999999999986,-0.11999999999999922,5.494,5.57,5.44,0.1299999999999999,-0.07999999999999918,65132,297364,2104,295260,9686
2018-10-21,5.314,5.64,5.06,0.5800000000000001,-0.3099999999999996,5.57,5.67,5.43,0.2400000000000002,0.0600000000000005,5.236,5.41,5.06,0.35000000000000053,-0.2999999999999998,5.544,5.65,5.43,0.22000000000000064,0.08999999999999986,3493,9805,1378,8427,-1655
2018-10-28,5.4079999999999995,5.65,5.27,0.3800000000000008,0.009999999999999787,5.57,5.65,5.41,0.2400000000000002,0.009999999999999787,5.326,5.53,5.25,0.28000000000000025,0.0,5.41,5.61,5.31,0.3000000000000007,-0.08999999999999986,5437,17995,827,17168,580
2018-11-04,5.832,6.22,5.3,0.9199999999999999,0.71,6.316,6.86,5.62,1.2400000000000002,1.2400000000000002,5.752,6.14,5.22,0.9199999999999999,0.79,6.006,6.45,5.31,1.1400000000000006,1.1400000000000006,14234,35168,2506,32662,-10340
2018-11-11,6.494,6.66,6.33,0.33000000000000007,0.04999999999999982,6.886,7.0,6.6,0.40000000000000036,-0.15000000000000036,6.085999999999999,6.3,5.76,0.54,0.08999999999999986,6.5040000000000004,7.0,6.25,0.75,-0.13999999999999968,12907,21107,4069,17038,7621
2018-11-18,6.3125,6.5,6.1,0.40000000000000036,-0.16999999999999993,6.4925,6.69,6.33,0.3600000000000003,0.2400000000000002,6.225,6.41,6.1,0.3100000000000005,0.08999999999999986,6.3025,6.42,6.15,0.2699999999999996,0.2699999999999996,5275,12485,235,12250,8845
2018-11-25,6.446,6.63,6.3,0.33000000000000007,0.010000000000000675,6.686,6.85,6.49,0.35999999999999943,0.10999999999999943,6.324,6.62,6.13,0.4900000000000002,0.13999999999999968,6.434,6.62,6.27,0.35000000000000053,0.0,5622,11683,1561,10122,6177
2018-12-02,6.3100000000000005,6.45,6.14,0.3100000000000005,-0.25,6.4375,6.59,6.29,0.2999999999999998,-0.16000000000000014,6.14,6.31,6.0,0.3099999999999996,-0.3099999999999996,6.2475000000000005,6.38,6.11,0.2699999999999996,-0.14000000000000057,8787,22239,642,21597,2124
2018-12-09,6.042,6.25,5.74,0.5099999999999998,-0.4500000000000002,6.112,6.28,6.0,0.28000000000000025,-0.25,5.946,6.08,5.74,0.33999999999999986,-0.33999999999999986,6.07,6.25,5.99,0.2599999999999998,-0.25,2595,4471,471,4000,2813
2018-12-16,6.232,6.81,5.72,1.0899999999999999,0.8099999999999996,6.772,6.99,6.41,0.5800000000000001,0.5599999999999996,5.944,6.28,5.72,0.5600000000000005,0.4500000000000002,6.234,6.71,5.79,0.9199999999999999,0.5599999999999996,14648,51924,2931,48993,-45151
2018-12-23,6.5,6.72,6.17,0.5499999999999998,0.33000000000000007,6.6975,6.84,6.5,0.33999999999999986,-0.33999999999999986,6.085,6.17,6.01,0.16000000000000014,-0.15000000000000036,6.2825,6.5,6.02,0.4800000000000004,-0.40000000000000036,9441,13540,1075,12465,3598
2018-12-30,5.8100000000000005,5.9,5.72,0.1800000000000006,0.020000000000000462,6.4750000000000005,6.82,6.28,0.54,-0.1200000000000001,5.7825,5.88,5.72,0.16000000000000014,0.0699999999999994,6.1725,6.44,5.94,0.5,0.25,5379,10405,1755,8650,-8650
2019-01-06,6.214,6.45,6.08,0.3700000000000001,0.019999999999999574,6.396,6.5,6.2,0.2999999999999998,0.20000000000000018,6.022,6.11,5.97,0.14000000000000057,-0.03000000000000025,6.212,6.39,6.11,0.27999999999999936,0.04999999999999982,12139,46008,2890,43118,27
2019-01-13,5.908,6.2,5.74,0.45999999999999996,-0.39000000000000057,6.078,6.44,5.89,0.5500000000000007,-0.45999999999999996,5.734,5.82,5.54,0.28000000000000025,-0.2400000000000002,5.826,5.99,5.72,0.27000000000000046,0.04999999999999982,5892,13187,1875,11312,-9605
2019-01-20,5.9325,6.25,5.8,0.4500000000000002,0.0,5.9575,6.25,5.84,0.41000000000000014,-0.04999999999999982,5.71,5.89,5.6,0.29000000000000004,-0.04999999999999982,5.8100000000000005,5.9,5.65,0.25,-0.1899999999999995,6141,19578,1095,18483,-18483
2019-01-27,5.402,5.52,5.24,0.27999999999999936,0.019999999999999574,5.552,5.64,5.47,0.16999999999999993,-0.16999999999999993,5.354,5.45,5.24,0.20999999999999996,-0.04999999999999982,5.496,5.57,5.4,0.16999999999999993,-0.16999999999999993,12924,57765,725,57040,-1120
2019-02-03,5.464,6.09,5.03,1.0599999999999996,1.0599999999999996,5.866,6.29,5.47,0.8200000000000003,0.6500000000000004,5.416,6.01,5.03,0.9799999999999995,0.9799999999999995,5.766,6.01,5.4,0.6099999999999994,0.5599999999999996,3552,8001,866,7135,-4566
2019-02-10,5.85,6.04,5.66,0.3799999999999999,-0.33999999999999986,5.904,6.04,5.71,0.33000000000000007,-0.20000000000000018,5.656,5.71,5.54,0.16999999999999993,-0.09999999999999964,5.754,5.84,5.54,0.2999999999999998,-0.2999999999999998,2145,3457,0,3457,-44
2019-02-17,5.515,5.7,5.34,0.3600000000000003,-0.20000000000000018,5.615,5.76,5.45,0.3099999999999996,0.02999999999999936,5.48,5.7,5.34,0.3600000000000003,-0.33999999999999986,5.555,5.73,5.45,0.28000000000000025,-0.21000000000000085,3441,10040,777,9263,9263
2019-02-24,5.516,5.7,5.25,0.4500000000000002,0.41000000000000014,5.676,5.79,5.56,0.23000000000000043,0.10000000000000053,5.272,5.45,5.06,0.39000000000000057,0.20000000000000018,5.476,5.7,5.06,0.6400000000000006,0.10000000000000053,5552,9044,3237,5807,-1257
2019-03-03,5.844,6.02,5.7,0.3199999999999994,0.09999999999999964,5.986,6.02,5.89,0.1299999999999999,0.1299999999999999,5.7,5.84,5.53,0.3099999999999996,-0.16999999999999993,5.826,5.92,5.73,0.1899999999999995,-0.08000000000000007,18619,78602,998,77604,76212
2019-03-10,5.704,5.88,5.46,0.41999999999999993,-0.019999999999999574,5.91,6.15,5.75,0.40000000000000036,-0.40000000000000036,5.514,5.57,5.45,0.1200000000000001,0.03000000000000025,5.688,6.0,5.45,0.5499999999999998,-0.20000000000000018,7476,27579,594,26985,-23442
2019-03-17,5.918,6.0,5.69,0.3099999999999996,0.22999999999999954,6.114,6.5,6.0,0.5,0.5,5.808,5.92,5.67,0.25,0.22999999999999954,6.0280000000000005,6.5,5.86,0.6399999999999997,0.5199999999999996,10935,21952,5221,16731,-3408
