Date,iShares 3-7 Year Treasury Bond_Open_average,iShares 3-7 Year Treasury Bond_Open_max,iShares 3-7 Year Treasury Bond_Open_volatility,iShares 3-7 Year Treasury Bond_Open_change,iShares 3-7 Year Treasury Bond_High_average,iShares 3-7 Year Treasury Bond_High_max,iShares 3-7 Year Treasury Bond_High_volatility,iShares 3-7 Year Treasury Bond_High_change,iShares 3-7 Year Treasury Bond_Low_average,iShares 3-7 Year Treasury Bond_Low_max,iShares 3-7 Year Treasury Bond_Low_volatility,iShares 3-7 Year Treasury Bond_Low_change,iShares 3-7 Year Treasury Bond_Close_average,iShares 3-7 Year Treasury Bond_Close_max,iShares 3-7 Year Treasury Bond_Close_volatility,iShares 3-7 Year Treasury Bond_Close_change
2016-01-03,123.56,123.56,0.0,0.0,123.81,123.81,0.0,0.0,123.51,123.51,0.0,0.0,123.65,123.65,0.0,0.0
2016-01-10,124.63,124.63,0.0,0.0,124.63,124.63,0.0,0.0,124.36,124.36,0.0,0.0,124.44,124.44,0.0,0.0
2016-01-17,124.41,124.41,0.0,0.0,124.52,124.52,0.0,0.0,124.34,124.34,0.0,0.0,124.48,124.48,0.0,0.0
2016-01-24,124.88,124.88,0.0,0.0,125.05,125.05,0.0,0.0,124.76,124.76,0.0,0.0,124.87,124.87,0.0,0.0
2016-01-31,125.84,125.84,0.0,0.0,126.1,126.1,0.0,0.0,125.78,125.78,0.0,0.0,126.03,126.03,0.0,0.0
2016-02-07,126.12,126.12,0.0,0.0,126.22,126.22,0.0,0.0,125.79,125.79,0.0,0.0,125.9,125.9,0.0,0.0
2016-02-14,125.67,125.67,0.0,0.0,125.75,125.75,0.0,0.0,125.59,125.59,0.0,0.0,125.71,125.71,0.0,0.0
2016-02-21,125.59,125.59,0.0,0.0,125.81,125.81,0.0,0.0,125.58,125.58,0.0,0.0,125.78,125.78,0.0,0.0
2016-02-28,124.69,124.69,0.0,0.0,124.69,124.69,0.0,0.0,124.52,124.52,0.0,0.0,124.6,124.6,0.0,0.0
2016-03-06,124.3,124.3,0.0,0.0,124.43,124.43,0.0,0.0,124.26,124.26,0.0,0.0,124.26,124.26,0.0,0.0
2016-03-13,124.95,124.95,0.0,0.0,125.01,125.01,0.0,0.0,124.87,124.87,0.0,0.0,124.87,124.87,0.0,0.0
