Date,ProShares UltraPro Dow30_Open_average,ProShares UltraPro Dow30_Open_max,ProShares UltraPro Dow30_Open_min,ProShares UltraPro Dow30_Open_volatility,ProShares UltraPro Dow30_Open_change,ProShares UltraPro Dow30_High_average,ProShares UltraPro Dow30_High_max,ProShares UltraPro Dow30_High_min,ProShares UltraPro Dow30_High_volatility,ProShares UltraPro Dow30_High_change,ProShares UltraPro Dow30_Low_average,ProShares UltraPro Dow30_Low_max,ProShares UltraPro Dow30_Low_min,ProShares UltraPro Dow30_Low_volatility,ProShares UltraPro Dow30_Low_change,ProShares UltraPro Dow30_Close_average,ProShares UltraPro Dow30_Close_max,ProShares UltraPro Dow30_Close_min,ProShares UltraPro Dow30_Close_volatility,ProShares UltraPro Dow30_Close_change
2018-01-14,109.01,109.01,109.01,0.0,0.0,111.84,111.84,111.84,0.0,0.0,108.84,108.84,108.84,0.0,0.0,111.84,111.84,111.84,0.0,0.0
2018-01-21,116.27,116.27,116.27,0.0,0.0,116.76,116.76,116.76,0.0,0.0,114.5,114.5,114.5,0.0,0.0,114.57,114.57,114.57,0.0,0.0
2018-01-28,98.99,98.99,98.99,0.0,0.0,102.6,102.6,102.6,0.0,0.0,82.5,82.5,82.5,0.0,0.0,88.25,88.25,88.25,0.0,0.0
2018-02-04,88.55,88.55,88.55,0.0,0.0,92.5,92.5,92.5,0.0,0.0,87.37,87.37,87.37,0.0,0.0,90.83,90.83,90.83,0.0,0.0
2018-02-11,97.01,97.01,97.01,0.0,0.0,100.4,100.4,100.4,0.0,0.0,96.97,96.97,96.97,0.0,0.0,97.8,97.8,97.8,0.0,0.0
2018-02-18,100.42,100.42,100.42,0.0,0.0,103.77,103.77,103.77,0.0,0.0,100.2,100.2,100.2,0.0,0.0,103.55,103.55,103.55,0.0,0.0
2018-02-25,88.28,88.28,88.28,0.0,0.0,94.53,94.53,94.53,0.0,0.0,88.24,88.24,88.24,0.0,0.0,93.63,93.63,93.63,0.0,0.0
2018-03-04,99.52,99.52,99.52,0.0,0.0,100.31,100.31,100.31,0.0,0.0,96.78,96.78,96.78,0.0,0.0,97.11,97.11,97.11,0.0,0.0
2018-03-11,93.0,93.0,93.0,0.0,0.0,93.25,93.25,93.25,0.0,0.0,88.75,88.75,88.75,0.0,0.0,90.63,90.63,90.63,0.0,0.0
2018-03-18,82.58,82.58,82.58,0.0,0.0,85.66,85.66,85.66,0.0,0.0,80.7,80.7,80.7,0.0,0.0,85.45,85.45,85.45,0.0,0.0
2018-03-25,83.69,83.69,83.69,0.0,0.0,84.28,84.28,84.28,0.0,0.0,76.16,76.16,76.16,0.0,0.0,79.23,79.23,79.23,0.0,0.0
2018-04-01,84.0,84.0,84.0,0.0,0.0,86.56,86.56,86.56,0.0,0.0,82.26,82.26,82.26,0.0,0.0,82.48,82.48,82.48,0.0,0.0
2018-04-08,88.06,88.06,88.06,0.0,0.0,89.6,89.6,89.6,0.0,0.0,87.55,87.55,87.55,0.0,0.0,88.49,88.49,88.49,0.0,0.0
2018-04-15,87.91,87.91,87.91,0.0,0.0,88.03,88.03,88.03,0.0,0.0,85.84,85.84,85.84,0.0,0.0,87.12,87.12,87.12,0.0,0.0
2018-04-22,86.62,86.62,86.62,0.0,0.0,87.45,87.45,87.45,0.0,0.0,83.99,83.99,83.99,0.0,0.0,83.99,83.99,83.99,0.0,0.0
2018-04-29,85.74,85.74,85.74,0.0,0.0,87.1,87.1,87.1,0.0,0.0,84.8,84.8,84.8,0.0,0.0,85.8,85.8,85.8,0.0,0.0
2018-05-06,92.15,92.15,92.15,0.0,0.0,93.01,93.01,93.01,0.0,0.0,91.51,91.51,91.51,0.0,0.0,92.0,92.0,92.0,0.0,0.0
