Date,ProShares UltraShort Dow30_Open_average,ProShares UltraShort Dow30_Open_max,ProShares UltraShort Dow30_Open_min,ProShares UltraShort Dow30_Open_volatility,ProShares UltraShort Dow30_Open_change,ProShares UltraShort Dow30_High_average,ProShares UltraShort Dow30_High_max,ProShares UltraShort Dow30_High_min,ProShares UltraShort Dow30_High_volatility,ProShares UltraShort Dow30_High_change,ProShares UltraShort Dow30_Low_average,ProShares UltraShort Dow30_Low_max,ProShares UltraShort Dow30_Low_min,ProShares UltraShort Dow30_Low_volatility,ProShares UltraShort Dow30_Low_change,ProShares UltraShort Dow30_Close_average,ProShares UltraShort Dow30_Close_max,ProShares UltraShort Dow30_Close_min,ProShares UltraShort Dow30_Close_volatility,ProShares UltraShort Dow30_Close_change
2018-01-14,31.52,31.52,31.52,0.0,0.0,31.56,31.56,31.56,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2018-01-21,30.16,30.16,30.16,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-01-28,33.36,33.36,33.36,0.0,0.0,36.68,36.68,36.68,0.0,0.0,32.62,32.62,32.62,0.0,0.0,35.68,35.68,35.68,0.0,0.0
2018-02-04,35.12,35.12,35.12,0.0,0.0,35.48,35.48,35.48,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.52,34.52,34.52,0.0,0.0
2018-02-11,32.96,32.96,32.96,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2018-02-18,32.12,32.12,32.12,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2018-02-25,34.88,34.88,34.88,0.0,0.0,34.92,34.92,34.92,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.52,33.52,33.52,0.0,0.0
2018-03-04,32.12,32.12,32.12,0.0,0.0,32.73,32.73,32.73,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2018-03-11,33.56,33.56,33.56,0.0,0.0,34.56,34.56,34.56,0.0,0.0,33.52,33.52,33.52,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2018-03-18,35.96,35.96,35.96,0.0,0.0,36.56,36.56,36.56,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.08,35.08,35.08,0.0,0.0
2018-03-25,35.56,35.56,35.56,0.0,0.0,37.61,37.61,37.61,0.0,0.0,35.32,35.32,35.32,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2018-04-01,35.16,35.16,35.16,0.0,0.0,35.68,35.68,35.68,0.0,0.0,34.4,34.4,34.4,0.0,0.0,35.6,35.6,35.6,0.0,0.0
2018-04-08,34.0,34.0,34.0,0.0,0.0,34.12,34.12,34.12,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2018-04-15,34.0,34.0,34.0,0.0,0.0,34.52,34.52,34.52,0.0,0.0,33.96,33.96,33.96,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2018-04-22,34.28,34.28,34.28,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.96,34.96,34.96,0.0,0.0
2018-04-29,34.4,34.4,34.4,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.12,34.12,34.12,0.0,0.0,34.44,34.44,34.44,0.0,0.0
2018-05-06,32.8,32.8,32.8,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.88,32.88,32.88,0.0,0.0
2018-05-13,32.68,32.68,32.68,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2018-05-20,33.18,33.18,33.18,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.01,33.01,33.01,0.0,0.0,33.21,33.21,33.21,0.0,0.0
2018-05-27,33.1,33.1,33.1,0.0,0.0,33.12,33.12,33.12,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2018-06-03,31.53,31.53,31.53,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-06-10,32.74,32.74,32.74,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2018-06-17,33.92,33.92,33.92,0.0,0.0,34.84,34.84,34.84,0.0,0.0,33.84,33.84,33.84,0.0,0.0,34.38,34.38,34.38,0.0,0.0
2018-06-24,34.85,34.85,34.85,0.0,0.0,34.91,34.91,34.91,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2018-07-01,33.49,33.49,33.49,0.0,0.0,33.5,33.5,33.5,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2018-07-08,32.28,32.28,32.28,0.0,0.0,32.41,32.41,32.41,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.19,32.19,32.19,0.0,0.0
2018-07-15,32.27,32.27,32.27,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-07-22,31.15,31.15,31.15,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2018-07-29,31.27,31.27,31.27,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.13,31.13,31.13,0.0,0.0
2018-08-05,31.5,31.5,31.5,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2018-08-12,30.45,30.45,30.45,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2018-08-19,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.73,29.73,29.73,0.0,0.0
