Date,CYTR_stock_Open_average,CYTR_stock_Open_max,CYTR_stock_Open_min,CYTR_stock_Open_volatility,CYTR_stock_Open_change,CYTR_stock_High_average,CYTR_stock_High_max,CYTR_stock_High_min,CYTR_stock_High_volatility,CYTR_stock_High_change,CYTR_stock_Low_average,CYTR_stock_Low_max,CYTR_stock_Low_min,CYTR_stock_Low_volatility,CYTR_stock_Low_change,CYTR_stock_Close_average,CYTR_stock_Close_max,CYTR_stock_Close_min,CYTR_stock_Close_volatility,CYTR_stock_Close_change,CYTR_stock_Volume_average,CYTR_stock_Volume_max,CYTR_stock_Volume_min,CYTR_stock_Volume_volatility,CYTR_stock_Volume_change
2018-01-14,1.8275000000000001,1.91,1.78,0.1299999999999999,-0.10999999999999988,1.835,1.91,1.8,0.10999999999999988,-0.10999999999999988,1.75,1.76,1.73,0.030000000000000027,-0.010000000000000009,1.78,1.8,1.76,0.040000000000000036,-0.010000000000000009,235040,347074,147939,199135,49877
2018-01-21,1.958,2.1,1.79,0.31000000000000005,0.29000000000000004,2.144,2.35,1.85,0.5,0.31000000000000005,1.894,1.98,1.76,0.21999999999999997,0.21999999999999997,2.042,2.27,1.83,0.43999999999999995,0.19999999999999973,984536,2931698,147008,2784690,317560
2018-01-28,1.8920000000000001,2.04,1.8,0.24,-0.24,1.972,2.09,1.87,0.21999999999999975,-0.21999999999999975,1.8142,1.921,1.75,0.17100000000000004,-0.17100000000000004,1.852,1.95,1.77,0.17999999999999994,-0.17999999999999994,320909,516377,192020,324357,-129813
2018-02-04,1.72,1.76,1.69,0.07000000000000006,-0.07000000000000006,1.7758,1.82,1.709,0.11099999999999999,-0.11099999999999999,1.656,1.72,1.5,0.21999999999999997,-0.19999999999999996,1.71,1.75,1.66,0.09000000000000008,-0.07000000000000006,368826,577989,94093,483896,111111
2018-02-11,1.624,1.67,1.56,0.10999999999999988,-0.09999999999999987,1.6743999999999999,1.72,1.619,0.10099999999999998,-0.10099999999999998,1.578,1.65,1.51,0.1399999999999999,-0.1399999999999999,1.608,1.69,1.54,0.1499999999999999,-0.1499999999999999,198119,204427,192498,11929,-7041
2018-02-18,1.585,1.64,1.52,0.11999999999999988,0.08000000000000007,1.63975,1.66,1.6,0.05999999999999983,-0.04999999999999982,1.54,1.56,1.52,0.040000000000000036,0.030000000000000027,1.5975000000000001,1.63,1.57,0.05999999999999983,-0.029999999999999805,127996,184997,64712,120285,-85375
2018-02-25,1.564,1.6,1.53,0.07000000000000006,-0.07000000000000006,1.6252,1.675,1.58,0.09499999999999997,0.04500000000000015,1.529,1.55,1.51,0.040000000000000036,-0.03500000000000014,1.578,1.66,1.54,0.11999999999999988,0.08999999999999986,219344,328138,124621,203517,86711
2018-03-04,1.71,1.8,1.66,0.14000000000000012,0.13000000000000012,1.742,1.8,1.68,0.1200000000000001,0.1100000000000001,1.668,1.75,1.6,0.1499999999999999,0.1200000000000001,1.716,1.79,1.64,0.15000000000000013,0.15000000000000013,166780,382398,75514,306884,-74285
2018-03-11,1.8739999999999999,1.98,1.77,0.20999999999999996,0.10999999999999988,2.012,2.18,1.88,0.30000000000000027,0.30000000000000027,1.8234000000000001,1.87,1.767,0.1030000000000002,0.1030000000000002,1.956,2.11,1.84,0.2699999999999998,0.2699999999999998,480997,1248693,97209,1151484,1046523
2018-03-18,1.81,2.06,1.67,0.3900000000000001,-0.3900000000000001,1.828,2.1,1.68,0.42000000000000015,-0.42000000000000015,1.678,1.71,1.62,0.08999999999999986,-0.08999999999999986,1.714,1.79,1.63,0.16000000000000014,-0.16000000000000014,450353,1444291,187114,1257177,-1245654
2018-03-25,1.645,1.71,1.6,0.10999999999999988,-0.05999999999999983,1.6775,1.74,1.62,0.11999999999999988,-0.11999999999999988,1.585,1.62,1.55,0.07000000000000006,-0.050000000000000044,1.6325,1.72,1.59,0.1299999999999999,-0.1299999999999999,127585,152285,72662,79623,-79623
2018-04-01,1.542,1.59,1.45,0.14000000000000012,0.0,1.58,1.6,1.51,0.09000000000000008,0.010000000000000009,1.4702,1.52,1.43,0.09000000000000008,0.07000000000000006,1.536,1.59,1.46,0.13000000000000012,0.06000000000000005,189356,420540,60504,360036,-318303
