Date,Reverse Cap Weighted U.S. Large Cap_Open_average,Reverse Cap Weighted U.S. Large Cap_Open_max,Reverse Cap Weighted U.S. Large Cap_Open_min,Reverse Cap Weighted U.S. Large Cap_Open_volatility,Reverse Cap Weighted U.S. Large Cap_Open_change,Reverse Cap Weighted U.S. Large Cap_High_average,Reverse Cap Weighted U.S. Large Cap_High_max,Reverse Cap Weighted U.S. Large Cap_High_min,Reverse Cap Weighted U.S. Large Cap_High_volatility,Reverse Cap Weighted U.S. Large Cap_High_change,Reverse Cap Weighted U.S. Large Cap_Low_average,Reverse Cap Weighted U.S. Large Cap_Low_max,Reverse Cap Weighted U.S. Large Cap_Low_min,Reverse Cap Weighted U.S. Large Cap_Low_volatility,Reverse Cap Weighted U.S. Large Cap_Low_change,Reverse Cap Weighted U.S. Large Cap_Close_average,Reverse Cap Weighted U.S. Large Cap_Close_max,Reverse Cap Weighted U.S. Large Cap_Close_min,Reverse Cap Weighted U.S. Large Cap_Close_volatility,Reverse Cap Weighted U.S. Large Cap_Close_change
2018-01-14,16.48,16.48,16.48,0.0,0.0,16.48,16.48,16.48,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.47,16.47,16.47,0.0,0.0
2018-01-21,16.71,16.71,16.71,0.0,0.0,16.74,16.74,16.74,0.0,0.0,16.7,16.7,16.7,0.0,0.0,16.71,16.71,16.71,0.0,0.0
2018-01-28,16.07,16.07,16.07,0.0,0.0,16.07,16.07,16.07,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.43,15.43,15.43,0.0,0.0
2018-02-04,15.37,15.37,15.37,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.48,15.48,15.48,0.0,0.0
2018-02-11,15.95,15.95,15.95,0.0,0.0,16.02,16.02,16.02,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.97,15.97,15.97,0.0,0.0
2018-02-18,15.99,15.99,15.99,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.99,15.99,15.99,0.0,0.0,16.0,16.0,16.0,0.0,0.0
2018-02-25,15.61,15.61,15.61,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.61,15.61,15.61,0.0,0.0,15.86,15.86,15.86,0.0,0.0
2018-03-04,16.27,16.27,16.27,0.0,0.0,16.27,16.27,16.27,0.0,0.0,16.12,16.12,16.12,0.0,0.0,16.12,16.12,16.12,0.0,0.0
2018-03-11,15.88,15.88,15.88,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.72,15.72,15.72,0.0,0.0,15.72,15.72,15.72,0.0,0.0
2018-03-18,15.44,15.44,15.44,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.51,15.51,15.51,0.0,0.0
2018-03-25,15.82,15.82,15.82,0.0,0.0,15.82,15.82,15.82,0.0,0.0,15.14,15.14,15.14,0.0,0.0,15.18,15.18,15.18,0.0,0.0
2018-04-01,15.44,15.44,15.44,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.51,15.51,15.51,0.0,0.0
2018-04-08,15.67,15.67,15.67,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.64,15.64,15.64,0.0,0.0,15.75,15.75,15.75,0.0,0.0
2018-04-15,15.67,15.67,15.67,0.0,0.0,15.67,15.67,15.67,0.0,0.0,15.64,15.64,15.64,0.0,0.0,15.66,15.66,15.66,0.0,0.0
2018-04-22,15.87,15.87,15.87,0.0,0.0,15.87,15.87,15.87,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.74,15.74,15.74,0.0,0.0
2018-04-29,15.67,15.67,15.67,0.0,0.0,15.69,15.69,15.69,0.0,0.0,15.67,15.67,15.67,0.0,0.0,15.67,15.67,15.67,0.0,0.0
2018-05-06,15.93,15.93,15.93,0.0,0.0,15.95,15.95,15.95,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.95,15.95,15.95,0.0,0.0
2018-05-13,16.1,16.1,16.1,0.0,0.0,16.1,16.1,16.1,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.04,16.04,16.04,0.0,0.0
2018-05-20,16.0,16.0,16.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.98,15.98,15.98,0.0,0.0,15.99,15.99,15.99,0.0,0.0
2018-05-27,16.19,16.19,16.19,0.0,0.0,16.19,16.19,16.19,0.0,0.0,16.07,16.07,16.07,0.0,0.0,16.07,16.07,16.07,0.0,0.0
2018-06-03,16.43,16.43,16.43,0.0,0.0,16.44,16.44,16.44,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.43,16.43,16.43,0.0,0.0
2018-06-10,16.43,16.43,16.43,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.43,16.43,16.43,0.0,0.0
2018-06-17,16.37,16.37,16.37,0.0,0.0,16.37,16.37,16.37,0.0,0.0,16.23,16.23,16.23,0.0,0.0,16.24,16.24,16.24,0.0,0.0
2018-06-24,16.04,16.04,16.04,0.0,0.0,16.04,16.04,16.04,0.0,0.0,16.04,16.04,16.04,0.0,0.0,16.04,16.04,16.04,0.0,0.0
2018-07-01,16.48,16.48,16.48,0.0,0.0,16.48,16.48,16.48,0.0,0.0,16.48,16.48,16.48,0.0,0.0,16.48,16.48,16.48,0.0,0.0
2018-07-08,16.39,16.39,16.39,0.0,0.0,16.45,16.45,16.45,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.4,16.4,16.4,0.0,0.0
2018-07-15,16.46,16.46,16.46,0.0,0.0,16.48,16.48,16.48,0.0,0.0,16.42,16.42,16.42,0.0,0.0,16.48,16.48,16.48,0.0,0.0
2018-07-22,16.57,16.57,16.57,0.0,0.0,16.59,16.59,16.59,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.5,16.5,16.5,0.0,0.0
2018-07-29,16.72,16.72,16.72,0.0,0.0,16.72,16.72,16.72,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.69,16.69,16.69,0.0,0.0
2018-08-05,16.54,16.54,16.54,0.0,0.0,16.54,16.54,16.54,0.0,0.0,16.48,16.48,16.48,0.0,0.0,16.48,16.48,16.48,0.0,0.0
2018-08-12,16.65,16.65,16.65,0.0,0.0,16.81,16.81,16.81,0.0,0.0,16.65,16.65,16.65,0.0,0.0,16.81,16.81,16.81,0.0,0.0
2018-08-19,16.9,16.9,16.9,0.0,0.0,16.93,16.93,16.93,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.92,16.92,16.92,0.0,0.0
2018-08-26,16.87,16.87,16.87,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.84,16.84,16.84,0.0,0.0,16.85,16.85,16.85,0.0,0.0
2018-09-02,16.87,16.87,16.87,0.0,0.0,16.87,16.87,16.87,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.85,16.85,16.85,0.0,0.0
2018-09-09,17.02,17.02,17.02,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.02,17.02,17.02,0.0,0.0
2018-09-16,17.09,17.09,17.09,0.0,0.0,17.09,17.09,17.09,0.0,0.0,16.94,16.94,16.94,0.0,0.0,16.95,16.95,16.95,0.0,0.0
2018-09-23,16.9,16.9,16.9,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.9,16.9,16.9,0.0,0.0
2018-09-30,16.57,16.57,16.57,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.61,16.61,16.61,0.0,0.0
2018-10-07,15.85,15.85,15.85,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.92,15.92,15.92,0.0,0.0
2018-10-14,15.84,15.84,15.84,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.84,15.84,15.84,0.0,0.0
2018-10-21,15.39,15.39,15.39,0.0,0.0,15.39,15.39,15.39,0.0,0.0,15.15,15.15,15.15,0.0,0.0,15.15,15.15,15.15,0.0,0.0
2018-10-28,15.92,15.92,15.92,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.89,15.89,15.89,0.0,0.0
2018-11-04,16.18,16.18,16.18,0.0,0.0,16.18,16.18,16.18,0.0,0.0,15.97,15.97,15.97,0.0,0.0,15.97,15.97,15.97,0.0,0.0
2018-11-11,15.98,15.98,15.98,0.0,0.0,15.98,15.98,15.98,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.78,15.78,15.78,0.0,0.0
2018-11-18,15.74,15.74,15.74,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.74,15.74,15.74,0.0,0.0
2018-11-25,16.27,16.27,16.27,0.0,0.0,16.3,16.3,16.3,0.0,0.0,16.27,16.27,16.27,0.0,0.0,16.3,16.3,16.3,0.0,0.0
2018-12-02,15.38,15.38,15.38,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.22,15.22,15.22,0.0,0.0,15.3,15.3,15.3,0.0,0.0
2018-12-09,14.89,14.89,14.89,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.66,14.66,14.66,0.0,0.0
2018-12-16,13.69,13.69,13.69,0.0,0.0,13.73,13.73,13.73,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.59,13.59,13.59,0.0,0.0
2018-12-23,14.21,14.21,14.21,0.0,0.0,14.21,14.21,14.21,0.0,0.0,14.06,14.06,14.06,0.0,0.0,14.11,14.11,14.11,0.0,0.0
2018-12-30,14.51,14.51,14.51,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.66,14.66,14.66,0.0,0.0
2019-01-06,14.96,14.96,14.96,0.0,0.0,15.05,15.05,15.05,0.0,0.0,14.96,14.96,14.96,0.0,0.0,15.01,15.01,15.01,0.0,0.0
2019-01-13,15.43,15.43,15.43,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.42,15.42,15.42,0.0,0.0,15.51,15.51,15.51,0.0,0.0
2019-01-20,15.45,15.45,15.45,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.51,15.51,15.51,0.0,0.0
2019-01-27,15.74,15.74,15.74,0.0,0.0,15.87,15.87,15.87,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.87,15.87,15.87,0.0,0.0
2019-02-03,15.9,15.9,15.9,0.0,0.0,15.94,15.94,15.94,0.0,0.0,15.88,15.88,15.88,0.0,0.0,15.94,15.94,15.94,0.0,0.0
2019-02-10,16.32,16.32,16.32,0.0,0.0,16.36,16.36,16.36,0.0,0.0,16.32,16.32,16.32,0.0,0.0,16.36,16.36,16.36,0.0,0.0
2019-02-17,16.6,16.6,16.6,0.0,0.0,16.62,16.62,16.62,0.0,0.0,16.53,16.53,16.53,0.0,0.0,16.53,16.53,16.53,0.0,0.0
2019-02-24,16.6,16.6,16.6,0.0,0.0,16.62,16.62,16.62,0.0,0.0,16.35,16.35,16.35,0.0,0.0,16.47,16.47,16.47,0.0,0.0
2019-03-03,16.13,16.13,16.13,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.13,16.13,16.13,0.0,0.0,16.25,16.25,16.25,0.0,0.0
2019-03-10,16.47,16.47,16.47,0.0,0.0,16.49,16.49,16.49,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.48,16.48,16.48,0.0,0.0
2019-03-17,16.14,16.14,16.14,0.0,0.0,16.18,16.18,16.18,0.0,0.0,16.1,16.1,16.1,0.0,0.0,16.16,16.16,16.16,0.0,0.0
2019-03-24,16.61,16.61,16.61,0.0,0.0,16.72,16.72,16.72,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.71,16.71,16.71,0.0,0.0
2019-03-31,16.93,16.93,16.93,0.0,0.0,16.96,16.96,16.96,0.0,0.0,16.92,16.92,16.92,0.0,0.0,16.96,16.96,16.96,0.0,0.0
2019-04-07,17.14,17.14,17.14,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.01,17.01,17.01,0.0,0.0,17.01,17.01,17.01,0.0,0.0
2019-04-14,16.93,16.93,16.93,0.0,0.0,16.93,16.93,16.93,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.87,16.87,16.87,0.0,0.0
2019-04-21,17.01,17.01,17.01,0.0,0.0,17.05,17.05,17.05,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.01,17.01,17.01,0.0,0.0
2019-04-28,16.82,16.82,16.82,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.9,16.9,16.9,0.0,0.0
2019-05-05,16.53,16.53,16.53,0.0,0.0,16.53,16.53,16.53,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.21,16.21,16.21,0.0,0.0
2019-05-12,16.39,16.39,16.39,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.23,16.23,16.23,0.0,0.0,16.26,16.26,16.26,0.0,0.0
2019-05-19,16.22,16.22,16.22,0.0,0.0,16.22,16.22,16.22,0.0,0.0,16.1,16.1,16.1,0.0,0.0,16.12,16.12,16.12,0.0,0.0
2019-05-26,15.56,15.56,15.56,0.0,0.0,15.76,15.76,15.76,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.76,15.76,15.76,0.0,0.0
2019-06-02,16.57,16.57,16.57,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.45,16.45,16.45,0.0,0.0,16.45,16.45,16.45,0.0,0.0
2019-06-09,16.44,16.44,16.44,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.44,16.44,16.44,0.0,0.0,16.45,16.45,16.45,0.0,0.0
2019-06-16,16.73,16.73,16.73,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.66,16.66,16.66,0.0,0.0
2019-06-23,17.1,17.1,17.1,0.0,0.0,17.1,17.1,17.1,0.0,0.0,16.95,16.95,16.95,0.0,0.0,16.96,16.96,16.96,0.0,0.0
2019-06-30,16.96,16.96,16.96,0.0,0.0,17.06,17.06,17.06,0.0,0.0,16.96,16.96,16.96,0.0,0.0,16.98,16.98,16.98,0.0,0.0
2019-07-07,17.1,17.1,17.1,0.0,0.0,17.1,17.1,17.1,0.0,0.0,17.04,17.04,17.04,0.0,0.0,17.06,17.06,17.06,0.0,0.0
2019-07-14,16.96,16.96,16.96,0.0,0.0,16.96,16.96,16.96,0.0,0.0,16.84,16.84,16.84,0.0,0.0,16.85,16.85,16.85,0.0,0.0
2019-07-21,17.19,17.19,17.19,0.0,0.0,17.19,17.19,17.19,0.0,0.0,17.01,17.01,17.01,0.0,0.0,17.05,17.05,17.05,0.0,0.0
2019-07-28,16.4,16.4,16.4,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.0,16.0,16.0,0.0,0.0,16.03,16.03,16.03,0.0,0.0
2019-08-04,16.15,16.15,16.15,0.0,0.0,16.15,16.15,16.15,0.0,0.0,15.99,15.99,15.99,0.0,0.0,16.01,16.01,16.01,0.0,0.0
2019-08-11,15.99,15.99,15.99,0.0,0.0,16.07,16.07,16.07,0.0,0.0,15.99,15.99,15.99,0.0,0.0,16.05,16.05,16.05,0.0,0.0
2019-08-18,15.73,15.73,15.73,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.61,15.61,15.61,0.0,0.0,15.66,15.66,15.66,0.0,0.0
2019-08-25,16.07,16.07,16.07,0.0,0.0,16.07,16.07,16.07,0.0,0.0,16.0,16.0,16.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0
2019-09-01,16.49,16.49,16.49,0.0,0.0,16.64,16.64,16.64,0.0,0.0,16.49,16.49,16.49,0.0,0.0,16.64,16.64,16.64,0.0,0.0
2019-09-08,17.03,17.03,17.03,0.0,0.0,17.07,17.07,17.07,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.05,17.05,17.05,0.0,0.0
2019-09-15,16.68,16.68,16.68,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.68,16.68,16.68,0.0,0.0,16.79,16.79,16.79,0.0,0.0
2019-09-22,16.73,16.73,16.73,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.75,16.75,16.75,0.0,0.0
2019-09-29,16.33,16.33,16.33,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.31,16.31,16.31,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2019-10-06,16.39,16.39,16.39,0.0,0.0,16.48,16.48,16.48,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.48,16.48,16.48,0.0,0.0
2019-10-13,16.76,16.76,16.76,0.0,0.0,16.81,16.81,16.81,0.0,0.0,16.76,16.76,16.76,0.0,0.0,16.77,16.77,16.77,0.0,0.0
