Date,FOR_Open_average,FOR_Open_max,FOR_Open_min,FOR_Open_volatility,FOR_Open_change,FOR_High_average,FOR_High_max,FOR_High_min,FOR_High_volatility,FOR_High_change,FOR_Low_average,FOR_Low_max,FOR_Low_min,FOR_Low_volatility,FOR_Low_change,FOR_Close_average,FOR_Close_max,FOR_Close_min,FOR_Close_volatility,FOR_Close_change,FOR_Volume_average,FOR_Volume_max,FOR_Volume_min,FOR_Volume_volatility,FOR_Volume_change
2018-01-14,21.6,21.95,21.0,0.9499999999999993,0.5,21.97,22.0,21.9,0.10000000000000142,0.10000000000000142,21.39,21.75,20.95,0.8000000000000007,0.8000000000000007,21.709999999999997,21.9,20.95,0.9499999999999993,0.9499999999999993,79777,93365,62793,30572,-29212
2018-01-21,21.87,21.9,21.8,0.09999999999999787,0.04999999999999716,22.08,22.4,21.95,0.4499999999999993,0.29999999999999716,21.69,21.8,21.5,0.3000000000000007,0.15000000000000213,21.94,22.15,21.85,0.29999999999999716,0.29999999999999716,226461,695288,104727,590561,590561
2018-01-28,24.09,26.1,22.1,4.0,3.3999999999999986,25.038,26.39,22.45,3.9400000000000013,3.150000000000002,23.66,25.45,21.9,3.5500000000000007,2.8000000000000007,24.7,26.35,22.35,4.0,2.4499999999999993,251512,364100,175254,188846,72353
2018-02-04,24.48,24.6,24.3,0.3000000000000007,-0.09999999999999787,24.776,25.15,24.35,0.7999999999999972,-0.5999999999999979,24.136,24.38,23.8,0.5799999999999983,-0.5299999999999976,24.48,24.65,24.25,0.3999999999999986,-0.29999999999999716,161828,235416,117114,118302,-107487
2018-02-11,24.5125,24.8,24.25,0.5500000000000007,0.20000000000000284,24.9,25.3,24.55,0.75,0.75,24.2625,24.55,24.05,0.5,0.5,24.7875,25.2,24.5,0.6999999999999993,0.6999999999999993,86790,129784,70965,58819,-1333
2018-02-18,25.18,25.3,25.05,0.25,-0.05000000000000071,25.509999999999998,25.7,25.2,0.5,0.29999999999999716,25.046,25.18,24.95,0.23000000000000043,-0.05000000000000071,25.22,25.5,25.05,0.4499999999999993,0.3000000000000007,77279,155690,45144,110546,-21893
2018-02-25,24.61,25.5,23.65,1.8500000000000014,-1.8500000000000014,24.876,25.85,24.15,1.7000000000000028,-1.4700000000000024,24.22,25.35,23.65,1.7000000000000028,-1.7000000000000028,24.400000000000002,25.35,23.85,1.5,-1.3500000000000014,120591,157803,79700,78103,61506
2018-03-04,23.78,24.1,23.4,0.7000000000000028,-0.3500000000000014,23.956,24.18,23.85,0.3299999999999983,-0.28000000000000114,23.46,23.55,23.35,0.1999999999999993,0.15000000000000213,23.68,23.9,23.55,0.34999999999999787,0.14999999999999858,139597,195677,96420,99257,-27612
2018-03-11,23.25,23.65,22.75,0.8999999999999986,-0.8999999999999986,23.484,23.9,23.05,0.8499999999999979,-0.5499999999999972,22.97,23.5,22.5,1.0,-1.0,23.02,23.6,22.5,1.1000000000000014,-1.1000000000000014,132557,190874,91019,99855,85392
2018-03-18,22.03,22.55,21.65,0.9000000000000021,-0.9000000000000021,22.414,22.8,22.07,0.7300000000000004,-0.7300000000000004,21.76,22.05,21.45,0.6000000000000014,-0.6000000000000014,21.94,22.3,21.5,0.8000000000000007,-0.15000000000000213,87991,123306,57230,66076,-66076
2018-03-25,21.6375,22.0,21.15,0.8500000000000014,-0.8500000000000014,21.9325,22.3,21.48,0.8200000000000003,-0.8200000000000003,21.1075,21.7,20.1,1.5999999999999979,-1.5999999999999979,21.2,21.8,20.25,1.5500000000000007,-1.5500000000000007,88398,114982,64834,50148,12146
2018-04-01,21.25,22.35,20.35,2.0,1.3499999999999979,21.87,22.7,20.7,2.0,1.0500000000000007,20.87,21.55,19.95,1.6000000000000014,1.1000000000000014,21.44,22.55,20.65,1.9000000000000021,0.40000000000000213,124641,142256,104372,37884,-28830
2018-04-08,21.75,22.2,21.3,0.8999999999999986,0.8999999999999986,22.16,22.6,21.85,0.75,0.75,21.694,22.07,21.25,0.8200000000000003,0.8200000000000003,21.97,22.5,21.65,0.8500000000000014,0.8500000000000014,66712,78271,53083,25188,-5172
2018-04-15,22.540000000000003,22.6,22.35,0.25,0.05000000000000071,22.894000000000002,23.35,22.75,0.6000000000000014,0.6000000000000014,22.4,22.45,22.35,0.09999999999999787,-0.05000000000000071,22.63,23.0,22.4,0.6000000000000014,0.5,84035,130690,48982,81708,56460
2018-04-22,22.96,23.15,22.25,0.8999999999999986,-0.8999999999999986,23.104,23.3,22.45,0.8500000000000014,-0.8000000000000007,22.55,23.05,21.8,1.25,-1.1499999999999986,22.669999999999998,23.15,21.8,1.3499999999999979,-1.3499999999999979,78868,106294,49732,56562,-19760
2018-04-29,22.16,22.4,21.7,0.6999999999999993,0.6999999999999993,22.55,22.75,22.35,0.3999999999999986,0.3999999999999986,22.08,22.4,21.7,0.6999999999999993,0.6999999999999993,22.419999999999998,22.7,22.2,0.5,0.5,91559,250547,45618,204929,-204929
2018-05-06,22.740000000000002,23.05,22.35,0.6999999999999993,-0.3999999999999986,22.88,23.1,22.4,0.7000000000000028,-0.7000000000000028,22.37,22.65,21.9,0.75,-0.75,22.580000000000002,23.05,21.95,1.1000000000000014,-1.1000000000000014,61089,71765,41626,30139,-1897
