Date,iShares MSCI EAFE Growth_Open_average,iShares MSCI EAFE Growth_Open_max,iShares MSCI EAFE Growth_Open_min,iShares MSCI EAFE Growth_Open_volatility,iShares MSCI EAFE Growth_Open_change,iShares MSCI EAFE Growth_High_average,iShares MSCI EAFE Growth_High_max,iShares MSCI EAFE Growth_High_min,iShares MSCI EAFE Growth_High_volatility,iShares MSCI EAFE Growth_High_change,iShares MSCI EAFE Growth_Low_average,iShares MSCI EAFE Growth_Low_max,iShares MSCI EAFE Growth_Low_min,iShares MSCI EAFE Growth_Low_volatility,iShares MSCI EAFE Growth_Low_change,iShares MSCI EAFE Growth_Close_average,iShares MSCI EAFE Growth_Close_max,iShares MSCI EAFE Growth_Close_min,iShares MSCI EAFE Growth_Close_volatility,iShares MSCI EAFE Growth_Close_change
2018-01-14,84.62,84.62,84.62,0.0,0.0,84.95,84.95,84.95,0.0,0.0,84.55,84.55,84.55,0.0,0.0,84.93,84.93,84.93,0.0,0.0
2018-01-21,85.1,85.1,85.1,0.0,0.0,85.21,85.21,85.21,0.0,0.0,84.76,84.76,84.76,0.0,0.0,84.85,84.85,84.85,0.0,0.0
2018-01-28,81.76,81.76,81.76,0.0,0.0,81.83,81.83,81.83,0.0,0.0,78.81,78.81,78.81,0.0,0.0,78.99,78.99,78.99,0.0,0.0
2018-02-04,78.62,78.62,78.62,0.0,0.0,79.46,79.46,79.46,0.0,0.0,78.53,78.53,78.53,0.0,0.0,79.31,79.31,79.31,0.0,0.0
2018-02-11,81.51,81.51,81.51,0.0,0.0,82.06,82.06,82.06,0.0,0.0,81.47,81.47,81.47,0.0,0.0,81.71,81.71,81.71,0.0,0.0
2018-02-18,82.09,82.09,82.09,0.0,0.0,82.43,82.43,82.43,0.0,0.0,81.74,81.74,81.74,0.0,0.0,82.37,82.37,82.37,0.0,0.0
2018-02-25,79.09,79.09,79.09,0.0,0.0,80.11,80.11,80.11,0.0,0.0,79.08,79.08,79.08,0.0,0.0,79.98,79.98,79.98,0.0,0.0
2018-03-04,81.75,81.75,81.75,0.0,0.0,81.85,81.85,81.85,0.0,0.0,81.56,81.56,81.56,0.0,0.0,81.76,81.76,81.76,0.0,0.0
2018-03-11,81.06,81.06,81.06,0.0,0.0,81.06,81.06,81.06,0.0,0.0,80.26,80.26,80.26,0.0,0.0,80.69,80.69,80.69,0.0,0.0
2018-03-18,79.58,79.58,79.58,0.0,0.0,79.74,79.74,79.74,0.0,0.0,78.83,78.83,78.83,0.0,0.0,79.64,79.64,79.64,0.0,0.0
2018-03-25,80.07,80.07,80.07,0.0,0.0,80.23,80.23,80.23,0.0,0.0,78.7,78.7,78.7,0.0,0.0,79.16,79.16,79.16,0.0,0.0
2018-04-01,80.55,80.55,80.55,0.0,0.0,80.97,80.97,80.97,0.0,0.0,80.26,80.26,80.26,0.0,0.0,80.49,80.49,80.49,0.0,0.0
2018-04-08,81.38,81.38,81.38,0.0,0.0,81.44,81.44,81.44,0.0,0.0,81.09,81.09,81.09,0.0,0.0,81.21,81.21,81.21,0.0,0.0
2018-04-15,80.97,80.97,80.97,0.0,0.0,81.04,81.04,81.04,0.0,0.0,80.61,80.61,80.61,0.0,0.0,80.81,80.81,80.81,0.0,0.0
2018-04-22,81.05,81.05,81.05,0.0,0.0,81.25,81.25,81.25,0.0,0.0,80.76,80.76,80.76,0.0,0.0,80.84,80.84,80.84,0.0,0.0
2018-04-29,81.25,81.25,81.25,0.0,0.0,81.48,81.48,81.48,0.0,0.0,81.15,81.15,81.15,0.0,0.0,81.36,81.36,81.36,0.0,0.0
2018-05-06,82.69,82.69,82.69,0.0,0.0,82.72,82.72,82.72,0.0,0.0,82.36,82.36,82.36,0.0,0.0,82.48,82.48,82.48,0.0,0.0
2018-05-13,82.67,82.67,82.67,0.0,0.0,82.68,82.68,82.68,0.0,0.0,82.44,82.44,82.44,0.0,0.0,82.68,82.68,82.68,0.0,0.0
2018-05-20,81.33,81.33,81.33,0.0,0.0,81.56,81.56,81.56,0.0,0.0,81.24,81.24,81.24,0.0,0.0,81.45,81.45,81.45,0.0,0.0
2018-05-27,82.01,82.01,82.01,0.0,0.0,82.05,82.05,82.05,0.0,0.0,81.57,81.57,81.57,0.0,0.0,81.66,81.66,81.66,0.0,0.0
2018-06-03,82.58,82.58,82.58,0.0,0.0,82.88,82.88,82.88,0.0,0.0,82.44,82.44,82.44,0.0,0.0,82.76,82.76,82.76,0.0,0.0
2018-06-10,81.14,81.14,81.14,0.0,0.0,81.38,81.38,81.38,0.0,0.0,80.95,80.95,80.95,0.0,0.0,81.36,81.36,81.36,0.0,0.0
2018-06-17,79.42,79.42,79.42,0.0,0.0,79.42,79.42,79.42,0.0,0.0,78.55,78.55,78.55,0.0,0.0,78.69,78.69,78.69,0.0,0.0
2018-06-24,77.62,77.62,77.62,0.0,0.0,78.1,78.1,78.1,0.0,0.0,77.58,77.58,77.58,0.0,0.0,78.05,78.05,78.05,0.0,0.0
2018-07-01,79.75,79.75,79.75,0.0,0.0,79.94,79.94,79.94,0.0,0.0,79.6,79.6,79.6,0.0,0.0,79.86,79.86,79.86,0.0,0.0
