Date,iShares MSCI Argentina and Global Exposure_Open_average,iShares MSCI Argentina and Global Exposure_Open_max,iShares MSCI Argentina and Global Exposure_Open_min,iShares MSCI Argentina and Global Exposure_Open_volatility,iShares MSCI Argentina and Global Exposure_Open_change,iShares MSCI Argentina and Global Exposure_High_average,iShares MSCI Argentina and Global Exposure_High_max,iShares MSCI Argentina and Global Exposure_High_min,iShares MSCI Argentina and Global Exposure_High_volatility,iShares MSCI Argentina and Global Exposure_High_change,iShares MSCI Argentina and Global Exposure_Low_average,iShares MSCI Argentina and Global Exposure_Low_max,iShares MSCI Argentina and Global Exposure_Low_min,iShares MSCI Argentina and Global Exposure_Low_volatility,iShares MSCI Argentina and Global Exposure_Low_change,iShares MSCI Argentina and Global Exposure_Close_average,iShares MSCI Argentina and Global Exposure_Close_max,iShares MSCI Argentina and Global Exposure_Close_min,iShares MSCI Argentina and Global Exposure_Close_volatility,iShares MSCI Argentina and Global Exposure_Close_change
2018-01-14,32.28,32.28,32.28,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2018-01-21,32.52,32.52,32.52,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2018-01-28,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.06,31.06,31.06,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-02-04,29.59,29.59,29.59,0.0,0.0,29.61,29.61,29.61,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.81,28.81,28.81,0.0,0.0
2018-02-11,31.32,31.32,31.32,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.74,31.74,31.74,0.0,0.0
2018-02-18,31.78,31.78,31.78,0.0,0.0,32.01,32.01,32.01,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.99,31.99,31.99,0.0,0.0
2018-02-25,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2018-03-04,32.42,32.42,32.42,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2018-03-11,31.72,31.72,31.72,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2018-03-18,30.19,30.19,30.19,0.0,0.0,30.39,30.39,30.39,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2018-03-25,30.14,30.14,30.14,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2018-04-01,30.45,30.45,30.45,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2018-04-08,30.42,30.42,30.42,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2018-04-15,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-04-22,29.67,29.67,29.67,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2018-04-29,28.14,28.14,28.14,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.03,28.03,28.03,0.0,0.0
2018-05-06,27.75,27.75,27.75,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2018-05-13,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.95,26.95,26.95,0.0,0.0
2018-05-20,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0
2018-05-27,25.54,25.54,25.54,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2018-06-03,26.18,26.18,26.18,0.0,0.0,26.33,26.33,26.33,0.0,0.0,25.95,25.95,25.95,0.0,0.0,26.32,26.32,26.32,0.0,0.0
2018-06-10,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.82,24.82,24.82,0.0,0.0
2018-06-17,24.79,24.79,24.79,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.85,24.85,24.85,0.0,0.0
2018-06-24,23.36,23.36,23.36,0.0,0.0,23.38,23.38,23.38,0.0,0.0,22.81,22.81,22.81,0.0,0.0,22.87,22.87,22.87,0.0,0.0
2018-07-01,23.89,23.89,23.89,0.0,0.0,23.91,23.91,23.91,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.91,23.91,23.91,0.0,0.0
2018-07-08,24.14,24.14,24.14,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.19,24.19,24.19,0.0,0.0
2018-07-15,25.31,25.31,25.31,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2018-07-22,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2018-07-29,24.56,24.56,24.56,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.81,24.81,24.81,0.0,0.0
2018-08-05,24.1,24.1,24.1,0.0,0.0,24.1,24.1,24.1,0.0,0.0,23.81,23.81,23.81,0.0,0.0,23.81,23.81,23.81,0.0,0.0
2018-08-12,22.62,22.62,22.62,0.0,0.0,22.62,22.62,22.62,0.0,0.0,22.19,22.19,22.19,0.0,0.0,22.28,22.28,22.28,0.0,0.0
2018-08-19,23.21,23.21,23.21,0.0,0.0,23.21,23.21,23.21,0.0,0.0,23.14,23.14,23.14,0.0,0.0,23.14,23.14,23.14,0.0,0.0
2018-08-26,21.17,21.17,21.17,0.0,0.0,22.09,22.09,22.09,0.0,0.0,21.17,21.17,21.17,0.0,0.0,22.09,22.09,22.09,0.0,0.0
2018-09-02,21.64,21.64,21.64,0.0,0.0,21.93,21.93,21.93,0.0,0.0,21.64,21.64,21.64,0.0,0.0,21.67,21.67,21.67,0.0,0.0
2018-09-09,21.4,21.4,21.4,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.27,21.27,21.27,0.0,0.0,21.41,21.41,21.41,0.0,0.0
2018-09-16,23.37,23.37,23.37,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.27,23.27,23.27,0.0,0.0,23.39,23.39,23.39,0.0,0.0
2018-09-23,22.7,22.7,22.7,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.45,22.45,22.45,0.0,0.0,22.51,22.51,22.51,0.0,0.0
2018-09-30,22.17,22.17,22.17,0.0,0.0,22.44,22.44,22.44,0.0,0.0,21.93,21.93,21.93,0.0,0.0,21.97,21.97,21.97,0.0,0.0
2018-10-07,21.23,21.23,21.23,0.0,0.0,21.23,21.23,21.23,0.0,0.0,21.01,21.01,21.01,0.0,0.0,21.22,21.22,21.22,0.0,0.0
2018-10-14,21.0,21.0,21.0,0.0,0.0,21.04,21.04,21.04,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.98,20.98,20.98,0.0,0.0
2018-10-21,20.2,20.2,20.2,0.0,0.0,20.68,20.68,20.68,0.0,0.0,20.17,20.17,20.17,0.0,0.0,20.68,20.68,20.68,0.0,0.0
2018-10-28,22.9,22.9,22.9,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.75,22.75,22.75,0.0,0.0,22.75,22.75,22.75,0.0,0.0
2018-11-04,21.85,21.85,21.85,0.0,0.0,21.85,21.85,21.85,0.0,0.0,21.85,21.85,21.85,0.0,0.0,21.85,21.85,21.85,0.0,0.0
2018-11-11,21.88,21.88,21.88,0.0,0.0,22.08,22.08,22.08,0.0,0.0,21.88,21.88,21.88,0.0,0.0,22.08,22.08,22.08,0.0,0.0
2018-11-18,21.27,21.27,21.27,0.0,0.0,21.27,21.27,21.27,0.0,0.0,21.27,21.27,21.27,0.0,0.0,21.27,21.27,21.27,0.0,0.0
2018-11-25,21.81,21.81,21.81,0.0,0.0,21.81,21.81,21.81,0.0,0.0,21.73,21.73,21.73,0.0,0.0,21.73,21.73,21.73,0.0,0.0
2018-12-02,21.61,21.61,21.61,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.42,21.42,21.42,0.0,0.0
