Date,ALXN_stock_Open_average,ALXN_stock_Open_max,ALXN_stock_Open_min,ALXN_stock_Open_volatility,ALXN_stock_Open_change,ALXN_stock_High_average,ALXN_stock_High_max,ALXN_stock_High_min,ALXN_stock_High_volatility,ALXN_stock_High_change,ALXN_stock_Low_average,ALXN_stock_Low_max,ALXN_stock_Low_min,ALXN_stock_Low_volatility,ALXN_stock_Low_change,ALXN_stock_Close_average,ALXN_stock_Close_max,ALXN_stock_Close_min,ALXN_stock_Close_volatility,ALXN_stock_Close_change,ALXN_stock_Volume_average,ALXN_stock_Volume_max,ALXN_stock_Volume_min,ALXN_stock_Volume_volatility,ALXN_stock_Volume_change
2018-01-14,122.8925,125.54,120.6,4.940000000000012,-2.4000000000000057,123.9375,126.06,121.72,4.340000000000003,-4.340000000000003,121.255,123.0,120.04,2.9599999999999937,-2.6200000000000045,122.0,124.48,120.35,4.13000000000001,-3.430000000000007,2376469,4154584,1477282,2677302,-2355520
2018-01-21,124.432,126.04,121.24,4.800000000000011,4.329999999999998,126.812,129.15,124.03,5.1200000000000045,4.240000000000009,123.31400000000001,125.4,120.59,4.810000000000002,4.810000000000002,125.462,128.09,123.67,4.420000000000002,4.420000000000002,1415932,1658218,954565,703653,79301
2018-01-28,122.346,127.33,117.42,9.909999999999997,-9.909999999999997,123.236,128.44,117.98,10.459999999999994,-10.459999999999994,120.054,126.25,115.62,10.629999999999995,-10.629999999999995,120.542,126.79,116.15,10.64,-10.64,1828930,2706959,1259876,1447083,129350
2018-02-04,113.446,117.26,109.06,8.200000000000003,-8.200000000000003,116.542,119.12,110.99,8.13000000000001,-7.6200000000000045,109.824,113.59,104.95,8.64,-7.75,112.37,117.15,108.47,8.680000000000007,-4.1200000000000045,2724884,3744416,2050656,1693760,988556
2018-02-11,116.53,123.07,109.56,13.509999999999991,13.009999999999991,120.722,125.3,115.36,9.939999999999998,7.189999999999998,114.914,120.66,109.52,11.14,9.719999999999999,119.156,123.2,113.97,9.230000000000004,5.039999999999992,2947423,3898513,2426517,1471996,1238886
2018-02-18,118.10249999999999,119.46,115.78,3.6799999999999926,-3.6799999999999926,119.87,122.11,118.26,3.8499999999999943,-3.1200000000000045,116.03,118.47,114.09,4.3799999999999955,-3.950000000000003,117.3675,118.93,114.59,4.340000000000003,0.0800000000000125,1801379,2022817,1555206,467611,-207661
2018-02-25,118.016,120.72,114.71,6.010000000000005,-5.27000000000001,119.98,122.31,117.15,5.159999999999997,-3.0200000000000102,116.666,119.12,113.88,5.240000000000009,-5.240000000000009,118.03,121.33,115.11,6.219999999999999,-3.4099999999999966,1553653,1957376,1261786,695590,81940
2018-03-04,118.974,121.39,116.76,4.6299999999999955,4.6299999999999955,121.274,126.06,118.63,7.430000000000007,5.530000000000001,117.9,121.27,116.39,4.8799999999999955,4.509999999999991,120.34,125.68,118.13,7.550000000000011,6.180000000000007,1573401,2663872,1134327,1529545,1321928
2018-03-11,128.002,137.09,122.08,15.010000000000005,2.559999999999988,129.492,137.88,123.2,14.679999999999993,3.259999999999991,123.19200000000001,126.23,119.9,6.329999999999998,1.1300000000000097,124.884,127.08,121.08,6.0,-0.3299999999999983,4030822,11142063,1209710,9932353,3184359
2018-03-18,119.926,125.38,114.16,11.219999999999999,-11.219999999999999,120.466,125.99,114.79,11.199999999999989,-11.199999999999989,116.342,120.52,110.37,10.149999999999991,-10.149999999999991,117.032,122.03,110.79,11.239999999999995,-11.239999999999995,2293599,2822307,1901427,920880,686574
