Date,LCII_stock_Open_average,LCII_stock_Open_max,LCII_stock_Open_min,LCII_stock_Open_volatility,LCII_stock_Open_change,LCII_stock_High_average,LCII_stock_High_max,LCII_stock_High_min,LCII_stock_High_volatility,LCII_stock_High_change,LCII_stock_Low_average,LCII_stock_Low_max,LCII_stock_Low_min,LCII_stock_Low_volatility,LCII_stock_Low_change,LCII_stock_Close_average,LCII_stock_Close_max,LCII_stock_Close_min,LCII_stock_Close_volatility,LCII_stock_Close_change,LCII_stock_Volume_average,LCII_stock_Volume_max,LCII_stock_Volume_min,LCII_stock_Volume_volatility,LCII_stock_Volume_change
2018-01-14,126.5125,128.35,124.65,3.6999999999999886,-1.0499999999999972,128.175,128.55,127.8,0.7500000000000142,0.20000000000000284,124.6625,125.65,123.6,2.0500000000000114,1.8500000000000085,126.075,128.0,123.65,4.349999999999994,2.9499999999999886,141745,231853,96339,135514,9248
2018-01-21,125.55,129.4,118.6,10.800000000000011,-7.700000000000003,127.33,131.5,121.0,10.5,-6.049999999999997,122.316,127.52,110.21,17.310000000000002,-14.290000000000006,124.25,128.3,115.35,12.950000000000017,-10.850000000000009,170650,457197,70355,386842,385109
2018-01-28,112.05,115.15,107.3,7.8500000000000085,-7.8500000000000085,113.566,117.75,107.8,9.950000000000003,-9.950000000000003,109.78,113.85,104.3,9.549999999999997,-9.549999999999997,110.34,114.65,104.8,9.850000000000009,-9.100000000000009,206283,237912,159268,78644,-19610
2018-02-04,107.86,111.5,103.4,8.099999999999994,7.200000000000003,112.03,115.95,109.15,6.799999999999997,6.799999999999997,106.07000000000001,108.9,103.4,5.5,5.200000000000003,109.94,114.7,104.7,10.0,10.0,304827,404964,225506,179458,38522
2018-02-11,116.48,118.75,114.75,4.0,2.6000000000000085,118.12,119.35,116.55,2.799999999999997,0.9000000000000057,114.02,116.4,112.45,3.950000000000003,1.0,116.67,118.65,113.75,4.900000000000006,-3.200000000000003,174055,217501,124517,92984,9164
2018-02-18,112.9125,114.1,111.65,2.4499999999999886,-1.4000000000000057,114.1625,115.5,112.5,3.0,-1.0999999999999943,111.3025,111.91,110.75,1.1599999999999966,-0.20999999999999375,112.625,114.35,111.15,3.1999999999999886,0.7999999999999972,173510,207400,115536,91864,-91864
2018-02-25,111.41,117.65,105.25,12.400000000000006,-9.150000000000006,112.856,118.4,106.05,12.350000000000009,-12.280000000000001,107.67,110.95,103.4,7.549999999999997,-6.599999999999994,109.91,117.4,105.75,11.650000000000006,-11.650000000000006,288932,417039,203266,213773,213773
2018-03-04,109.44,111.7,105.75,5.950000000000003,4.299999999999997,111.87,112.0,111.5,0.5,-0.5,107.83,109.95,105.6,4.3500000000000085,3.3800000000000097,110.38,111.35,109.15,2.1999999999999886,2.1999999999999886,166615,271472,115474,155998,-155998
2018-03-11,110.46,111.65,107.95,3.700000000000003,-3.5999999999999943,111.60000000000001,112.9,110.5,2.4000000000000057,-2.4000000000000057,108.886,110.3,107.1,3.200000000000003,-2.3499999999999943,109.88,110.8,108.1,2.700000000000003,-0.45000000000000284,146218,282348,96647,185701,155219
2018-03-18,107.68,110.1,104.0,6.099999999999994,-6.099999999999994,108.494,110.65,105.45,5.200000000000003,-5.200000000000003,104.862,107.5,100.11,7.390000000000001,-7.090000000000003,105.9,109.0,100.95,8.049999999999997,-7.299999999999997,147341,197594,114425,83169,67342
