Date,Direxion Daily MSCI India Bull 3X Shares_etf_Open_average,Direxion Daily MSCI India Bull 3X Shares_etf_Open_max,Direxion Daily MSCI India Bull 3X Shares_etf_Open_min,Direxion Daily MSCI India Bull 3X Shares_etf_Open_volatility,Direxion Daily MSCI India Bull 3X Shares_etf_Open_change,Direxion Daily MSCI India Bull 3X Shares_etf_High_average,Direxion Daily MSCI India Bull 3X Shares_etf_High_max,Direxion Daily MSCI India Bull 3X Shares_etf_High_min,Direxion Daily MSCI India Bull 3X Shares_etf_High_volatility,Direxion Daily MSCI India Bull 3X Shares_etf_High_change,Direxion Daily MSCI India Bull 3X Shares_etf_Low_average,Direxion Daily MSCI India Bull 3X Shares_etf_Low_max,Direxion Daily MSCI India Bull 3X Shares_etf_Low_min,Direxion Daily MSCI India Bull 3X Shares_etf_Low_volatility,Direxion Daily MSCI India Bull 3X Shares_etf_Low_change,Direxion Daily MSCI India Bull 3X Shares_etf_Close_average,Direxion Daily MSCI India Bull 3X Shares_etf_Close_max,Direxion Daily MSCI India Bull 3X Shares_etf_Close_min,Direxion Daily MSCI India Bull 3X Shares_etf_Close_volatility,Direxion Daily MSCI India Bull 3X Shares_etf_Close_change
2018-01-14,112.65,112.65,112.65,0.0,0.0,113.61,113.61,113.61,0.0,0.0,112.01,112.01,112.01,0.0,0.0,113.61,113.61,113.61,0.0,0.0
2018-01-21,117.07,117.07,117.07,0.0,0.0,118.7,118.7,118.7,0.0,0.0,117.0,117.0,117.0,0.0,0.0,118.65,118.65,118.65,0.0,0.0
2018-01-28,101.01,101.01,101.01,0.0,0.0,101.22,101.22,101.22,0.0,0.0,95.11,95.11,95.11,0.0,0.0,95.29,95.29,95.29,0.0,0.0
2018-02-04,92.33,92.33,92.33,0.0,0.0,94.17,94.17,94.17,0.0,0.0,86.59,86.59,86.59,0.0,0.0,93.25,93.25,93.25,0.0,0.0
2018-02-11,90.83,90.83,90.83,0.0,0.0,93.85,93.85,93.85,0.0,0.0,90.24,90.24,90.24,0.0,0.0,92.16,92.16,92.16,0.0,0.0
2018-02-18,90.9,90.9,90.9,0.0,0.0,92.82,92.82,92.82,0.0,0.0,90.52,90.52,90.52,0.0,0.0,92.82,92.82,92.82,0.0,0.0
2018-02-25,83.21,83.21,83.21,0.0,0.0,85.84,85.84,85.84,0.0,0.0,81.62,81.62,81.62,0.0,0.0,85.67,85.67,85.67,0.0,0.0
2018-03-04,82.45,82.45,82.45,0.0,0.0,86.05,86.05,86.05,0.0,0.0,82.45,82.45,82.45,0.0,0.0,86.05,86.05,86.05,0.0,0.0
2018-03-11,83.81,83.81,83.81,0.0,0.0,83.85,83.85,83.85,0.0,0.0,81.6,81.6,81.6,0.0,0.0,81.83,81.83,81.83,0.0,0.0
2018-03-18,77.8,77.8,77.8,0.0,0.0,78.4,78.4,78.4,0.0,0.0,74.54,74.54,74.54,0.0,0.0,74.56,74.56,74.56,0.0,0.0
2018-03-25,79.36,79.36,79.36,0.0,0.0,82.32,82.32,82.32,0.0,0.0,79.24,79.24,79.24,0.0,0.0,81.9,81.9,81.9,0.0,0.0
2018-04-01,86.02,86.02,86.02,0.0,0.0,86.45,86.45,86.45,0.0,0.0,82.44,82.44,82.44,0.0,0.0,82.88,82.88,82.88,0.0,0.0
2018-04-08,87.11,87.11,87.11,0.0,0.0,87.64,87.64,87.64,0.0,0.0,85.55,85.55,85.55,0.0,0.0,86.05,86.05,86.05,0.0,0.0
2018-04-15,85.29,85.29,85.29,0.0,0.0,85.29,85.29,85.29,0.0,0.0,83.24,83.24,83.24,0.0,0.0,84.05,84.05,84.05,0.0,0.0
2018-04-22,86.58,86.58,86.58,0.0,0.0,87.75,87.75,87.75,0.0,0.0,86.51,86.51,86.51,0.0,0.0,87.49,87.49,87.49,0.0,0.0
2018-04-29,81.4,81.4,81.4,0.0,0.0,83.12,83.12,83.12,0.0,0.0,80.79,80.79,80.79,0.0,0.0,82.26,82.26,82.26,0.0,0.0
2018-05-06,82.98,82.98,82.98,0.0,0.0,83.04,83.04,83.04,0.0,0.0,81.1,81.1,81.1,0.0,0.0,81.63,81.63,81.63,0.0,0.0
2018-05-13,73.29,73.29,73.29,0.0,0.0,73.29,73.29,73.29,0.0,0.0,72.05,72.05,72.05,0.0,0.0,72.94,72.94,72.94,0.0,0.0
2018-05-20,74.71,74.71,74.71,0.0,0.0,75.91,75.91,75.91,0.0,0.0,74.63,74.63,74.63,0.0,0.0,75.77,75.77,75.77,0.0,0.0
2018-05-27,77.28,77.28,77.28,0.0,0.0,78.1,78.1,78.1,0.0,0.0,77.08,77.08,77.08,0.0,0.0,77.97,77.97,77.97,0.0,0.0
2018-06-03,77.5,77.5,77.5,0.0,0.0,78.66,78.66,78.66,0.0,0.0,77.41,77.41,77.41,0.0,0.0,78.24,78.24,78.24,0.0,0.0
2018-06-10,76.7,76.7,76.7,0.0,0.0,77.27,77.27,77.27,0.0,0.0,75.81,75.81,75.81,0.0,0.0,77.17,77.17,77.17,0.0,0.0
2018-06-17,77.92,77.92,77.92,0.0,0.0,78.55,78.55,78.55,0.0,0.0,77.25,77.25,77.25,0.0,0.0,77.3,77.3,77.3,0.0,0.0
2018-06-24,72.36,72.36,72.36,0.0,0.0,73.92,73.92,73.92,0.0,0.0,72.31,72.31,72.31,0.0,0.0,73.82,73.82,73.82,0.0,0.0
2018-07-01,73.14,73.14,73.14,0.0,0.0,74.62,74.62,74.62,0.0,0.0,72.97,72.97,72.97,0.0,0.0,74.04,74.04,74.04,0.0,0.0
2018-07-08,79.9,79.9,79.9,0.0,0.0,79.9,79.9,79.9,0.0,0.0,78.92,78.92,78.92,0.0,0.0,79.34,79.34,79.34,0.0,0.0
2018-07-15,77.94,77.94,77.94,0.0,0.0,78.91,78.91,78.91,0.0,0.0,77.83,77.83,77.83,0.0,0.0,78.72,78.72,78.72,0.0,0.0
2018-07-22,85.22,85.22,85.22,0.0,0.0,86.87,86.87,86.87,0.0,0.0,85.0,85.0,85.0,0.0,0.0,86.25,86.25,86.25,0.0,0.0
2018-07-29,89.0,89.0,89.0,0.0,0.0,90.54,90.54,90.54,0.0,0.0,89.0,89.0,89.0,0.0,0.0,90.54,90.54,90.54,0.0,0.0
2018-08-05,88.83,88.83,88.83,0.0,0.0,88.83,88.83,88.83,0.0,0.0,86.54,86.54,86.54,0.0,0.0,86.94,86.94,86.94,0.0,0.0
2018-08-12,84.0,84.0,84.0,0.0,0.0,87.1,87.1,87.1,0.0,0.0,84.0,84.0,84.0,0.0,0.0,87.05,87.05,87.05,0.0,0.0
2018-08-19,89.3,89.3,89.3,0.0,0.0,90.8,90.8,90.8,0.0,0.0,89.3,89.3,89.3,0.0,0.0,90.8,90.8,90.8,0.0,0.0
2018-08-26,87.79,87.79,87.79,0.0,0.0,89.37,89.37,89.37,0.0,0.0,87.25,87.25,87.25,0.0,0.0,88.91,88.91,88.91,0.0,0.0
2018-09-02,82.25,82.25,82.25,0.0,0.0,82.74,82.74,82.74,0.0,0.0,80.64,80.64,80.64,0.0,0.0,80.79,80.79,80.79,0.0,0.0
2018-09-09,81.47,81.47,81.47,0.0,0.0,81.63,81.63,81.63,0.0,0.0,79.84,79.84,79.84,0.0,0.0,80.28,80.28,80.28,0.0,0.0
2018-09-16,72.0,72.0,72.0,0.0,0.0,73.16,73.16,73.16,0.0,0.0,70.71,70.71,70.71,0.0,0.0,72.95,72.95,72.95,0.0,0.0
2018-09-23,66.23,66.23,66.23,0.0,0.0,66.77,66.77,66.77,0.0,0.0,65.33,65.33,65.33,0.0,0.0,65.93,65.93,65.93,0.0,0.0
2018-09-30,51.25,51.25,51.25,0.0,0.0,51.25,51.25,51.25,0.0,0.0,48.72,48.72,48.72,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2018-10-07,54.0,54.0,54.0,0.0,0.0,54.67,54.67,54.67,0.0,0.0,52.82,52.82,52.82,0.0,0.0,54.37,54.37,54.37,0.0,0.0
2018-10-14,50.95,50.95,50.95,0.0,0.0,51.14,51.14,51.14,0.0,0.0,49.6,49.6,49.6,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2018-10-21,46.37,46.37,46.37,0.0,0.0,48.04,48.04,48.04,0.0,0.0,45.45,45.45,45.45,0.0,0.0,47.29,47.29,47.29,0.0,0.0
2018-10-28,56.8,56.8,56.8,0.0,0.0,58.15,58.15,58.15,0.0,0.0,55.27,55.27,55.27,0.0,0.0,56.77,56.77,56.77,0.0,0.0
2018-11-04,58.05,58.05,58.05,0.0,0.0,58.05,58.05,58.05,0.0,0.0,56.39,56.39,56.39,0.0,0.0,56.83,56.83,56.83,0.0,0.0
2018-11-11,60.74,60.74,60.74,0.0,0.0,62.85,62.85,62.85,0.0,0.0,60.29,60.29,60.29,0.0,0.0,62.29,62.29,62.29,0.0,0.0
2018-11-18,61.3,61.3,61.3,0.0,0.0,61.69,61.69,61.69,0.0,0.0,61.07,61.07,61.07,0.0,0.0,61.08,61.08,61.08,0.0,0.0
2018-11-25,68.89,68.89,68.89,0.0,0.0,69.19,69.19,69.19,0.0,0.0,67.93,67.93,67.93,0.0,0.0,68.25,68.25,68.25,0.0,0.0
2018-12-02,61.23,61.23,61.23,0.0,0.0,61.6,61.6,61.6,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.19,58.19,58.19,0.0,0.0
2018-12-09,60.02,60.02,60.02,0.0,0.0,61.72,61.72,61.72,0.0,0.0,60.02,60.02,60.02,0.0,0.0,60.57,60.57,60.57,0.0,0.0
2018-12-16,64.89,64.89,64.89,0.0,0.0,65.99,65.99,65.99,0.0,0.0,63.2,63.2,63.2,0.0,0.0,63.2,63.2,63.2,0.0,0.0
2018-12-23,66.73,66.73,66.73,0.0,0.0,68.34,68.34,68.34,0.0,0.0,65.93,65.93,65.93,0.0,0.0,67.79,67.79,67.79,0.0,0.0
2018-12-30,62.77,62.77,62.77,0.0,0.0,66.75,66.75,66.75,0.0,0.0,62.77,62.77,62.77,0.0,0.0,66.52,66.52,66.52,0.0,0.0
2019-01-06,62.55,62.55,62.55,0.0,0.0,63.8,63.8,63.8,0.0,0.0,62.26,62.26,62.26,0.0,0.0,63.62,63.62,63.62,0.0,0.0
2019-01-13,63.51,63.51,63.51,0.0,0.0,63.94,63.94,63.94,0.0,0.0,63.25,63.25,63.25,0.0,0.0,63.58,63.58,63.58,0.0,0.0
2019-01-20,62.39,62.39,62.39,0.0,0.0,62.98,62.98,62.98,0.0,0.0,61.9,61.9,61.9,0.0,0.0,62.82,62.82,62.82,0.0,0.0
2019-01-27,62.62,62.62,62.62,0.0,0.0,62.69,62.69,62.69,0.0,0.0,61.3,61.3,61.3,0.0,0.0,61.41,61.41,61.41,0.0,0.0
2019-02-03,62.41,62.41,62.41,0.0,0.0,63.11,63.11,63.11,0.0,0.0,61.65,61.65,61.65,0.0,0.0,62.34,62.34,62.34,0.0,0.0
2019-02-10,58.63,58.63,58.63,0.0,0.0,58.93,58.93,58.93,0.0,0.0,57.75,57.75,57.75,0.0,0.0,58.02,58.02,58.02,0.0,0.0
2019-02-17,59.94,59.94,59.94,0.0,0.0,60.8,60.8,60.8,0.0,0.0,59.92,59.92,59.92,0.0,0.0,60.43,60.43,60.43,0.0,0.0
2019-02-24,62.62,62.62,62.62,0.0,0.0,62.75,62.75,62.75,0.0,0.0,61.28,61.28,61.28,0.0,0.0,61.29,61.29,61.29,0.0,0.0
2019-03-03,65.79,65.79,65.79,0.0,0.0,66.15,66.15,66.15,0.0,0.0,65.17,65.17,65.17,0.0,0.0,65.75,65.75,65.75,0.0,0.0
