Date,Vanguard Small-Cap Value_Open_average,Vanguard Small-Cap Value_Open_max,Vanguard Small-Cap Value_Open_min,Vanguard Small-Cap Value_Open_volatility,Vanguard Small-Cap Value_Open_change,Vanguard Small-Cap Value_High_average,Vanguard Small-Cap Value_High_max,Vanguard Small-Cap Value_High_min,Vanguard Small-Cap Value_High_volatility,Vanguard Small-Cap Value_High_change,Vanguard Small-Cap Value_Low_average,Vanguard Small-Cap Value_Low_max,Vanguard Small-Cap Value_Low_min,Vanguard Small-Cap Value_Low_volatility,Vanguard Small-Cap Value_Low_change,Vanguard Small-Cap Value_Close_average,Vanguard Small-Cap Value_Close_max,Vanguard Small-Cap Value_Close_min,Vanguard Small-Cap Value_Close_volatility,Vanguard Small-Cap Value_Close_change
2018-01-14,137.42,137.42,137.42,0.0,0.0,138.05,138.05,138.05,0.0,0.0,137.11,137.11,137.11,0.0,0.0,138.05,138.05,138.05,0.0,0.0
2018-01-21,137.86,137.86,137.86,0.0,0.0,138.2,138.2,138.2,0.0,0.0,137.16,137.16,137.16,0.0,0.0,137.22,137.22,137.22,0.0,0.0
2018-01-28,131.6,131.6,131.6,0.0,0.0,132.6,132.6,132.6,0.0,0.0,127.76,127.76,127.76,0.0,0.0,127.76,127.76,127.76,0.0,0.0
2018-02-04,126.86,126.86,126.86,0.0,0.0,128.49,128.49,128.49,0.0,0.0,125.87,125.87,125.87,0.0,0.0,127.82,127.82,127.82,0.0,0.0
2018-02-11,130.97,130.97,130.97,0.0,0.0,132.48,132.48,132.48,0.0,0.0,130.97,130.97,130.97,0.0,0.0,131.67,131.67,131.67,0.0,0.0
2018-02-18,132.25,132.25,132.25,0.0,0.0,132.76,132.76,132.76,0.0,0.0,131.28,131.28,131.28,0.0,0.0,132.59,132.59,132.59,0.0,0.0
2018-02-25,129.21,129.21,129.21,0.0,0.0,131.4,131.4,131.4,0.0,0.0,129.2,129.2,129.2,0.0,0.0,131.01,131.01,131.01,0.0,0.0
2018-03-04,134.5,134.5,134.5,0.0,0.0,135.0,135.0,135.0,0.0,0.0,134.17,134.17,134.17,0.0,0.0,134.57,134.57,134.57,0.0,0.0
2018-03-11,133.31,133.31,133.31,0.0,0.0,133.35,133.35,133.35,0.0,0.0,131.31,131.31,131.31,0.0,0.0,132.43,132.43,132.43,0.0,0.0
2018-03-18,128.27,128.27,128.27,0.0,0.0,129.36,129.36,129.36,0.0,0.0,127.09,127.09,127.09,0.0,0.0,129.33,129.33,129.33,0.0,0.0
2018-03-25,129.16,129.16,129.16,0.0,0.0,129.42,129.42,129.42,0.0,0.0,125.54,125.54,125.54,0.0,0.0,126.42,126.42,126.42,0.0,0.0
2018-04-01,129.0,129.0,129.0,0.0,0.0,129.62,129.62,129.62,0.0,0.0,127.95,127.95,127.95,0.0,0.0,127.97,127.97,127.97,0.0,0.0
2018-04-08,130.94,130.94,130.94,0.0,0.0,131.91,131.91,131.91,0.0,0.0,130.43,130.43,130.43,0.0,0.0,131.49,131.49,131.49,0.0,0.0
2018-04-15,131.68,131.68,131.68,0.0,0.0,132.23,132.23,132.23,0.0,0.0,131.1,131.1,131.1,0.0,0.0,131.62,131.62,131.62,0.0,0.0
2018-04-22,131.53,131.53,131.53,0.0,0.0,131.89,131.89,131.89,0.0,0.0,129.94,129.94,129.94,0.0,0.0,129.94,129.94,129.94,0.0,0.0
2018-04-29,131.58,131.58,131.58,0.0,0.0,132.61,132.61,132.61,0.0,0.0,131.48,131.48,131.48,0.0,0.0,132.04,132.04,132.04,0.0,0.0
2018-05-06,134.37,134.37,134.37,0.0,0.0,134.74,134.74,134.74,0.0,0.0,133.8,133.8,133.8,0.0,0.0,133.97,133.97,133.97,0.0,0.0
2018-05-13,135.93,135.93,135.93,0.0,0.0,136.73,136.73,136.73,0.0,0.0,135.84,135.84,135.84,0.0,0.0,136.6,136.6,136.6,0.0,0.0
2018-05-20,135.69,135.69,135.69,0.0,0.0,135.94,135.94,135.94,0.0,0.0,135.37,135.37,135.37,0.0,0.0,135.71,135.71,135.71,0.0,0.0
2018-05-27,137.09,137.09,137.09,0.0,0.0,137.48,137.48,137.48,0.0,0.0,136.6,136.6,136.6,0.0,0.0,137.41,137.41,137.41,0.0,0.0
2018-06-03,139.48,139.48,139.48,0.0,0.0,139.88,139.88,139.88,0.0,0.0,139.32,139.32,139.32,0.0,0.0,139.54,139.54,139.54,0.0,0.0
2018-06-10,138.02,138.02,138.02,0.0,0.0,139.13,139.13,139.13,0.0,0.0,137.86,137.86,137.86,0.0,0.0,139.1,139.1,139.1,0.0,0.0
2018-06-17,137.93,137.93,137.93,0.0,0.0,138.06,138.06,138.06,0.0,0.0,136.04,136.04,136.04,0.0,0.0,136.73,136.73,136.73,0.0,0.0
2018-06-24,135.05,135.05,135.05,0.0,0.0,136.12,136.12,136.12,0.0,0.0,134.63,134.63,134.63,0.0,0.0,136.12,136.12,136.12,0.0,0.0
2018-07-01,139.17,139.17,139.17,0.0,0.0,139.86,139.86,139.86,0.0,0.0,139.15,139.15,139.15,0.0,0.0,139.75,139.75,139.75,0.0,0.0
2018-07-08,138.7,138.7,138.7,0.0,0.0,138.74,138.74,138.74,0.0,0.0,137.49,137.49,137.49,0.0,0.0,137.91,137.91,137.91,0.0,0.0
2018-07-15,139.1,139.1,139.1,0.0,0.0,139.55,139.55,139.55,0.0,0.0,138.67,138.67,138.67,0.0,0.0,139.18,139.18,139.18,0.0,0.0
2018-07-22,138.32,138.32,138.32,0.0,0.0,138.86,138.86,138.86,0.0,0.0,137.78,137.78,137.78,0.0,0.0,137.85,137.85,137.85,0.0,0.0
2018-07-29,139.67,139.67,139.67,0.0,0.0,140.46,140.46,140.46,0.0,0.0,139.49,139.49,139.49,0.0,0.0,140.31,140.31,140.31,0.0,0.0
2018-08-05,139.67,139.67,139.67,0.0,0.0,139.92,139.92,139.92,0.0,0.0,138.42,138.42,138.42,0.0,0.0,138.84,138.84,138.84,0.0,0.0
2018-08-12,141.14,141.14,141.14,0.0,0.0,141.76,141.76,141.76,0.0,0.0,140.91,140.91,140.91,0.0,0.0,141.45,141.45,141.45,0.0,0.0
2018-08-19,142.84,142.84,142.84,0.0,0.0,143.52,143.52,143.52,0.0,0.0,142.61,142.61,142.61,0.0,0.0,142.78,142.78,142.78,0.0,0.0
2018-08-26,142.0,142.0,142.0,0.0,0.0,142.69,142.69,142.69,0.0,0.0,141.77,141.77,141.77,0.0,0.0,142.53,142.53,142.53,0.0,0.0
