Date,Columbia India Consumer_etf_Open_average,Columbia India Consumer_etf_Open_max,Columbia India Consumer_etf_Open_min,Columbia India Consumer_etf_Open_volatility,Columbia India Consumer_etf_Open_change,Columbia India Consumer_etf_High_average,Columbia India Consumer_etf_High_max,Columbia India Consumer_etf_High_min,Columbia India Consumer_etf_High_volatility,Columbia India Consumer_etf_High_change,Columbia India Consumer_etf_Low_average,Columbia India Consumer_etf_Low_max,Columbia India Consumer_etf_Low_min,Columbia India Consumer_etf_Low_volatility,Columbia India Consumer_etf_Low_change,Columbia India Consumer_etf_Close_average,Columbia India Consumer_etf_Close_max,Columbia India Consumer_etf_Close_min,Columbia India Consumer_etf_Close_volatility,Columbia India Consumer_etf_Close_change
2018-01-14,49.71,49.71,49.71,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2018-01-21,48.98,48.98,48.98,0.0,0.0,49.6,49.6,49.6,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2018-01-28,47.35,47.35,47.35,0.0,0.0,47.35,47.35,47.35,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.51,46.51,46.51,0.0,0.0
2018-02-04,46.51,46.51,46.51,0.0,0.0,47.02,47.02,47.02,0.0,0.0,45.81,45.81,45.81,0.0,0.0,46.69,46.69,46.69,0.0,0.0
2018-02-11,46.65,46.65,46.65,0.0,0.0,47.11,47.11,47.11,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.89,46.89,46.89,0.0,0.0
2018-02-18,46.45,46.45,46.45,0.0,0.0,46.61,46.61,46.61,0.0,0.0,46.11,46.11,46.11,0.0,0.0,46.61,46.61,46.61,0.0,0.0
2018-02-25,45.8,45.8,45.8,0.0,0.0,46.07,46.07,46.07,0.0,0.0,45.51,45.51,45.51,0.0,0.0,46.02,46.02,46.02,0.0,0.0
2018-03-04,45.77,45.77,45.77,0.0,0.0,46.17,46.17,46.17,0.0,0.0,45.77,45.77,45.77,0.0,0.0,46.02,46.02,46.02,0.0,0.0
2018-03-11,45.5,45.5,45.5,0.0,0.0,45.66,45.66,45.66,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.56,45.56,45.56,0.0,0.0
2018-03-18,45.12,45.12,45.12,0.0,0.0,45.13,45.13,45.13,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.57,44.57,44.57,0.0,0.0
2018-03-25,45.64,45.64,45.64,0.0,0.0,46.3,46.3,46.3,0.0,0.0,45.64,45.64,45.64,0.0,0.0,46.28,46.28,46.28,0.0,0.0
2018-04-01,47.65,47.65,47.65,0.0,0.0,47.79,47.79,47.79,0.0,0.0,47.25,47.25,47.25,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2018-04-08,48.23,48.23,48.23,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2018-04-15,48.2,48.2,48.2,0.0,0.0,48.2,48.2,48.2,0.0,0.0,47.56,47.56,47.56,0.0,0.0,47.74,47.74,47.74,0.0,0.0
2018-04-22,48.21,48.21,48.21,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.21,48.21,48.21,0.0,0.0,48.55,48.55,48.55,0.0,0.0
2018-04-29,47.33,47.33,47.33,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.09,47.09,47.09,0.0,0.0,47.65,47.65,47.65,0.0,0.0
2018-05-06,46.99,46.99,46.99,0.0,0.0,46.99,46.99,46.99,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.89,46.89,46.89,0.0,0.0
2018-05-13,46.11,46.11,46.11,0.0,0.0,46.6,46.6,46.6,0.0,0.0,45.96,45.96,45.96,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2018-05-20,46.22,46.22,46.22,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.22,46.22,46.22,0.0,0.0,46.42,46.42,46.42,0.0,0.0
2018-05-27,47.22,47.22,47.22,0.0,0.0,47.43,47.43,47.43,0.0,0.0,47.15,47.15,47.15,0.0,0.0,47.43,47.43,47.43,0.0,0.0
2018-06-03,47.41,47.41,47.41,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.2,47.2,47.2,0.0,0.0,47.33,47.33,47.33,0.0,0.0
2018-06-10,47.19,47.19,47.19,0.0,0.0,47.19,47.19,47.19,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.63,46.63,46.63,0.0,0.0
2018-06-17,46.36,46.36,46.36,0.0,0.0,46.56,46.56,46.56,0.0,0.0,46.33,46.33,46.33,0.0,0.0,46.49,46.49,46.49,0.0,0.0
