Date,First Trust Switzerland AlphaDEX_Open_average,First Trust Switzerland AlphaDEX_Open_max,First Trust Switzerland AlphaDEX_Open_min,First Trust Switzerland AlphaDEX_Open_volatility,First Trust Switzerland AlphaDEX_Open_change,First Trust Switzerland AlphaDEX_High_average,First Trust Switzerland AlphaDEX_High_max,First Trust Switzerland AlphaDEX_High_min,First Trust Switzerland AlphaDEX_High_volatility,First Trust Switzerland AlphaDEX_High_change,First Trust Switzerland AlphaDEX_Low_average,First Trust Switzerland AlphaDEX_Low_max,First Trust Switzerland AlphaDEX_Low_min,First Trust Switzerland AlphaDEX_Low_volatility,First Trust Switzerland AlphaDEX_Low_change,First Trust Switzerland AlphaDEX_Close_average,First Trust Switzerland AlphaDEX_Close_max,First Trust Switzerland AlphaDEX_Close_min,First Trust Switzerland AlphaDEX_Close_volatility,First Trust Switzerland AlphaDEX_Close_change
2018-01-14,55.71,55.71,55.71,0.0,0.0,55.71,55.71,55.71,0.0,0.0,55.59,55.59,55.59,0.0,0.0,55.64,55.64,55.64,0.0,0.0
2018-01-21,56.45,56.45,56.45,0.0,0.0,56.45,56.45,56.45,0.0,0.0,55.97,55.97,55.97,0.0,0.0,56.07,56.07,56.07,0.0,0.0
2018-01-28,54.35,54.35,54.35,0.0,0.0,54.35,54.35,54.35,0.0,0.0,53.12,53.12,53.12,0.0,0.0,53.12,53.12,53.12,0.0,0.0
2018-02-04,52.62,52.62,52.62,0.0,0.0,53.15,53.15,53.15,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.87,52.87,52.87,0.0,0.0
2018-02-11,54.66,54.66,54.66,0.0,0.0,54.97,54.97,54.97,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2018-02-18,54.2,54.2,54.2,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.15,54.15,54.15,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2018-02-25,52.28,52.28,52.28,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.19,52.19,52.19,0.0,0.0,52.66,52.66,52.66,0.0,0.0
2018-03-04,53.7,53.7,53.7,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.7,53.7,53.7,0.0,0.0
2018-03-11,53.28,53.28,53.28,0.0,0.0,53.28,53.28,53.28,0.0,0.0,52.97,52.97,52.97,0.0,0.0,52.98,52.98,52.98,0.0,0.0
2018-03-18,52.31,52.31,52.31,0.0,0.0,52.53,52.53,52.53,0.0,0.0,51.82,51.82,51.82,0.0,0.0,52.19,52.19,52.19,0.0,0.0
