Date,EMQQ Emerging Markets Internet and Ecommerce_Open_average,EMQQ Emerging Markets Internet and Ecommerce_Open_max,EMQQ Emerging Markets Internet and Ecommerce_Open_min,EMQQ Emerging Markets Internet and Ecommerce_Open_volatility,EMQQ Emerging Markets Internet and Ecommerce_Open_change,EMQQ Emerging Markets Internet and Ecommerce_High_average,EMQQ Emerging Markets Internet and Ecommerce_High_max,EMQQ Emerging Markets Internet and Ecommerce_High_min,EMQQ Emerging Markets Internet and Ecommerce_High_volatility,EMQQ Emerging Markets Internet and Ecommerce_High_change,EMQQ Emerging Markets Internet and Ecommerce_Low_average,EMQQ Emerging Markets Internet and Ecommerce_Low_max,EMQQ Emerging Markets Internet and Ecommerce_Low_min,EMQQ Emerging Markets Internet and Ecommerce_Low_volatility,EMQQ Emerging Markets Internet and Ecommerce_Low_change,EMQQ Emerging Markets Internet and Ecommerce_Close_average,EMQQ Emerging Markets Internet and Ecommerce_Close_max,EMQQ Emerging Markets Internet and Ecommerce_Close_min,EMQQ Emerging Markets Internet and Ecommerce_Close_volatility,EMQQ Emerging Markets Internet and Ecommerce_Close_change
2018-01-14,41.41,41.41,41.41,0.0,0.0,41.49,41.49,41.49,0.0,0.0,41.2,41.2,41.2,0.0,0.0,41.42,41.42,41.42,0.0,0.0
2018-01-21,42.87,42.87,42.87,0.0,0.0,43.5,43.5,43.5,0.0,0.0,42.86,42.86,42.86,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2018-01-28,41.11,41.11,41.11,0.0,0.0,41.11,41.11,41.11,0.0,0.0,40.05,40.05,40.05,0.0,0.0,40.13,40.13,40.13,0.0,0.0
2018-02-04,37.04,37.04,37.04,0.0,0.0,37.51,37.51,37.51,0.0,0.0,35.83,35.83,35.83,0.0,0.0,37.14,37.14,37.14,0.0,0.0
2018-02-11,41.25,41.25,41.25,0.0,0.0,41.52,41.52,41.52,0.0,0.0,40.98,40.98,40.98,0.0,0.0,41.11,41.11,41.11,0.0,0.0
2018-02-18,41.41,41.41,41.41,0.0,0.0,42.0,42.0,42.0,0.0,0.0,41.25,41.25,41.25,0.0,0.0,42.0,42.0,42.0,0.0,0.0
2018-02-25,39.29,39.29,39.29,0.0,0.0,40.32,40.32,40.32,0.0,0.0,38.95,38.95,38.95,0.0,0.0,40.27,40.27,40.27,0.0,0.0
2018-03-04,42.1,42.1,42.1,0.0,0.0,42.68,42.68,42.68,0.0,0.0,42.1,42.1,42.1,0.0,0.0,42.64,42.64,42.64,0.0,0.0
2018-03-11,42.54,42.54,42.54,0.0,0.0,42.61,42.61,42.61,0.0,0.0,42.37,42.37,42.37,0.0,0.0,42.58,42.58,42.58,0.0,0.0
2018-03-18,40.62,40.62,40.62,0.0,0.0,40.85,40.85,40.85,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.72,39.72,39.72,0.0,0.0
2018-03-25,38.88,38.88,38.88,0.0,0.0,39.72,39.72,39.72,0.0,0.0,38.77,38.77,38.77,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2018-04-01,38.5,38.5,38.5,0.0,0.0,38.96,38.96,38.96,0.0,0.0,37.94,37.94,37.94,0.0,0.0,38.22,38.22,38.22,0.0,0.0
2018-04-08,38.46,38.46,38.46,0.0,0.0,38.5,38.5,38.5,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.81,37.81,37.81,0.0,0.0
2018-04-15,37.92,37.92,37.92,0.0,0.0,37.92,37.92,37.92,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.66,37.66,37.66,0.0,0.0
2018-04-22,37.27,37.27,37.27,0.0,0.0,37.38,37.38,37.38,0.0,0.0,36.81,36.81,36.81,0.0,0.0,37.17,37.17,37.17,0.0,0.0
2018-04-29,36.81,36.81,36.81,0.0,0.0,37.59,37.59,37.59,0.0,0.0,36.74,36.74,36.74,0.0,0.0,37.46,37.46,37.46,0.0,0.0
2018-05-06,38.59,38.59,38.59,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.15,38.15,38.15,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2018-05-13,37.32,37.32,37.32,0.0,0.0,37.48,37.48,37.48,0.0,0.0,37.14,37.14,37.14,0.0,0.0,37.24,37.24,37.24,0.0,0.0
2018-05-20,37.34,37.34,37.34,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.36,37.36,37.36,0.0,0.0
2018-05-27,37.35,37.35,37.35,0.0,0.0,38.04,38.04,38.04,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.93,37.93,37.93,0.0,0.0
