Date,WU_Open_average,WU_Open_max,WU_Open_min,WU_Open_volatility,WU_Open_change,WU_High_average,WU_High_max,WU_High_min,WU_High_volatility,WU_High_change,WU_Low_average,WU_Low_max,WU_Low_min,WU_Low_volatility,WU_Low_change,WU_Close_average,WU_Close_max,WU_Close_min,WU_Close_volatility,WU_Close_change,WU_Volume_average,WU_Volume_max,WU_Volume_min,WU_Volume_volatility,WU_Volume_change
2018-01-14,20.464,21.12,20.21,0.9100000000000001,-0.8800000000000026,20.568,21.14,20.3,0.8399999999999999,-0.5500000000000007,20.208,20.54,20.01,0.5299999999999976,-0.3099999999999987,20.368,20.62,20.19,0.4299999999999997,-0.07000000000000028,6357489,8385324,4212879,4172445,-3631236
2018-01-21,20.791999999999998,21.15,20.52,0.629999999999999,0.629999999999999,20.974,21.18,20.81,0.370000000000001,0.3299999999999983,20.606,20.78,20.48,0.3000000000000007,0.3000000000000007,20.808,21.16,20.52,0.6400000000000006,0.09999999999999787,3875794,4241713,3536651,705062,-705062
2018-01-28,20.548,20.71,20.15,0.5600000000000023,-0.5100000000000016,20.708000000000002,20.94,20.24,0.7000000000000028,-0.6000000000000014,20.316000000000003,20.64,19.53,1.1099999999999994,-0.9800000000000004,20.38,20.79,19.54,1.25,-1.0600000000000023,5244763,6520662,3387554,3133108,2105673
2018-02-04,19.384,19.73,18.98,0.75,0.17999999999999972,19.77,20.05,19.49,0.5600000000000023,0.07000000000000028,19.034,19.43,18.55,0.879999999999999,0.41999999999999815,19.448,19.81,18.81,1.0,-0.03999999999999915,6751450,7548014,4430789,3117225,-234154
2018-02-11,20.1725,20.5,19.59,0.9100000000000001,0.5599999999999987,20.41,20.74,19.91,0.8299999999999983,0.5399999999999991,19.9075,20.11,19.59,0.5199999999999996,0.5199999999999996,20.1275,20.3,19.75,0.5500000000000007,0.5100000000000016,9004354,13492319,7246367,6245952,-109974
2018-02-18,20.253999999999998,20.31,20.2,0.10999999999999943,0.07000000000000028,20.392,20.5,20.26,0.23999999999999844,-0.10000000000000142,20.105999999999998,20.18,20.02,0.16000000000000014,0.0,20.194,20.3,20.09,0.21000000000000085,0.05000000000000071,3820878,4950210,2983995,1966215,-948918
2018-02-25,19.906,20.3,19.55,0.75,-0.5600000000000023,20.1,20.38,19.89,0.48999999999999844,-0.3099999999999987,19.674,19.97,19.48,0.48999999999999844,-0.29999999999999716,19.848,19.99,19.66,0.3299999999999983,-0.08999999999999986,5330555,7196894,3105124,4091770,1913733
2018-03-04,19.946,20.21,19.77,0.4400000000000013,0.25,20.108,20.37,19.98,0.39000000000000057,0.370000000000001,19.786,20.05,19.6,0.4499999999999993,0.33000000000000185,19.964,20.17,19.66,0.5100000000000016,0.23000000000000043,3863735,5393405,2503357,2890048,2466884
2018-03-11,20.19,20.49,20.0,0.48999999999999844,-0.23000000000000043,20.316,20.55,20.01,0.5399999999999991,-0.5399999999999991,19.962,20.23,19.52,0.7100000000000009,-0.7100000000000009,20.076,20.37,19.64,0.7300000000000004,-0.7300000000000004,8215400,19634626,4027033,15607593,-2217558
2018-03-18,19.488,19.78,19.17,0.6099999999999994,-0.46999999999999886,19.656,19.93,19.29,0.6400000000000006,-0.6400000000000006,19.272,19.62,18.84,0.7800000000000011,-0.7399999999999984,19.398,19.75,19.0,0.75,-0.5399999999999991,3772186,4554291,2549478,2004813,-995231
