Date,LUV_Open_average,LUV_Open_max,LUV_Open_min,LUV_Open_volatility,LUV_Open_change,LUV_High_average,LUV_High_max,LUV_High_min,LUV_High_volatility,LUV_High_change,LUV_Low_average,LUV_Low_max,LUV_Low_min,LUV_Low_volatility,LUV_Low_change,LUV_Close_average,LUV_Close_max,LUV_Close_min,LUV_Close_volatility,LUV_Close_change,LUV_Volume_average,LUV_Volume_max,LUV_Volume_min,LUV_Volume_volatility,LUV_Volume_change
2018-01-14,65.538,66.08,64.86,1.2199999999999989,-0.6500000000000057,65.872,66.52,65.05,1.4699999999999989,-1.0600000000000023,64.74600000000001,65.45,64.11,1.3400000000000034,-0.6099999999999994,65.30799999999999,66.07,64.89,1.1799999999999926,-0.5799999999999983,4591820,5110269,4199467,910802,-296353
2018-01-21,62.358000000000004,64.73,60.54,4.190000000000005,-4.190000000000005,62.874,65.5,60.7,4.799999999999997,-4.799999999999997,61.126,64.21,59.25,4.959999999999994,-4.1299999999999955,61.768,65.26,60.19,5.070000000000007,-4.900000000000006,7655874,11178279,4501532,6676747,1656393
2018-01-28,59.642,60.51,58.02,2.489999999999995,-1.5999999999999943,60.414,61.48,58.74,2.739999999999995,-1.7299999999999969,58.91,60.11,56.11,4.0,-3.509999999999998,59.328,60.8,56.99,3.809999999999995,-2.8399999999999963,5390887,7969602,4351200,3618402,3541129
2018-02-04,56.892,58.05,55.84,2.2099999999999937,0.29999999999999716,57.894,59.04,56.79,2.25,-1.1499999999999986,55.752,57.89,54.01,3.8800000000000026,0.1600000000000037,56.794000000000004,58.14,55.5,2.6400000000000006,-1.3299999999999983,6261362,8789346,4427135,4362211,-2536798
2018-02-11,57.527499999999996,58.41,56.55,1.8599999999999994,1.8599999999999994,58.24,58.88,57.24,1.6400000000000006,1.6400000000000006,57.17,58.2,56.16,2.0400000000000063,2.0400000000000063,57.835,58.27,57.16,1.1100000000000065,1.1100000000000065,3836173,4278848,3283764,995084,-104757
2018-02-18,58.172,58.75,57.8,0.9500000000000028,0.6700000000000017,58.868,59.84,58.03,1.8100000000000023,1.3500000000000014,57.696,58.65,57.2,1.4499999999999957,1.1499999999999986,58.114,59.5,57.32,2.1799999999999997,1.7700000000000031,3930636,5293675,3309965,1983710,1730561
2018-02-25,58.242,59.6,57.49,2.1099999999999994,-1.9200000000000017,58.832,59.72,58.13,1.5899999999999963,-1.0,57.602,58.47,57.03,1.4399999999999977,-1.2800000000000011,58.104,58.48,57.81,0.6699999999999946,-0.09999999999999432,4547038,5400845,3606303,1794542,1490398
2018-03-04,58.534,59.88,57.67,2.210000000000001,1.4100000000000037,59.042,59.92,58.05,1.8700000000000045,1.2800000000000011,58.238,59.4,57.48,1.9200000000000017,1.4699999999999989,58.73,59.76,57.57,2.1899999999999977,1.509999999999998,4439078,6476478,2930980,3545498,1674606
2018-03-11,60.21,60.67,59.69,0.980000000000004,0.6200000000000045,60.896,61.38,60.27,1.1099999999999994,0.480000000000004,59.74,60.2,59.21,0.990000000000002,0.3999999999999986,60.278,60.9,59.62,1.2800000000000011,0.2700000000000031,4738506,5406440,3915324,1491116,-782574
2018-03-18,58.128,60.73,56.85,3.8799999999999955,-3.229999999999997,58.698,60.99,57.86,3.1300000000000026,-3.1300000000000026,57.478,60.5,56.35,4.149999999999999,-3.6000000000000014,57.956,60.69,56.72,3.969999999999999,-3.0999999999999943,7187212,13634567,2797102,10837465,2709531
2018-03-25,57.0325,57.84,56.39,1.4500000000000028,-0.6500000000000057,57.4125,57.95,56.92,1.0300000000000011,-0.7600000000000051,55.5625,56.31,53.79,2.520000000000003,-2.490000000000002,56.14,57.28,54.34,2.9399999999999977,-2.3499999999999943,4388015,5337023,3087471,2249552,912559
2018-04-01,55.764,56.76,54.94,1.8200000000000003,0.6900000000000048,56.438,57.18,55.82,1.3599999999999994,-0.21999999999999886,55.036,56.27,54.46,1.8100000000000023,0.28999999999999915,55.866,56.86,54.85,2.009999999999998,-1.1199999999999974,4556870,5856758,3641840,2214918,1562724
2018-04-08,54.772,55.5,53.85,1.6499999999999986,-0.20000000000000284,55.52,55.99,54.34,1.6499999999999986,0.1700000000000017,53.992000000000004,54.56,53.5,1.0600000000000023,0.9600000000000009,54.506,55.07,53.5,1.5700000000000003,0.759999999999998,5036174,5957660,3599614,2358046,-781982
2018-04-15,55.038000000000004,55.65,54.5,1.1499999999999986,-0.509999999999998,55.692,56.52,55.21,1.3100000000000023,0.04999999999999716,54.192,54.61,53.21,1.3999999999999986,1.3999999999999986,54.928,55.82,54.27,1.5499999999999972,0.7099999999999937,5701709,8059982,4391506,3668476,-3594438
2018-04-22,53.624,55.32,52.19,3.1300000000000026,-1.7000000000000028,54.192,55.38,53.78,1.6000000000000014,-1.6000000000000014,52.538,53.43,51.0,2.4299999999999997,-0.7299999999999969,53.474,53.88,52.83,1.0500000000000043,-1.0500000000000043,6335362,9809752,3820021,5989731,4203197
2018-04-29,52.546,52.98,52.0,0.9799999999999969,0.0,53.038,53.4,52.54,0.8599999999999994,-0.2700000000000031,51.955999999999996,52.19,51.58,0.6099999999999994,-0.19999999999999574,52.434,52.94,52.0,0.9399999999999977,-0.9399999999999977,4761319,6346360,4016101,2330259,1029428
2018-05-06,52.06,52.51,51.3,1.2100000000000009,0.3399999999999963,52.616,53.07,52.19,0.8800000000000026,-0.3299999999999983,51.724000000000004,52.07,51.26,0.8100000000000023,0.11999999999999744,52.098,52.46,51.56,0.8999999999999986,-0.12999999999999545,5848251,7076269,4222333,2853936,803833
2018-05-13,52.326,53.09,51.75,1.3400000000000034,0.47000000000000597,52.986000000000004,53.61,52.09,1.519999999999996,0.75,51.934,52.38,51.44,0.9400000000000048,0.7000000000000028,52.318,53.01,51.7,1.3099999999999952,0.519999999999996,6297190,7236975,5241204,1995771,1995771
2018-05-20,51.287499999999994,52.51,50.41,2.1000000000000014,-1.1099999999999994,52.1275,53.45,50.87,2.5800000000000054,0.7800000000000011,50.6125,51.36,50.2,1.1599999999999966,0.6799999999999997,51.31,52.86,50.32,2.539999999999999,2.009999999999998,8732949,9569008,7580537,1988471,-276691
2018-05-27,51.608000000000004,52.62,51.13,1.4899999999999949,-1.4899999999999949,52.012,52.8,51.54,1.259999999999998,-0.7199999999999989,50.936,51.21,50.62,0.5900000000000034,-0.21000000000000085,51.302,51.65,50.96,0.6899999999999977,0.1599999999999966,6096801,7178105,5322574,1855531,-1855531
2018-06-03,50.758,51.19,50.35,0.8399999999999963,-0.22999999999999687,51.194,51.97,50.82,1.1499999999999986,0.5700000000000003,50.324,50.71,49.93,0.7800000000000011,0.30000000000000426,50.75,50.98,50.48,0.5,0.0799999999999983,6459336,9813606,4620059,5193547,5193547
2018-06-10,51.462,51.83,51.05,0.7800000000000011,0.7800000000000011,52.012,52.51,51.17,1.3399999999999963,1.3399999999999963,51.176,51.4,50.58,0.8200000000000003,0.8000000000000043,51.762,52.37,50.97,1.3999999999999986,1.3999999999999986,6848895,8637099,5543440,3093659,-2583369
2018-06-17,52.084,52.86,51.61,1.25,-0.4200000000000017,52.552,53.54,51.86,1.6799999999999997,-0.23000000000000398,51.466,51.88,50.92,0.9600000000000009,-0.25,52.01,53.15,51.28,1.8699999999999974,-0.4299999999999997,7545309,10091765,4658943,5432822,3177694
2018-06-24,50.99,51.59,50.63,0.9600000000000009,-0.9600000000000009,51.368,51.59,50.98,0.6100000000000065,0.0,50.507999999999996,50.94,50.18,0.759999999999998,-0.4399999999999977,50.932,51.54,50.37,1.1700000000000017,0.36999999999999744,5031540,6737859,4228319,2509540,716409
2018-07-01,52.072500000000005,52.9,51.56,1.3399999999999963,1.3399999999999963,52.67,53.52,52.05,1.470000000000006,1.4500000000000028,51.8175,52.58,51.13,1.4499999999999957,1.4499999999999957,52.345,53.26,51.52,1.7399999999999949,1.7399999999999949,4387900,5796679,2470351,3326328,2373273
2018-07-08,52.974000000000004,53.39,52.54,0.8500000000000014,0.25,53.164,53.49,52.66,0.8300000000000054,0.28999999999999915,52.268,52.75,51.63,1.1199999999999974,0.28000000000000114,52.894,53.09,52.53,0.5600000000000023,0.0799999999999983,4096194,5788346,3392050,2396296,230039
