Date,First Trust NASDAQ-100 Tech Sector_Open_average,First Trust NASDAQ-100 Tech Sector_Open_max,First Trust NASDAQ-100 Tech Sector_Open_min,First Trust NASDAQ-100 Tech Sector_Open_volatility,First Trust NASDAQ-100 Tech Sector_Open_change,First Trust NASDAQ-100 Tech Sector_High_average,First Trust NASDAQ-100 Tech Sector_High_max,First Trust NASDAQ-100 Tech Sector_High_min,First Trust NASDAQ-100 Tech Sector_High_volatility,First Trust NASDAQ-100 Tech Sector_High_change,First Trust NASDAQ-100 Tech Sector_Low_average,First Trust NASDAQ-100 Tech Sector_Low_max,First Trust NASDAQ-100 Tech Sector_Low_min,First Trust NASDAQ-100 Tech Sector_Low_volatility,First Trust NASDAQ-100 Tech Sector_Low_change,First Trust NASDAQ-100 Tech Sector_Close_average,First Trust NASDAQ-100 Tech Sector_Close_max,First Trust NASDAQ-100 Tech Sector_Close_min,First Trust NASDAQ-100 Tech Sector_Close_volatility,First Trust NASDAQ-100 Tech Sector_Close_change
2018-01-14,77.61,77.61,77.61,0.0,0.0,78.05,78.05,78.05,0.0,0.0,77.16,77.16,77.16,0.0,0.0,78.04,78.04,78.04,0.0,0.0
2018-01-21,78.25,78.25,78.25,0.0,0.0,78.53,78.53,78.53,0.0,0.0,77.55,77.55,77.55,0.0,0.0,78.09,78.09,78.09,0.0,0.0
2018-01-28,74.38,74.38,74.38,0.0,0.0,75.76,75.76,75.76,0.0,0.0,72.07,72.07,72.07,0.0,0.0,72.14,72.14,72.14,0.0,0.0
2018-02-04,71.84,71.84,71.84,0.0,0.0,73.14,73.14,73.14,0.0,0.0,71.76,71.76,71.76,0.0,0.0,72.69,72.69,72.69,0.0,0.0
2018-02-11,75.69,75.69,75.69,0.0,0.0,76.65,76.65,76.65,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.85,75.85,75.85,0.0,0.0
2018-02-18,77.91,77.91,77.91,0.0,0.0,78.54,78.54,78.54,0.0,0.0,77.68,77.68,77.68,0.0,0.0,78.5,78.5,78.5,0.0,0.0
2018-02-25,77.13,77.13,77.13,0.0,0.0,78.71,78.71,78.71,0.0,0.0,76.99,76.99,76.99,0.0,0.0,78.38,78.38,78.38,0.0,0.0
2018-03-04,82.43,82.43,82.43,0.0,0.0,82.94,82.94,82.94,0.0,0.0,82.23,82.23,82.23,0.0,0.0,82.65,82.65,82.65,0.0,0.0
2018-03-11,80.98,80.98,80.98,0.0,0.0,81.05,81.05,81.05,0.0,0.0,79.12,79.12,79.12,0.0,0.0,80.08,80.08,80.08,0.0,0.0
2018-03-18,77.14,77.14,77.14,0.0,0.0,78.42,78.42,78.42,0.0,0.0,76.18,76.18,76.18,0.0,0.0,78.38,78.38,78.38,0.0,0.0
