Date,First Trust NASDAQ Clean Edge Green Energy_Open_average,First Trust NASDAQ Clean Edge Green Energy_Open_max,First Trust NASDAQ Clean Edge Green Energy_Open_min,First Trust NASDAQ Clean Edge Green Energy_Open_volatility,First Trust NASDAQ Clean Edge Green Energy_Open_change,First Trust NASDAQ Clean Edge Green Energy_High_average,First Trust NASDAQ Clean Edge Green Energy_High_max,First Trust NASDAQ Clean Edge Green Energy_High_min,First Trust NASDAQ Clean Edge Green Energy_High_volatility,First Trust NASDAQ Clean Edge Green Energy_High_change,First Trust NASDAQ Clean Edge Green Energy_Low_average,First Trust NASDAQ Clean Edge Green Energy_Low_max,First Trust NASDAQ Clean Edge Green Energy_Low_min,First Trust NASDAQ Clean Edge Green Energy_Low_volatility,First Trust NASDAQ Clean Edge Green Energy_Low_change,First Trust NASDAQ Clean Edge Green Energy_Close_average,First Trust NASDAQ Clean Edge Green Energy_Close_max,First Trust NASDAQ Clean Edge Green Energy_Close_min,First Trust NASDAQ Clean Edge Green Energy_Close_volatility,First Trust NASDAQ Clean Edge Green Energy_Close_change
2018-01-14,21.73,21.73,21.73,0.0,0.0,21.73,21.73,21.73,0.0,0.0,21.45,21.45,21.45,0.0,0.0,21.52,21.52,21.52,0.0,0.0
2018-01-21,21.21,21.21,21.21,0.0,0.0,21.21,21.21,21.21,0.0,0.0,20.98,20.98,20.98,0.0,0.0,21.07,21.07,21.07,0.0,0.0
2018-01-28,20.0,20.0,20.0,0.0,0.0,20.1,20.1,20.1,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.28,19.28,19.28,0.0,0.0
2018-02-04,19.03,19.03,19.03,0.0,0.0,19.24,19.24,19.24,0.0,0.0,18.88,18.88,18.88,0.0,0.0,19.17,19.17,19.17,0.0,0.0
2018-02-11,20.1,20.1,20.1,0.0,0.0,20.24,20.24,20.24,0.0,0.0,20.05,20.05,20.05,0.0,0.0,20.09,20.09,20.09,0.0,0.0
2018-02-18,20.18,20.18,20.18,0.0,0.0,20.27,20.27,20.27,0.0,0.0,20.04,20.04,20.04,0.0,0.0,20.27,20.27,20.27,0.0,0.0
2018-02-25,20.19,20.19,20.19,0.0,0.0,20.19,20.19,20.19,0.0,0.0,19.72,19.72,19.72,0.0,0.0,19.94,19.94,19.94,0.0,0.0
2018-03-04,20.72,20.72,20.72,0.0,0.0,20.82,20.82,20.82,0.0,0.0,20.49,20.49,20.49,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2018-03-11,20.61,20.61,20.61,0.0,0.0,20.61,20.61,20.61,0.0,0.0,20.0,20.0,20.0,0.0,0.0,20.29,20.29,20.29,0.0,0.0
2018-03-18,20.07,20.07,20.07,0.0,0.0,20.11,20.11,20.11,0.0,0.0,19.72,19.72,19.72,0.0,0.0,20.1,20.1,20.1,0.0,0.0
2018-03-25,19.49,19.49,19.49,0.0,0.0,19.49,19.49,19.49,0.0,0.0,18.93,18.93,18.93,0.0,0.0,18.98,18.98,18.98,0.0,0.0
2018-04-01,19.53,19.53,19.53,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.35,19.35,19.35,0.0,0.0,19.35,19.35,19.35,0.0,0.0
2018-04-08,19.75,19.75,19.75,0.0,0.0,19.78,19.78,19.78,0.0,0.0,19.66,19.66,19.66,0.0,0.0,19.75,19.75,19.75,0.0,0.0
2018-04-15,19.76,19.76,19.76,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.64,19.64,19.64,0.0,0.0
2018-04-22,19.69,19.69,19.69,0.0,0.0,19.69,19.69,19.69,0.0,0.0,19.15,19.15,19.15,0.0,0.0,19.16,19.16,19.16,0.0,0.0
2018-04-29,19.75,19.75,19.75,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.76,19.76,19.76,0.0,0.0
2018-05-06,20.18,20.18,20.18,0.0,0.0,20.43,20.43,20.43,0.0,0.0,20.18,20.18,20.18,0.0,0.0,20.25,20.25,20.25,0.0,0.0
2018-05-13,20.36,20.36,20.36,0.0,0.0,20.46,20.46,20.46,0.0,0.0,20.32,20.32,20.32,0.0,0.0,20.41,20.41,20.41,0.0,0.0
2018-05-20,20.0,20.0,20.0,0.0,0.0,20.22,20.22,20.22,0.0,0.0,20.0,20.0,20.0,0.0,0.0,20.16,20.16,20.16,0.0,0.0
2018-05-27,20.17,20.17,20.17,0.0,0.0,20.17,20.17,20.17,0.0,0.0,19.98,19.98,19.98,0.0,0.0,20.13,20.13,20.13,0.0,0.0
2018-06-03,19.96,19.96,19.96,0.0,0.0,20.09,20.09,20.09,0.0,0.0,19.95,19.95,19.95,0.0,0.0,20.06,20.06,20.06,0.0,0.0
2018-06-10,20.1,20.1,20.1,0.0,0.0,20.33,20.33,20.33,0.0,0.0,20.1,20.1,20.1,0.0,0.0,20.33,20.33,20.33,0.0,0.0
2018-06-17,19.89,19.89,19.89,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.58,19.58,19.58,0.0,0.0
2018-06-24,19.5,19.5,19.5,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.49,19.49,19.49,0.0,0.0
2018-07-01,20.16,20.16,20.16,0.0,0.0,20.16,20.16,20.16,0.0,0.0,19.97,19.97,19.97,0.0,0.0,20.15,20.15,20.15,0.0,0.0
2018-07-08,20.1,20.1,20.1,0.0,0.0,20.1,20.1,20.1,0.0,0.0,19.92,19.92,19.92,0.0,0.0,19.95,19.95,19.95,0.0,0.0
2018-07-15,19.95,19.95,19.95,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.82,19.82,19.82,0.0,0.0
2018-07-22,19.97,19.97,19.97,0.0,0.0,19.97,19.97,19.97,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.63,19.63,19.63,0.0,0.0
2018-07-29,20.28,20.28,20.28,0.0,0.0,20.34,20.34,20.34,0.0,0.0,20.2,20.2,20.2,0.0,0.0,20.31,20.31,20.31,0.0,0.0
2018-08-05,20.53,20.53,20.53,0.0,0.0,20.53,20.53,20.53,0.0,0.0,20.23,20.23,20.23,0.0,0.0,20.3,20.3,20.3,0.0,0.0
2018-08-12,19.79,19.79,19.79,0.0,0.0,20.07,20.07,20.07,0.0,0.0,19.75,19.75,19.75,0.0,0.0,20.03,20.03,20.03,0.0,0.0
2018-08-19,20.49,20.49,20.49,0.0,0.0,20.64,20.64,20.64,0.0,0.0,20.49,20.49,20.49,0.0,0.0,20.58,20.58,20.58,0.0,0.0
2018-08-26,20.48,20.48,20.48,0.0,0.0,20.51,20.51,20.51,0.0,0.0,20.43,20.43,20.43,0.0,0.0,20.5,20.5,20.5,0.0,0.0
2018-09-02,19.87,19.87,19.87,0.0,0.0,19.92,19.92,19.92,0.0,0.0,19.82,19.82,19.82,0.0,0.0,19.89,19.89,19.89,0.0,0.0
2018-09-09,20.15,20.15,20.15,0.0,0.0,20.26,20.26,20.26,0.0,0.0,20.12,20.12,20.12,0.0,0.0,20.14,20.14,20.14,0.0,0.0
2018-09-16,20.38,20.38,20.38,0.0,0.0,20.41,20.41,20.41,0.0,0.0,20.3,20.3,20.3,0.0,0.0,20.38,20.38,20.38,0.0,0.0
2018-09-23,20.03,20.03,20.03,0.0,0.0,20.03,20.03,20.03,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.85,19.85,19.85,0.0,0.0
2018-09-30,19.03,19.03,19.03,0.0,0.0,19.03,19.03,19.03,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.85,18.85,18.85,0.0,0.0
2018-10-07,18.14,18.14,18.14,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.14,18.14,18.14,0.0,0.0,18.47,18.47,18.47,0.0,0.0
2018-10-14,18.45,18.45,18.45,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.16,18.16,18.16,0.0,0.0,18.29,18.29,18.29,0.0,0.0
2018-10-21,17.91,17.91,17.91,0.0,0.0,18.32,18.32,18.32,0.0,0.0,17.75,17.75,17.75,0.0,0.0,17.84,17.84,17.84,0.0,0.0
2018-10-28,19.37,19.37,19.37,0.0,0.0,19.37,19.37,19.37,0.0,0.0,19.09,19.09,19.09,0.0,0.0,19.25,19.25,19.25,0.0,0.0
2018-11-04,19.1,19.1,19.1,0.0,0.0,19.1,19.1,19.1,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.63,18.63,18.63,0.0,0.0
2018-11-11,19.18,19.18,19.18,0.0,0.0,19.18,19.18,19.18,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.88,18.88,18.88,0.0,0.0
2018-11-18,18.82,18.82,18.82,0.0,0.0,19.1,19.1,19.1,0.0,0.0,18.82,18.82,18.82,0.0,0.0,19.04,19.04,19.04,0.0,0.0
